fec_medida,codigo,evapor_diaria_m3,desague_diario_m3,altura_diaria_m,superf_diaria_m2,aport_diaria_m3,volumen_diario_m3
2015-01-01,EB-004,2484.0,1188000.0,32.0,2484014.0,1412571.0,22755693.0
2015-01-01,EB-006,3457.0,648000.0,54.0,5761547.0,364324.0,110957540.0
2015-01-01,EB-009,14822.0,172800.0,71.0,13474429.0,728046.0,299259387.0
2015-01-01,EB-010,2124.0,1088640.0,26.0,1770318.0,1196584.0,13464483.0
2015-01-02,EB-004,324.0,1200960.0,32.0,2492645.0,1401611.0,22953104.0
2015-01-02,EB-006,9781.0,561600.0,54.0,5753473.0,341674.0,110727833.0
2015-01-02,EB-009,25625.0,216000.0,71.0,13486636.0,646943.0,299664705.0
2015-01-02,EB-010,2669.0,1080000.0,26.0,1779628.0,1206126.0,13587940.0
2015-01-03,EB-004,4254.0,1183680.0,32.0,2502354.0,1410022.0,23175192.0
2015-01-03,EB-006,10912.0,648000.0,54.0,5743381.0,371780.0,110440701.0
2015-01-03,EB-009,37808.0,172800.0,71.0,13502912.0,751033.0,300205130.0
2015-01-03,EB-010,3396.0,1080000.0,26.0,1787607.0,1189216.0,13693760.0
2015-01-04,EB-004,5271.0,1157760.0,32.0,2509906.0,1335765.0,23347926.0
2015-01-04,EB-006,11467.0,648000.0,54.0,5733288.0,372334.0,110153568.0
2015-01-04,EB-009,32446.0,172800.0,72.0,13519188.0,745670.0,300745554.0
2015-01-04,EB-010,3594.0,1036800.0,26.0,1796916.0,1163851.0,13817217.0
2015-01-05,EB-004,1512.0,1200960.0,32.0,2520694.0,1449236.0,23594690.0
2015-01-05,EB-006,687.0,648000.0,54.0,5725214.0,425163.0,109923861.0
2015-01-05,EB-009,16243.0,172800.0,72.0,13535464.0,729468.0,301285979.0
2015-01-05,EB-010,1987.0,1080000.0,26.0,1806225.0,1205444.0,13940674.0
2015-01-06,EB-004,3793.0,1166400.0,32.0,2528952.0,1374970.0,23799467.0
2015-01-06,EB-006,5713.0,648000.0,54.0,5713103.0,309154.0,109579302.0
2015-01-06,EB-009,21683.0,172800.0,72.0,13551740.0,734907.0,301826403.0
2015-01-06,EB-010,2901.0,1080000.0,26.0,1812875.0,1171084.0,14028857.0
2015-01-07,EB-004,1268.0,1248480.0,32.0,2535105.0,1404121.0,23953840.0
2015-01-07,EB-006,2853.0,648000.0,54.0,5705029.0,421146.0,109349595.0
2015-01-07,EB-009,14925.0,172800.0,72.0,13568016.0,728149.0,302366827.0
2015-01-07,EB-010,1275.0,1145664.0,26.0,1820854.0,1252759.0,14134677.0
2015-01-08,EB-004,1521.0,1252800.0,32.0,2535105.0,1254321.0,23953840.0
2015-01-08,EB-006,8545.0,648000.0,54.0,5696955.0,426839.0,109119889.0
2015-01-08,EB-009,5434.0,172800.0,72.0,13584292.0,718659.0,302907252.0
2015-01-08,EB-010,1647.0,1130976.0,26.0,1830163.0,1256080.0,14258134.0
