"Fecha medida","Código","Nivel medio diario (m)"
"01/01/2015","EA-001","0,46"
"01/01/2015","EA-007",""
"01/01/2015","EA-013-TOT",""
"01/01/2015","EA-021-PR","0,14"
"01/01/2015","EA-062-TOT",""
"01/01/2015","EA-063-PR","0,16"
"01/01/2015","EA-112-TOT",""
"01/01/2015","EA-117-TOT",""
"01/01/2015","EA-430B",""
"02/01/2015","EA-001","0,47"
"02/01/2015","EA-007",""
"02/01/2015","EA-013-TOT",""
"02/01/2015","EA-021-PR","0,14"
"02/01/2015","EA-062-TOT",""
"02/01/2015","EA-063-PR","0,16"
"02/01/2015","EA-112-TOT",""
"02/01/2015","EA-117-TOT",""
"02/01/2015","EA-430B",""
"03/01/2015","EA-001","0,47"
"03/01/2015","EA-007",""
"03/01/2015","EA-013-TOT",""
"03/01/2015","EA-021-PR","0,11"
"03/01/2015","EA-062-TOT",""
"03/01/2015","EA-063-PR","0,11"
"03/01/2015","EA-112-TOT",""
"03/01/2015","EA-117-TOT",""
"03/01/2015","EA-430B",""
"04/01/2015","EA-001","0,47"
"04/01/2015","EA-007",""
"04/01/2015","EA-013-TOT",""
"04/01/2015","EA-021-PR","0,11"
"04/01/2015","EA-062-TOT",""
"04/01/2015","EA-063-PR","0,13"
"04/01/2015","EA-112-TOT",""
"04/01/2015","EA-117-TOT",""
"04/01/2015","EA-430B",""
"05/01/2015","EA-001","0,47"
"05/01/2015","EA-007",""
"05/01/2015","EA-013-TOT",""
"05/01/2015","EA-021-PR","0,12"
"05/01/2015","EA-062-TOT",""
"05/01/2015","EA-063-PR","0,13"
"05/01/2015","EA-112-TOT",""
"05/01/2015","EA-117-TOT",""
"05/01/2015","EA-430B",""
"06/01/2015","EA-001","0,47"
"06/01/2015","EA-007",""
"06/01/2015","EA-013-TOT",""
"06/01/2015","EA-021-PR","0,12"
"06/01/2015","EA-062-TOT",""
"06/01/2015","EA-063-PR","0,13"
"06/01/2015","EA-112-TOT",""
"06/01/2015","EA-117-TOT",""
"06/01/2015","EA-430B",""
"07/01/2015","EA-001","0,47"
"07/01/2015","EA-007",""
"07/01/2015","EA-013-TOT",""
"07/01/2015","EA-021-PR","0,13"
"07/01/2015","EA-062-TOT",""
"07/01/2015","EA-063-PR","0,16"
"07/01/2015","EA-112-TOT",""
"07/01/2015","EA-117-TOT",""
"07/01/2015","EA-430B",""
"08/01/2015","EA-001","0,47"
"08/01/2015","EA-007",""
"08/01/2015","EA-013-TOT",""
"08/01/2015","EA-021-PR","0,14"
"08/01/2015","EA-062-TOT",""
"08/01/2015","EA-063-PR","0,16"
"08/01/2015","EA-112-TOT",""
"08/01/2015","EA-117-TOT",""
"08/01/2015","EA-430B",""
"09/01/2015","EA-001","0,47"
"09/01/2015","EA-007",""
"09/01/2015","EA-013-TOT",""
"09/01/2015","EA-021-PR","0,13"
"09/01/2015","EA-062-TOT",""
"09/01/2015","EA-063-PR","0,16"
"09/01/2015","EA-112-TOT",""
"09/01/2015","EA-117-TOT",""
"09/01/2015","EA-430B",""
"10/01/2015","EA-001","0,47"
"10/01/2015","EA-007",""
"10/01/2015","EA-013-TOT",""
"10/01/2015","EA-021-PR","0,11"
"10/01/2015","EA-062-TOT",""
"10/01/2015","EA-063-PR","0,14"
"10/01/2015","EA-112-TOT",""
"10/01/2015","EA-117-TOT",""
"10/01/2015","EA-430B",""
"11/01/2015","EA-001","0,47"
"11/01/2015","EA-007",""
"11/01/2015","EA-013-TOT",""
"11/01/2015","EA-021-PR","0,11"
"11/01/2015","EA-062-TOT",""
"11/01/2015","EA-063-PR","0,14"
"11/01/2015","EA-112-TOT",""
"11/01/2015","EA-117-TOT",""
"11/01/2015","EA-430B",""
"12/01/2015","EA-001","0,47"
"12/01/2015","EA-007",""
"12/01/2015","EA-013-TOT",""
"12/01/2015","EA-021-PR","0,12"
"12/01/2015","EA-062-TOT",""
"12/01/2015","EA-063-PR","0,11"
"12/01/2015","EA-112-TOT",""
"12/01/2015","EA-117-TOT",""
"12/01/2015","EA-430B",""
"13/01/2015","EA-001","0,48"
"13/01/2015","EA-007",""
"13/01/2015","EA-013-TOT",""
"13/01/2015","EA-021-PR","0,11"
"13/01/2015","EA-062-TOT",""
"13/01/2015","EA-063-PR","0,13"
"13/01/2015","EA-112-TOT",""
"13/01/2015","EA-117-TOT",""
"13/01/2015","EA-430B",""
"14/01/2015","EA-001","0,48"
"14/01/2015","EA-007",""
"14/01/2015","EA-013-TOT",""
"14/01/2015","EA-021-PR","0,14"
"14/01/2015","EA-062-TOT",""
"14/01/2015","EA-063-PR","0,16"
"14/01/2015","EA-112-TOT",""
"14/01/2015","EA-117-TOT",""
"14/01/2015","EA-430B",""
"15/01/2015","EA-001","0,48"
"15/01/2015","EA-007",""
"15/01/2015","EA-013-TOT",""
"15/01/2015","EA-021-PR","0,14"
"15/01/2015","EA-062-TOT",""
"15/01/2015","EA-063-PR","0,15"
"15/01/2015","EA-112-TOT",""
"15/01/2015","EA-117-TOT",""
"15/01/2015","EA-430B",""
"16/01/2015","EA-001","0,48"
"16/01/2015","EA-007",""
"16/01/2015","EA-013-TOT",""
"16/01/2015","EA-021-PR","0,14"
"16/01/2015","EA-062-TOT",""
"16/01/2015","EA-063-PR","0,13"
"16/01/2015","EA-112-TOT",""
"16/01/2015","EA-117-TOT",""
"16/01/2015","EA-430B",""
"17/01/2015","EA-001","0,48"
"17/01/2015","EA-007",""
"17/01/2015","EA-013-TOT",""
"17/01/2015","EA-021-PR","0,11"
"17/01/2015","EA-062-TOT",""
"17/01/2015","EA-063-PR","0,11"
"17/01/2015","EA-112-TOT",""
"17/01/2015","EA-117-TOT",""
"17/01/2015","EA-430B",""
"18/01/2015","EA-001","0,48"
"18/01/2015","EA-007",""
"18/01/2015","EA-013-TOT",""
"18/01/2015","EA-021-PR","0,10"
"18/01/2015","EA-062-TOT",""
"18/01/2015","EA-063-PR","0,14"
"18/01/2015","EA-112-TOT",""
"18/01/2015","EA-117-TOT",""
"18/01/2015","EA-430B",""
"19/01/2015","EA-001","0,48"
"19/01/2015","EA-007",""
"19/01/2015","EA-013-TOT",""
"19/01/2015","EA-021-PR","0,17"
"19/01/2015","EA-062-TOT",""
"19/01/2015","EA-063-PR","0,17"
"19/01/2015","EA-112-TOT",""
"19/01/2015","EA-117-TOT",""
"19/01/2015","EA-430B",""
"20/01/2015","EA-001","0,48"
"20/01/2015","EA-007",""
"20/01/2015","EA-013-TOT",""
"20/01/2015","EA-021-PR","0,11"
"20/01/2015","EA-062-TOT",""
"20/01/2015","EA-063-PR","0,08"
"20/01/2015","EA-112-TOT",""
"20/01/2015","EA-117-TOT",""
