Fecha medida,Código,Nivel medio diario (m)
2015-01-01,EA-001,0.460
2015-01-01,EA-007,
2015-01-01,EA-013-TOT,
2015-01-01,EA-021-PR,0.140
2015-01-01,EA-062-TOT,
2015-01-01,EA-063-PR,0.160
2015-01-01,EA-112-TOT,
2015-01-01,EA-117-TOT,
2015-01-01,EA-430B,
2015-01-02,EA-001,0.470
2015-01-02,EA-007,
2015-01-02,EA-013-TOT,
2015-01-02,EA-021-PR,0.140
2015-01-02,EA-062-TOT,
2015-01-02,EA-063-PR,0.160
2015-01-02,EA-112-TOT,
2015-01-02,EA-117-TOT,
2015-01-02,EA-430B,
2015-01-03,EA-001,0.470
2015-01-03,EA-007,
2015-01-03,EA-013-TOT,
2015-01-03,EA-021-PR,0.110
2015-01-03,EA-062-TOT,
2015-01-03,EA-063-PR,0.110
2015-01-03,EA-112-TOT,
2015-01-03,EA-117-TOT,
2015-01-03,EA-430B,
2015-01-04,EA-001,0.470
2015-01-04,EA-007,
2015-01-04,EA-013-TOT,
2015-01-04,EA-021-PR,0.110
2015-01-04,EA-062-TOT,
2015-01-04,EA-063-PR,0.130
2015-01-04,EA-112-TOT,
2015-01-04,EA-117-TOT,
2015-01-04,EA-430B,
2015-01-05,EA-001,0.470
2015-01-05,EA-007,
2015-01-05,EA-013-TOT,
2015-01-05,EA-021-PR,0.120
2015-01-05,EA-062-TOT,
2015-01-05,EA-063-PR,0.130
2015-01-05,EA-112-TOT,
2015-01-05,EA-117-TOT,
2015-01-05,EA-430B,
2015-01-06,EA-001,0.470
2015-01-06,EA-007,
2015-01-06,EA-013-TOT,
2015-01-06,EA-021-PR,0.120
2015-01-06,EA-062-TOT,
2015-01-06,EA-063-PR,0.130
2015-01-06,EA-112-TOT,
2015-01-06,EA-117-TOT,
2015-01-06,EA-430B,
2015-01-07,EA-001,0.470
2015-01-07,EA-007,
2015-01-07,EA-013-TOT,
2015-01-07,EA-021-PR,0.130
2015-01-07,EA-062-TOT,
2015-01-07,EA-063-PR,0.160
2015-01-07,EA-112-TOT,
2015-01-07,EA-117-TOT,
2015-01-07,EA-430B,
2015-01-08,EA-001,0.470
2015-01-08,EA-007,
2015-01-08,EA-013-TOT,
2015-01-08,EA-021-PR,0.140
2015-01-08,EA-062-TOT,
2015-01-08,EA-063-PR,0.160
2015-01-08,EA-112-TOT,
2015-01-08,EA-117-TOT,
2015-01-08,EA-430B,
2015-01-09,EA-001,0.470
2015-01-09,EA-007,
2015-01-09,EA-013-TOT,
2015-01-09,EA-021-PR,0.130
2015-01-09,EA-062-TOT,
2015-01-09,EA-063-PR,0.160
2015-01-09,EA-112-TOT,
2015-01-09,EA-117-TOT,
2015-01-09,EA-430B,
2015-01-10,EA-001,0.470
2015-01-10,EA-007,
2015-01-10,EA-013-TOT,
2015-01-10,EA-021-PR,0.110
2015-01-10,EA-062-TOT,
2015-01-10,EA-063-PR,0.140
2015-01-10,EA-112-TOT,
2015-01-10,EA-117-TOT,
2015-01-10,EA-430B,
2015-01-11,EA-001,0.470
2015-01-11,EA-007,
2015-01-11,EA-013-TOT,
2015-01-11,EA-021-PR,0.110
2015-01-11,EA-062-TOT,
2015-01-11,EA-063-PR,0.140
2015-01-11,EA-112-TOT,
2015-01-11,EA-117-TOT,
2015-01-11,EA-430B,
2015-01-12,EA-001,0.470
2015-01-12,EA-007,
2015-01-12,EA-013-TOT,
2015-01-12,EA-021-PR,0.120
2015-01-12,EA-062-TOT,
2015-01-12,EA-063-PR,0.110
2015-01-12,EA-112-TOT,
2015-01-12,EA-117-TOT,
2015-01-12,EA-430B,
2015-01-13,EA-001,0.480
2015-01-13,EA-007,
2015-01-13,EA-013-TOT,
2015-01-13,EA-021-PR,0.110
2015-01-13,EA-062-TOT,
2015-01-13,EA-063-PR,0.130
2015-01-13,EA-112-TOT,
2015-01-13,EA-117-TOT,
2015-01-13,EA-430B,
2015-01-14,EA-001,0.480
2015-01-14,EA-007,
2015-01-14,EA-013-TOT,
2015-01-14,EA-021-PR,0.140
2015-01-14,EA-062-TOT,
2015-01-14,EA-063-PR,0.160
2015-01-14,EA-112-TOT,
2015-01-14,EA-117-TOT,
2015-01-14,EA-430B,
2015-01-15,EA-001,0.480
2015-01-15,EA-007,
2015-01-15,EA-013-TOT,
2015-01-15,EA-021-PR,0.140
2015-01-15,EA-062-TOT,
2015-01-15,EA-063-PR,0.150
2015-01-15,EA-112-TOT,
2015-01-15,EA-117-TOT,
2015-01-15,EA-430B,
2015-01-16,EA-001,0.480
2015-01-16,EA-007,
2015-01-16,EA-013-TOT,
2015-01-16,EA-021-PR,0.140
2015-01-16,EA-062-TOT,
2015-01-16,EA-063-PR,0.130
2015-01-16,EA-112-TOT,
2015-01-16,EA-117-TOT,
