"Fec. medida","Código","Evapor. diaria (m³)","Desagüe diario (m³)","Altura diaria (m)","Superf. diaria (m2)","Aport. diaria (m³)","Volumen diario (m³)"
"01/01/2015","EB-004","2.484","1.188.000","32","2.484.014","1.412.571","22.755.693"
"01/01/2015","EB-006","3.457","648.000","54","5.761.547","364.324","110.957.540"
"01/01/2015","EB-009","14.822","172.800","71","13.474.429","728.046","299.259.387"
"01/01/2015","EB-010","2.124","1.088.640","26","1.770.318","1.196.584","13.464.483"
"02/01/2015","EB-004","3.240","1.200.960","32","2.492.645","1.401.611","22.953.104"
"02/01/2015","EB-006","9.781","561.600","54","5.753.473","341.674","110.727.833"
"02/01/2015","EB-009","25.625","216.000","71","13.486.636","646.943","299.664.705"
"02/01/2015","EB-010","2.669","1.080.000","26","1.779.628","1.206.126","13.587.940"
"03/01/2015","EB-004","4.254","1.183.680","32","2.502.354","1.410.022","23.175.192"
"03/01/2015","EB-006","10.912","648.000","54","5.743.381","371.780","110.440.701"
"03/01/2015","EB-009","37.808","172.800","71","13.502.912","751.033","300.205.130"
"03/01/2015","EB-010","3.396","1.080.000","26","1.787.607","1.189.216","13.693.760"
"04/01/2015","EB-004","5.271","1.157.760","32","2.509.906","1.335.765","23.347.926"
"04/01/2015","EB-006","11.467","648.000","54","5.733.288","372.334","110.153.568"
"04/01/2015","EB-009","32.446","172.800","72","13.519.188","745.670","300.745.554"
"04/01/2015","EB-010","3.594","1.036.800","26","1.796.916","1.163.851","13.817.217"
"05/01/2015","EB-004","1.512","1.200.960","32","2.520.694","1.449.236","23.594.690"
"05/01/2015","EB-006","6.870","648.000","54","5.725.214","425.163","109.923.861"
"05/01/2015","EB-009","16.243","172.800","72","13.535.464","729.468","301.285.979"
"05/01/2015","EB-010","1.987","1.080.000","26","1.806.225","1.205.444","13.940.674"
"06/01/2015","EB-004","3.793","1.166.400","32","2.528.952","1.374.970","23.799.467"
"06/01/2015","EB-006","5.713","648.000","54","5.713.103","309.154","109.579.302"
"06/01/2015","EB-009","21.683","172.800","72","13.551.740","734.907","301.826.403"
"06/01/2015","EB-010","2.901","1.080.000","26","1.812.875","1.171.084","14.028.857"
"07/01/2015","EB-004","1.268","1.248.480","32","2.535.105","1.404.121","23.953.840"
"07/01/2015","EB-006","2.853","648.000","54","5.705.029","421.146","109.349.595"
"07/01/2015","EB-009","14.925","172.800","72","13.568.016","728.149","302.366.827"
"07/01/2015","EB-010","1.275","1.145.664","26","1.820.854","1.252.759","14.134.677"
"08/01/2015","EB-004","1.521","1.252.800","32","2.535.105","1.254.321","23.953.840"
"08/01/2015","EB-006","8.545","648.000","54","5.696.955","426.839","109.119.889"
"08/01/2015","EB-009","5.434","172.800","72","13.584.292","718.659","302.907.252"
"08/01/2015","EB-010","1.647","1.130.976","26","1.830.163","1.256.080","14.258.134"
"09/01/2015","EB-004","1.525","1.252.800","32","2.542.283","1.434.427","24.133.942"
"09/01/2015","EB-006","13.634","622.080","54","5.680.807","176.301","108.660.476"
"09/01/2015","EB-009","54.393","198.720","72","13.598.249","716.527","303.370.666"
"09/01/2015","EB-010","910","1.395.360","26","1.819.524","1.255.176","14.117.040"
"10/01/2015","EB-004","2.295","1.252.800","32","2.549.462","1.435.196","24.314.043"
"10/01/2015","EB-006","11.337","699.840","54","5.668.696","366.618","108.315.917"
"10/01/2015","EB-009","54.467","164.160","72","13.616.844","836.062","303.988.101"
"10/01/2015","EB-010","5.608","1.395.360","26","1.808.885","1.259.875","13.975.947"
"11/01/2015","EB-004","6.389","1.252.800","32","2.555.615","1.413.562","24.468.416"
"11/01/2015","EB-006","13.585","587.520","54","5.660.622","371.398","108.086.210"
"11/01/2015","EB-009","38.161","216.000","72","13.629.051","659.479","304.393.419"
"11/01/2015","EB-010","4.316","1.396.224","26","1.798.246","1.259.446","13.834.853"
"12/01/2015","EB-004","2.307","1.248.480","32","2.562.794","1.430.888","24.648.517"
"12/01/2015","EB-006","6.785","648.000","54","5.654.566","482.506","107.913.931"
"12/01/2015","EB-009","19.103","172.800","72","13.645.327","732.327","304.933.843"
"12/01/2015","EB-010","1.966","1.391.904","26","1.787.607","1.252.777","13.693.760"
"13/01/2015","EB-004","2.827","1.248.480","32","2.569.972","1.431.409","24.828.619"
"13/01/2015","EB-006","10.164","648.000","54","5.646.492","428.457","107.684.224"
"13/01/2015","EB-009","23.225","172.800","72","13.661.603","736.450","305.474.268"
"13/01/2015","EB-010","3.199","1.391.904","26","1.776.968","1.254.009","13.552.666"
"14/01/2015","EB-004","3.094","1.248.480","33","2.578.177","1.457.404","25.034.449"
"14/01/2015","EB-006","7.891","648.000","54","5.636.579","374.711","107.403.044"
"14/01/2015","EB-009","23.252","172.800","72","13.677.879","736.476","306.014.692"
"14/01/2015","EB-010","2.649","1.391.904","26","1.766.329","1.253.460","13.411.573"
"15/01/2015","EB-004","5.688","1.238.976","33","2.585.355","1.424.765","25.214.550"
"15/01/2015","EB-006","11.820","648.000","54","5.628.744","438.050","107.181.274"
"15/01/2015","EB-009","39.713","172.800","72","13.694.155","752.938","306.555.117"
"15/01/2015","EB-010","2.980","1.417.824","25","1.753.030","1.244.437","13.235.206"
"16/01/2015","EB-004","9.333","1.239.840","33","2.592.534","1.429.275","25.394.652"
"16/01/2015","EB-006","17.981","604.800","54","5.618.951","345.569","106.904.062"
"16/01/2015","EB-009","75.385","246.240","72","13.706.362","726.943","306.960.435"
"16/01/2015","EB-010","5.571","1.401.408","25","1.741.061","1.248.249","13.076.476"
"17/01/2015","EB-004","5.462","1.252.800","33","2.600.738","1.464.092","25.600.482"
"17/01/2015","EB-006","3.364","648.000","53","5.607.199","318.709","106.571.407"
"17/01/2015","EB-009","38.423","172.800","72","13.722.638","759.786","307.508.998"
"17/01/2015","EB-010","4.849","1.378.080","25","1.731.752","1.259.472","12.953.019"
"18/01/2015","EB-004","782","1.252.800","33","2.605.866","1.382.226","25.729.126"
"18/01/2015","EB-006","13.998","648.000","53","5.599.364","440.228","106.349.637"
"18/01/2015","EB-009","5.497","172.800","72","13.742.983","874.173","308.204.874"
"18/01/2015","EB-010","1.033","1.377.216","25","1.722.443","1.254.792","12.829.562"
"19/01/2015","EB-004","2.859","1.414.800","33","2.598.687","1.237.558","25.549.025"
"19/01/2015","EB-006","2.794","648.000","53","5.587.612","318.139","106.016.982"
"19/01/2015","EB-009","0","172.800","72","13.759.259","729.501","308.761.575"
"19/01/2015","EB-010","1.561","1.257.120","25","1.734.412","1.417.411","12.988.292"
"20/01/2015","EB-004","4.670","1.425.600","33","2.594.585","1.327.354","25.446.109"
"20/01/2015","EB-006","14.507","648.000","53","5.579.778","440.738","105.795.213"
"20/01/2015","EB-009","27.551","172.800","72","13.775.535","757.052","309.318.276"
"20/01/2015","EB-010","2.451","1.214.784","25","1.750.370","1.428.876","13.199.933"
"21/01/2015","EB-004","5.451","1.425.600","33","2.595.610","1.456.780","25.471.838"
"21/01/2015","EB-006","10.033","561.600","53","5.573.902","405.305","105.628.885"
"21/01/2015","EB-009","53.772","172.800","72","13.787.742","644.098","309.735.802"
"21/01/2015","EB-010","3.000","1.232.064","26","1.764.999","1.429.067","13.393.936"
"22/01/2015","EB-004","7.533","1.425.600","33","2.597.661","1.484.591","25.523.296"
"22/01/2015","EB-006","19.468","648.000","53","5.562.150","334.814","105.296.231"
"22/01/2015","EB-009","64.879","172.800","72","13.804.018","794.380","310.292.503"
"22/01/2015","EB-010","3.912","1.250.122","26","1.778.298","1.430.401","13.570.303"
"23/01/2015","EB-004","9.840","1.425.600","33","2.589.457","1.229.609","25.317.465"
"23/01/2015","EB-006","16.657","648.000","53","5.552.356","387.444","105.019.018"
"23/01/2015","EB-009","95.360","172.800","72","13.820.294","824.862","310.849.205"
"23/01/2015","EB-010","6.275","1.232.928","26","1.792.926","1.433.207","13.764.307"
"24/01/2015","EB-004","8.515","1.425.600","33","2.580.228","1.202.556","25.085.906"
"24/01/2015","EB-006","14.411","613.440","53","5.542.563","350.639","104.741.806"
"24/01/2015","EB-009","85.762","216.000","72","13.832.501","719.287","311.266.730"
"24/01/2015","EB-010","5.776","1.268.352","26","1.804.895","1.432.858","13.923.037"
"25/01/2015","EB-004","9.516","1.425.600","32","2.572.023","1.229.286","24.880.076"
"25/01/2015","EB-006","15.492","648.000","53","5.532.769","386.280","104.464.594"
"25/01/2015","EB-009","77.553","172.800","72","13.848.777","807.055","311.823.432"
"25/01/2015","EB-010","4.913","1.232.928","26","1.819.524","1.431.844","14.117.040"
"26/01/2015","EB-004","5.897","1.339.200","32","2.563.819","1.139.267","24.674.246"
"26/01/2015","EB-006","11.582","708.480","53","5.515.141","221.080","103.965.612"
"26/01/2015","EB-009","42.982","172.800","72","13.865.053","772.483","312.380.133"
"26/01/2015","EB-010","3.843","1.200.960","26","1.830.163","1.345.897","14.258.134"
"27/01/2015","EB-004","9.971","1.380.672","32","2.556.641","1.210.542","24.494.145"
"27/01/2015","EB-006","17.617","604.800","53","5.505.348","345.204","103.688.399"
"27/01/2015","EB-009","83.264","198.720","72","13.877.260","699.510","312.797.659"
"27/01/2015","EB-010","7.562","1.209.600","26","1.844.460","1.389.025","14.429.997"
"28/01/2015","EB-004","7.133","1.380.672","32","2.547.411","1.156.246","24.262.586"
"28/01/2015","EB-006","19.805","561.600","53","5.501.431","470.521","103.577.515"
"28/01/2015","EB-009","77.804","172.800","72","13.893.536","807.305","313.354.360"
"28/01/2015","EB-010","6.320","1.166.400","26","1.858.758","1.344.584","14.601.861"
"29/01/2015","EB-004","11.173","1.408.320","32","2.539.207","1.213.662","24.056.755"
"29/01/2015","EB-006","28.597","449.280","53","5.499.472","422.434","103.522.072"
"29/01/2015","EB-009","123.761","172.800","72","13.905.743","714.087","313.771.886"
"29/01/2015","EB-010","14.972","1.257.120","26","1.871.467","1.424.859","14.754.628"
"30/01/2015","EB-004","0","1.326.240","32","2.536.130","1.249.054","23.979.569"
"30/01/2015","EB-006","46.163","604.800","53","5.495.555","540.078","103.411.187"
"30/01/2015","EB-009","155.881","203.040","73","13.917.950","776.447","314.189.412"
"30/01/2015","EB-010","14.569","1.079.136","26","1.892.119","1.341.952","15.002.875"
"31/01/2015","EB-004","0","1.339.200","33","2.637.176","3.873.198","26.513.567"
"31/01/2015","EB-006","26.345","561.600","53","5.605.240","3.692.722","106.515.964"
"31/01/2015","EB-009","57.114","172.800","73","13.930.157","647.439","314.606.937"
"31/01/2015","EB-010","9.411","997.056","27","1.920.714","1.350.194","15.346.602"
"01/02/2015","EB-004","0","1.330.560","33","2.661.808","1.946.430","27.129.437"
"01/02/2015","EB-006","18.114","561.600","54","5.660.622","2.149.960","108.086.210"
"01/02/2015","EB-009","65.529","172.800","73","13.942.364","655.855","315.024.463"
"01/02/2015","EB-010","6.806","993.600","27","1.944.543","1.286.845","15.633.041"
"02/02/2015","EB-004","0","1.612.800","33","2.656.453","1.478.915","26.995.552"
"02/02/2015","EB-006","11.402","648.000","54","5.700.992","1.807.934","109.234.742"
"02/02/2015","EB-009","41.876","172.800","73","13.958.640","771.377","315.581.164"
"02/02/2015","EB-010","5.093","1.264.032","27","1.958.840","1.440.988","15.804.904"
"03/02/2015","EB-004","0","1.663.200","33","2.659.666","1.743.531","27.075.883"
"03/02/2015","EB-006","12.631","639.360","54","5.741.362","1.800.523","110.383.274"
"03/02/2015","EB-009","57.297","172.800","73","13.974.916","786.799","316.137.866"
"03/02/2015","EB-010","6.334","1.416.960","27","1.979.492","1.671.541","16.053.151"
"04/02/2015","EB-004","0","1.655.424","33","2.659.666","1.655.424","27.075.883"
"04/02/2015","EB-006","9.241","596.160","54","5.775.677","1.581.653","111.359.526"
"04/02/2015","EB-009","74.132","216.000","73","13.987.123","707.657","316.555.391"
"04/02/2015","EB-010","7.403","1.416.960","27","2.000.838","1.664.187","16.292.975"
"05/02/2015","EB-004","14.581","1.563.840","33","2.651.099","1.364.206","26.861.668"
"05/02/2015","EB-006","22.612","648.000","54","5.797.880","1.302.304","111.991.218"
"05/02/2015","EB-009","88.221","224.640","73","14.003.399","869.563","317.112.093"
"05/02/2015","EB-010","8.899","1.339.200","27","2.022.497","1.577.722","16.522.598"
"06/02/2015","EB-004","0","1.667.520","33","2.641.460","1.426.527","26.620.675"
"06/02/2015","EB-006","11.632","622.080","55","5.816.047","1.150.552","112.508.058"
"06/02/2015","EB-009","51.858","216.000","73","14.015.606","685.383","317.529.618"
"06/02/2015","EB-010","5.939","1.397.088","27","2.048.094","1.674.398","16.793.969"
"07/02/2015","EB-004","3.951","1.665.792","33","2.633.963","1.482.304","26.433.236"
"07/02/2015","EB-006","8.157","613.440","55","5.826.139","908.730","112.795.191"
"07/02/2015","EB-009","21.042","216.000","73","14.027.813","654.568","317.947.144"
"07/02/2015","EB-010","3.315","1.416.960","27","2.071.722","1.670.772","17.044.466"
"08/02/2015","EB-004","9.189","1.650.240","33","2.625.396","1.445.214","26.219.021"
"08/02/2015","EB-006","20.981","648.000","55","5.828.158","726.407","112.852.617"
"08/02/2015","EB-009","26.684","172.800","73","14.044.089","756.185","318.503.845"
"08/02/2015","EB-010","3.559","1.421.280","28","2.093.380","1.654.461","17.274.088"
