fecha,nombre_estacion,tm_min,tm_max,tm_mes,ta_min,ta_max,p_mes,p_max,q_min,q_max,q_med,q_mar,hr,inso,p_sol,w_med,w_racha,w_rec
2015-01-01,San Javier Aeropuerto,14.3,24.1,19.2,-0.3,39.3,247.2,73.9(05/sep),990.2,1044.0,1018.7,1019.0,66.0,9.0,74,15,,
2016-01-01,San Javier Aeropuerto,,,,,,354.2,163.3(18/dic),996.2,1037.5,1017.3,,,8.7,70,15,,
2017-01-01,San Javier Aeropuerto,13.7,23.7,18.8,-0.4,35.6,155.4,28.6(29/ago),994.3,1037.3,1018.3,1018.7,69.0,9.3,76,15,,
2018-01-01,San Javier Aeropuerto,13.8,23.8,18.8,1.0,36.6,257.4,39.3(14/sep),990.1,1035.0,1015.6,1015.9,,9.0,73,15,30/25.8(14/dic),351
2019-01-01,San Javier Aeropuerto,,,,,,521.9,205.2(12/sep),994.7,1034.4,1016.6,1017.0,,9.1,74,16,,
2020-01-01,San Javier Aeropuerto,13.9,24.2,19.1,0.8,36.3,286.3,56.7(23/mar),992.8,1035.4,1017.6,1018.0,70.0,9.1,74,16,,
2021-01-01,San Javier Aeropuerto,14.3,23.6,18.9,-1.2,38.1,379.9,56.7(23/may),1000.9,1036.2,1016.8,1017.2,73.0,8.4,68,17,06/21.7(10/abr),374
2022-01-01,San Javier Aeropuerto,14.4,24.0,19.2,0.4,41.9,447.8,44.8(25/sep),999.2,1035.5,1017.4,1017.8,,8.7,70,15,04/24.7(04/abr),344
2023-01-01,San Javier Aeropuerto,13.9,24.0,19.0,0.6,36.8,136.7,26.8(22/may),992.4,1038.0,1017.4,1017.7,,9.3,76,15,,
2024-01-01,San Javier Aeropuerto,14.7,24.1,19.5,2.5,38.5,173.7,27.1(12/nov),992.0,1040.6,1016.8,1017.2,68.0,9.0,73,16,05/25.8(28/oct),348
