fecha,nombre_estacion,tm_min,tm_max,tm_mes,ta_min,ta_max,p_mes,p_max,q_min,q_max,q_med,q_mar,hr,inso,p_sol,w_med,w_racha,w_rec
2015-01-01,Caravaca de la Cruz,,,,,,,,,,,,,,,,,
2016-01-01,Caravaca de la Cruz,9.3,23.1,16.3,-2.6,40.4,417.4,70.6(18/dic),921.3,961.4,943.8,1017.1,52.0,6.8,53.0,9.0,28/23.1(14/feb),188
2017-01-01,Caravaca de la Cruz,8.9,23.6,16.3,-7.2,41.4,198.9,45.4(13/mar),920.3,961.0,944.7,1018.0,50.0,7.2,57.0,8.0,26/18.1(28/jun),188
2018-01-01,Caravaca de la Cruz,,,,,,551.2,49.0(16/nov),,,,,,,,,,
2019-01-01,Caravaca de la Cruz,8.8,23.3,16.1,-6.0,40.9,270.0,44.0(19/abr),921.1,958.0,943.3,1016.6,50.0,,,8.0,26/24.7(21/dic),192
2020-01-01,Caravaca de la Cruz,9.1,23.6,16.4,-2.9,41.5,397.2,43.8(20/ene),921.7,959.7,944.1,1017.4,53.0,6.5,51.0,8.0,24/23.1(02/mar),181
2021-01-01,Caravaca de la Cruz,9.6,23.2,16.4,-2.6,44.6,390.5,47.9(23/may),928.0,959.6,943.4,1016.6,53.0,7.0,56.0,8.0,28/22.2(24/ene),182
2022-01-01,Caravaca de la Cruz,9.9,24.2,17.0,-3.5,41.3,499.4,58.8(02/may),926.3,958.4,944.2,1017.3,51.0,7.5,59.0,8.0,28/21.9(21/nov),184
2023-01-01,Caravaca de la Cruz,9.5,24.6,17.1,-4.8,42.8,393.4,63.2(22/may),921.4,961.5,944.0,1017.1,48.0,7.6,61.0,8.0,27/27.5(02/nov),182
2024-01-01,Caravaca de la Cruz,,,,,,335.2,80.6(28/oct),918.6,963.6,943.4,1016.3,,,,8.0,26/28.1(27/mar),188
