fecha,nombre_estacion,tm_min,tm_max,tm_mes,ta_min,ta_max,p_mes,p_max,hr
2015-01-01,Bullas,11.0,22.4,16.7,-1.5,40.6,376.4,45.4(01/nov),60.0
2016-01-01,Bullas,,,,,,471.6,96.6(18/dic),
2017-01-01,Bullas,11.1,22.6,16.9,-4.3,38.9,183.8,,59.0
2018-01-01,Bullas,,,,,,451.9,62.0(18/nov),
2019-01-01,Bullas,11.2,22.8,17.0,-2.2,40.9,536.9,96.2(12/sep),58.0
2020-01-01,Bullas,11.0,22.6,16.8,-1.3,39.4,181.2,27.0(04/nov),60.0
2021-01-01,Bullas,11.2,22.1,16.7,-2.3,42.6,266.0,,61.0
2022-01-01,Bullas,11.9,22.9,17.4,0.3,39.1,635.4,106.2(23/mar),59.0
2023-01-01,Bullas,11.6,23.4,17.5,-1.7,42.1,289.2,43.4(22/may),56.0
2024-01-01,Bullas,12.1,23.4,17.8,1.3,41.1,160.8,33.4(14/nov),56.0
