fecha,nombre_estacion,tm_min,tm_max,tm_mes,ta_min,ta_max,p_mes,p_max,hr,w_med,w_racha,w_rec
2015-01-01,Cieza,,,,,,260.1,34.4(27/sep),,11.0,,
2016-01-01,Cieza,,,,,,327.1,72.8(18/dic),,,,
2017-01-01,Cieza,11.0,24.4,17.7,-3.7,40.6,195.2,34.4(13/mar),54.0,11.0,28/22.5(05/feb),226
2018-01-01,Cieza,,,,,,408.1,65.5(15/nov),,10.0,,
2019-01-01,Cieza,11.0,24.6,17.8,-3.1,42.5,451.9,167.3(12/sep),57.0,10.0,25/23.1(06/jul),206
2020-01-01,Cieza,,,,,,273.1,39.3(21/ene),,9.0,28/21.1(02/mar),182
2021-01-01,Cieza,12.0,25.0,18.6,-2.6,45.3,,,,8.0,,
2022-01-01,Cieza,12.5,26.1,19.4,-2.6,44.2,271.2,20.8(12/abr),57.0,8.0,27/23.1(21/jun),166
2023-01-01,Cieza,,,,,,,,,7.0,,
2024-01-01,Cieza,12.9,26.4,19.7,0.4,42.1,176.7,45.9(28/oct),55.0,10.0,29/20.3(10/feb),202
