fecha,nombre_estacion,tm_min,tm_max,tm_mes,ta_min,ta_max,p_mes,p_max,q_min,q_max,q_med,q_mar,hr,inso,p_sol,w_med,w_racha,w_rec
2015-01-01,Murcia,13.7,26.3,20.0,-0.6,43.4,236.5,46.8(05/sep),984.0,1037.1,1011.9,1019.1,57,8.7,71,10.0,30/23.6(31/ene),203
2016-01-01,Murcia,14.0,26.1,20.1,1.0,44.6,369.5,109.2(18/dic),988.6,1030.6,1010.2,1017.4,56,8.7,70,10.0,27/22.5(14/feb),206
2017-01-01,Murcia,13.5,26.3,19.9,-1.1,41.4,177.9,44.0(13/mar),986.5,1030.7,1011.1,1018.4,55,9.2,74,10.0,04/24.2(13/mar),202
2018-01-01,Murcia,13.7,25.6,19.7,0.6,40.7,306.3,36.2(27/ene),982.4,1028.3,1008.5,1015.7,54,8.8,72,10.0,25/26.1(24/mar),204
2019-01-01,Murcia,13.4,25.8,19.6,-1.4,42.6,476.0,169.0(12/sep),987.3,1027.7,1009.5,1016.8,54,9.0,74,9.0,30/19.2(02/feb),201
2020-01-01,Murcia,13.5,26.1,19.8,-0.3,42.8,306.7,64.8(23/mar),985.8,1028.7,1010.4,1017.7,58,9.0,74,9.0,31/22.5(02/oct),188
2021-01-01,Murcia,13.9,25.5,19.7,-1.1,46.2,342.6,60.4(23/may),993.6,1028.3,1009.6,1016.9,58,8.3,67,,,
2022-01-01,Murcia,14.3,26.5,20.4,-1.2,45.1,440.6,84.6(25/sep),992.2,1028.6,1010.2,1017.4,57,8.6,69,9.0,32/24.7(25/sep),189
2023-01-01,Murcia,14.1,27.1,20.6,-1.2,43.8,197.8,42.4(15/sep),985.5,1031.2,1010.1,1017.3,54,9.0,74,10.0,30/20.3(18/ene),197
2024-01-01,Murcia,14.8,26.9,20.9,2.3,42.5,237.0,51.2(12/jun),984.7,1034.0,1009.5,1016.8,53,8.8,71,9.0,29/22.8(10/jun),200
