fecha,nombre_estacion,tm_min,tm_max,tm_mes,ta_min,ta_max,p_mes,p_max,hr
2015-01-01,"Caravaca de la Cruz, Los Royos",8.0,20.6,14.3,-4.4,37.7,286.1,37.4(01/nov),56
2016-01-01,"Caravaca de la Cruz, Los Royos",8.0,20.2,14.1,-5.3,37.4,331.6,62.2(18/dic),57
2017-01-01,"Caravaca de la Cruz, Los Royos",7.5,20.8,14.2,-7.8,40.2,,,56
2018-01-01,"Caravaca de la Cruz, Los Royos",7.5,19.6,13.6,-6.3,35.9,316.4,,60
2019-01-01,"Caravaca de la Cruz, Los Royos",7.6,20.4,14.0,-6.8,37.1,284.2,43.4(12/sep),55
2020-01-01,"Caravaca de la Cruz, Los Royos",7.7,20.8,14.2,-4.2,38.4,254.6,27.0(14/jul),59
2021-01-01,"Caravaca de la Cruz, Los Royos",8.1,20.1,14.1,-5.1,40.1,,,60
2022-01-01,"Caravaca de la Cruz, Los Royos",8.4,21.2,14.8,-7.2,37.8,406.6,45.4(16/mar),56
2023-01-01,"Caravaca de la Cruz, Los Royos",8.3,21.7,15.0,-6.6,40.3,227.8,29.4(22/may),53
2024-01-01,"Caravaca de la Cruz, Los Royos",8.9,21.8,15.3,-3.6,40.7,235.2,21.2(29/abr),55
