fecha,nombre_estacion,tm_min,tm_max,tm_mes,ta_min,ta_max,p_mes,p_max,hr,w_med,w_racha,w_rec
2015-01-01,"Lorca, Zarcilla de Ramos",,,,,,,,,,,
2016-01-01,"Lorca, Zarcilla de Ramos",10.3,23.0,16.7,-3.3,40.3,311.2,64.2(18/dic),54.0,12.0,28/26.7(14/feb),252
2017-01-01,"Lorca, Zarcilla de Ramos",9.8,23.5,16.7,-4.8,39.2,162.2,24.2(29/ago),54.0,11.0,23/27.5(03/mar),235
2018-01-01,"Lorca, Zarcilla de Ramos",,,,,,298.0,30.4(10/may),,,,
2019-01-01,"Lorca, Zarcilla de Ramos",9.7,23.4,16.6,-3.3,40.5,215.6,33.4(19/abr),,12.0,29/29.7(23/nov),249
2020-01-01,"Lorca, Zarcilla de Ramos",9.9,24.0,17.0,-2.8,44.4,248.8,35.6(17/may),56.0,11.0,26/26.1(08/dic),228
2021-01-01,"Lorca, Zarcilla de Ramos",10.4,23.4,16.9,-2.4,43.9,223.0,33.4(23/may),56.0,11.0,25/26.9(22/ene),243
2022-01-01,"Lorca, Zarcilla de Ramos",10.7,24.4,17.6,-3.8,41.8,329.8,53.0(16/mar),53.0,10.0,26/22.2(13/dic),227
2023-01-01,"Lorca, Zarcilla de Ramos",,,,,,,,,,,
2024-01-01,"Lorca, Zarcilla de Ramos",11.3,24.7,18.0,-1.1,42.8,161.4,26.4(15/oct),51.0,12.0,23/27.5(17/ene),243
