fecha,nombre_estacion,tm_min,tm_max,tm_mes,ta_min,ta_max,p_mes,p_max,hr,w_med,w_racha,w_rec
2015-01-01,Lorca,11.7,25.0,18.3,-2.2,43.4,140.1,18.1(21/mar),57.0,5.0,31/18.9(31/ene),98
2016-01-01,Lorca,11.8,24.5,18.2,-0.9,41.9,308.3,58.5(17/dic),57.0,5.0,30/19.7(14/feb),96
2017-01-01,Lorca,11.4,25.0,18.2,-1.8,40.2,115.2,35.9(30/ago),56.0,5.0,29/21.7(05/feb),101
2018-01-01,Lorca,,,,,,314.6,30.0(08/may),,,,
2019-01-01,Lorca,11.4,24.8,18.1,-3.4,40.4,,,57.0,5.0,31/17.8(02/feb),107
2020-01-01,Lorca,11.6,24.9,18.3,-3.4,41.6,190.6,17.6(01/abr),59.0,5.0,88/17.5(02/oct),96
2021-01-01,Lorca,,,,,,,,,,,
2022-01-01,Lorca,,,,,,,,,,,
2023-01-01,Lorca,,,,,,,,,,,
2024-01-01,Lorca,,,,,,143.4,33.2(12/nov),,4.0,,
