fecha,nombre_estacion,tm_min,tm_max,tm_mes,ta_min,ta_max,p_mes,p_max,hr,w_med,w_racha,w_rec
2015-01-01,Molina de Segura,12.7,25.6,19.1,-1.1,44.2,205.8,26.4(05/sep),59.0,11.0,33/22.5(26/nov),230
2016-01-01,Molina de Segura,12.6,25.2,19.0,0.6,43.3,328.7,90.6(18/dic),59.0,11.0,32/23.6(15/feb),235
2017-01-01,Molina de Segura,12.3,25.3,18.8,-1.0,41.3,178.8,37.8(19/ene),59.0,11.0,32/24.2(05/feb),231
2018-01-01,Molina de Segura,,,,,,341.0,48.8(15/nov),,,,
2019-01-01,Molina de Segura,12.5,24.9,18.8,0.9,43.9,560.2,257.0(12/sep),58.0,11.0,29/22.8(02/feb),239
2020-01-01,Molina de Segura,12.6,25.3,19.0,1.2,41.8,262.6,40.4(21/ene),61.0,10.0,32/21.4(02/mar),219
2021-01-01,Molina de Segura,,,,,,303.4,56.0(23/may),,11.0,,
2022-01-01,Molina de Segura,,,,,,355.4,25.4(06/oct),,,,
2023-01-01,Molina de Segura,13.1,26.4,19.8,-0.2,44.1,285.2,52.6(25/may),,10.0,33/23.3(18/ene),222
2024-01-01,Molina de Segura,13.6,26.4,20.0,2.6,43.3,132.0,27.4(12/jun),57.0,11.0,32/27.8(02/mar),221
