fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2015-01-01,7012C,CARTAGENA,MURCIA,17,11.4,0.0,7.0,23:59,15.7,13:40,03,"1,1","5,3",12:00,60.0,79.0,23:40,44.0,15:40
2015-01-02,7012C,CARTAGENA,MURCIA,17,10.0,0.0,4.7,08:00,15.3,12:20,19,"1,4","5,8",14:40,73.0,87.0,Varias,60.0,13:20
2015-01-03,7012C,CARTAGENA,MURCIA,17,10.7,0.0,5.2,06:30,16.2,14:10,22,"2,2","8,9",11:20,73.0,91.0,06:00,57.0,21:30
2015-01-04,7012C,CARTAGENA,MURCIA,17,12.1,0.0,6.8,05:40,17.4,14:00,17,"1,1","5,3",12:50,74.0,85.0,18:30,59.0,10:20
2015-01-05,7012C,CARTAGENA,MURCIA,17,13.0,0.0,8.8,01:30,17.2,12:50,99,"1,1","4,4",Varias,73.0,89.0,23:59,62.0,12:50
2015-01-06,7012C,CARTAGENA,MURCIA,17,10.8,0.0,6.2,06:40,15.5,16:00,24,"1,9","7,5",12:30,80.0,93.0,07:00,64.0,Varias
2015-01-07,7012C,CARTAGENA,MURCIA,17,12.0,0.0,7.4,01:40,16.5,13:40,06,"0,8","5,6",15:20,73.0,86.0,Varias,59.0,14:50
2015-01-08,7012C,CARTAGENA,MURCIA,17,12.2,0.0,6.8,07:00,17.6,13:40,36,"0,6","4,4",12:20,73.0,90.0,Varias,52.0,13:40
2015-01-09,7012C,CARTAGENA,MURCIA,17,11.6,0.0,5.7,07:30,17.5,12:50,26,"0,8","6,7",23:20,68.0,90.0,04:50,49.0,12:50
2015-01-10,7012C,CARTAGENA,MURCIA,17,10.6,0.0,4.9,05:40,16.4,13:20,19,"2,5","10,6",18:30,72.0,91.0,06:00,51.0,12:50
2015-01-11,7012C,CARTAGENA,MURCIA,17,14.1,0.0,6.1,08:00,22.1,13:30,32,"0,8","7,2",12:30,58.0,90.0,00:00,24.0,13:10
2015-01-12,7012C,CARTAGENA,MURCIA,17,12.6,0.0,8.6,04:40,16.7,12:30,07,"1,1","6,7",14:20,77.0,89.0,Varias,67.0,00:00
2015-01-13,7012C,CARTAGENA,MURCIA,17,13.2,0.0,9.6,23:59,16.9,12:40,19,"0,8","5,3",15:10,76.0,89.0,Varias,65.0,12:50
2015-01-14,7012C,CARTAGENA,MURCIA,17,13.8,0.0,9.0,00:50,18.5,12:40,15,"0,6","4,7",15:30,81.0,89.0,17:50,45.0,12:00
2015-01-15,7012C,CARTAGENA,MURCIA,17,12.1,0.0,8.2,08:10,16.0,12:30,21,"2,2","12,2",19:30,83.0,87.0,Varias,76.0,12:10
2015-01-16,7012C,CARTAGENA,MURCIA,17,13.4,0.0,9.2,23:00,17.5,13:50,23,"3,1","14,7",08:40,45.0,86.0,Varias,29.0,Varias
2015-01-17,7012C,CARTAGENA,MURCIA,17,11.1,0.0,6.4,05:50,15.8,14:40,31,"1,4","8,9",11:20,45.0,64.0,06:30,31.0,15:20
2015-01-18,7012C,CARTAGENA,MURCIA,17,8.9,7.7,3.6,05:50,14.2,13:50,23,"1,9","10,8",19:00,65.0,86.0,23:59,44.0,11:00
2015-01-19,7012C,CARTAGENA,MURCIA,17,9.4,0.0,8.1,08:00,10.8,14:30,36,"2,5","10,8",15:10,79.0,95.0,Varias,55.0,23:50
2015-01-20,7012C,CARTAGENA,MURCIA,17,10.2,0.0,6.5,23:50,13.8,14:10,28,"1,1","7,8",12:00,47.0,73.0,23:40,35.0,14:10
