fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2015-01-01,7145D,CIEZA,MURCIA,265,7.4,0.0,0.5,07:50,14.4,15:10,28,"1,4","5,6",00:50,58.0,87.0,Varias,39.0,00:00
2015-01-02,7145D,CIEZA,MURCIA,265,8.4,0.0,0.0,06:40,16.8,16:10,29,"2,2","6,1",11:10,58.0,92.0,Varias,29.0,16:00
2015-01-03,7145D,CIEZA,MURCIA,265,9.6,0.0,0.1,08:00,19.1,15:40,28,"2,8","6,1",10:40,47.0,80.0,08:00,26.0,16:00
2015-01-04,7145D,CIEZA,MURCIA,265,12.4,0.0,1.9,07:20,22.9,15:40,28,"2,5","5,6",08:20,44.0,70.0,07:00,25.0,Varias
2015-01-05,7145D,CIEZA,MURCIA,265,8.5,0.0,0.5,07:40,16.5,14:00,11,"1,9","6,1",14:20,69.0,94.0,22:50,47.0,13:10
2015-01-06,7145D,CIEZA,MURCIA,265,9.4,0.0,1.4,07:40,17.3,16:00,26,"2,5","6,7",06:30,57.0,93.0,Varias,30.0,15:30
2015-01-07,7145D,CIEZA,MURCIA,265,8.0,0.0,0.2,05:00,15.9,15:00,27,"1,9","6,1",09:30,65.0,89.0,23:40,46.0,15:00
2015-01-08,7145D,CIEZA,MURCIA,265,8.2,0.0,1.4,05:20,15.0,15:10,28,"1,9","5,0",05:30,73.0,94.0,Varias,46.0,15:50
2015-01-09,7145D,CIEZA,MURCIA,265,8.9,0.0,0.0,07:30,17.8,16:20,28,"1,9","5,6",Varias,58.0,92.0,04:00,32.0,15:30
2015-01-10,7145D,CIEZA,MURCIA,265,10.2,0.0,0.2,07:00,20.2,15:30,28,"2,2","6,4",10:40,49.0,79.0,05:40,29.0,Varias
2015-01-11,7145D,CIEZA,MURCIA,265,11.4,0.0,2.7,05:20,20.2,14:30,30,"2,2","7,2",13:20,40.0,67.0,23:40,29.0,Varias
2015-01-12,7145D,CIEZA,MURCIA,265,8.6,0.0,0.9,07:10,16.2,14:20,28,"1,4","5,8",09:40,70.0,87.0,Varias,51.0,13:30
2015-01-13,7145D,CIEZA,MURCIA,265,11.7,0.0,4.9,07:20,18.5,15:40,28,"1,4","6,9",10:50,67.0,92.0,08:10,42.0,15:30
2015-01-14,7145D,CIEZA,MURCIA,265,11.8,0.0,3.9,07:00,19.8,16:00,28,"2,5","5,8",09:20,55.0,83.0,02:20,35.0,15:50
2015-01-15,7145D,CIEZA,MURCIA,265,10.8,0.0,2.5,07:00,19.1,14:20,11,"1,4","7,5",15:30,64.0,89.0,06:40,36.0,14:20
2015-01-16,7145D,CIEZA,MURCIA,265,9.0,0.0,4.6,22:30,13.5,13:20,28,"3,6","14,7",13:30,45.0,87.0,00:40,34.0,15:30
2015-01-17,7145D,CIEZA,MURCIA,265,7.1,0.0,1.3,23:59,12.9,15:30,29,"3,6","11,9",09:10,46.0,75.0,04:30,32.0,15:20
2015-01-18,7145D,CIEZA,MURCIA,265,2.9,14.0,-2.0,08:00,7.8,14:40,25,"1,9","5,8",11:50,72.0,94.0,Varias,53.0,14:00
2015-01-19,7145D,CIEZA,MURCIA,265,5.8,0.0,4.1,03:30,7.4,14:30,30,"3,3","8,3",13:00,81.0,94.0,Varias,55.0,22:40
2015-01-20,7145D,CIEZA,MURCIA,265,7.1,0.0,1.9,07:50,12.3,15:20,26,"1,9","6,9",12:10,48.0,71.0,Varias,33.0,Varias
2015-01-21,7145D,CIEZA,MURCIA,265,5.8,0.0,-0.2,05:30,11.9,13:20,29,"3,6","10,8",14:10,56.0,83.0,05:20,39.0,14:50
2015-01-22,7145D,CIEZA,MURCIA,265,7.9,0.0,5.0,03:00,10.8,13:40,30,"5,8","16,4",11:00,54.0,73.0,Varias,42.0,13:10
2015-01-23,7145D,CIEZA,MURCIA,265,9.1,0.0,5.8,Varias,12.4,15:00,29,"5,3","13,3",12:40,43.0,57.0,01:40,36.0,13:10
2015-01-24,7145D,CIEZA,MURCIA,265,7.5,0.0,1.6,06:40,13.4,14:50,31,"2,5","9,7",00:10,43.0,58.0,06:30,33.0,Varias
