fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2015-01-01,7209,LORCA,MURCIA,312,8.0,0.0,1.9,08:10,14.2,15:20,34,"0,8","9,2",00:30,56.0,89.0,21:30,30.0,01:30
2015-01-02,7209,LORCA,MURCIA,312,8.4,0.0,-0.6,07:50,17.5,14:40,31,"0,8","5,6",02:20,65.0,96.0,Varias,29.0,15:00
2015-01-03,7209,LORCA,MURCIA,312,9.6,0.0,-0.5,05:30,19.7,13:50,21,"0,6","4,7",15:40,59.0,94.0,06:50,23.0,13:30
2015-01-04,7209,LORCA,MURCIA,312,13.0,0.0,2.4,Varias,23.5,14:30,31,"0,6","5,8",03:30,41.0,74.0,02:40,23.0,14:10
2015-01-05,7209,LORCA,MURCIA,312,9.1,0.0,1.0,07:30,17.2,14:40,31,"0,6","4,4",00:10,72.0,94.0,Varias,49.0,10:30
2015-01-06,7209,LORCA,MURCIA,312,10.0,0.0,2.1,07:00,18.0,15:00,30,"0,8","3,9",22:10,62.0,98.0,Varias,31.0,13:30
2015-01-07,7209,LORCA,MURCIA,312,7.1,0.0,0.3,07:00,13.9,14:20,04,"0,3","4,2",14:50,74.0,90.0,23:59,52.0,12:20
2015-01-08,7209,LORCA,MURCIA,312,8.6,0.0,1.4,07:50,15.8,15:00,32,"0,3","4,7",22:20,68.0,96.0,Varias,46.0,13:10
2015-01-09,7209,LORCA,MURCIA,312,8.6,0.0,-0.6,07:00,17.8,15:20,32,"0,3","5,3",00:50,62.0,94.0,06:40,30.0,Varias
2015-01-10,7209,LORCA,MURCIA,312,10.4,0.0,-1.5,07:40,22.2,14:20,32,"0,3","5,3",19:40,50.0,84.0,Varias,14.0,15:00
2015-01-11,7209,LORCA,MURCIA,312,12.8,0.0,3.2,01:40,22.4,14:00,99,"0,6","5,8",Varias,31.0,53.0,01:40,20.0,11:40
2015-01-12,7209,LORCA,MURCIA,312,9.2,0.0,2.5,06:50,15.9,14:20,06,"1,1","6,4",14:30,71.0,88.0,Varias,51.0,00:00
2015-01-13,7209,LORCA,MURCIA,312,12.0,0.0,6.0,23:50,18.1,15:30,30,"0,3","3,3",01:30,71.0,93.0,Varias,43.0,14:40
2015-01-14,7209,LORCA,MURCIA,312,12.4,0.0,5.0,08:00,19.7,13:40,32,"0,3","5,0",22:40,52.0,88.0,03:30,32.0,13:30
2015-01-15,7209,LORCA,MURCIA,312,12.4,0.0,4.2,07:40,20.6,13:40,22,"0,6","6,1",15:40,61.0,93.0,20:20,36.0,13:30
2015-01-16,7209,LORCA,MURCIA,312,8.5,0.0,2.7,23:59,14.3,11:40,28,"2,2","10,6",10:50,43.0,88.0,01:20,27.0,15:20
2015-01-17,7209,LORCA,MURCIA,312,7.5,0.0,0.9,06:50,14.1,15:20,32,"1,4","11,1",12:30,46.0,77.0,Varias,26.0,Varias
2015-01-18,7209,LORCA,MURCIA,312,4.8,9.6,-1.2,04:50,10.8,14:30,21,"0,6","6,7",15:10,73.0,96.0,Varias,54.0,13:50
2015-01-19,7209,LORCA,MURCIA,312,6.8,0.0,4.8,08:00,8.8,15:00,31,"1,4","11,9",16:00,78.0,97.0,Varias,53.0,Varias
