fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2015-01-01,7002Y,AGUILAS,MURCIA,32,12.2,0.0,7.7,21:50,16.6,12:50,09,"1,7","7,5",03:40,"5,7","1033,6",Varias,"1024,9",00,52.0,74.0,23:00,21.0,01:40
2015-01-02,7002Y,AGUILAS,MURCIA,32,11.3,0.0,5.9,06:50,16.7,11:20,19,"1,7","4,4",13:10,"8,1","1035,5",10,"1032,4",05,62.0,83.0,Varias,35.0,11:10
2015-01-03,7002Y,AGUILAS,MURCIA,32,11.4,0.0,5.7,05:00,17.1,14:00,19,"1,4","5,0",12:50,"8,2","1035,2",10,"1030,6",24,64.0,80.0,02:00,34.0,10:00
2015-01-04,7002Y,AGUILAS,MURCIA,32,12.8,0.0,6.4,07:30,19.1,15:50,19,"1,4","4,2",13:30,"8,2","1030,6",00,"1025,8",16,61.0,78.0,19:40,27.0,10:50
2015-01-05,7002Y,AGUILAS,MURCIA,32,12.4,0.0,7.2,07:20,17.6,11:40,14,"1,7","5,8",11:40,"8,1","1027,3",09,"1023,7",24,65.0,79.0,23:59,46.0,11:40
2015-01-06,7002Y,AGUILAS,MURCIA,32,11.9,0.0,7.1,08:00,16.7,15:00,20,"1,4","4,4",13:00,"8,2","1023,7",00,"1020,7",Varias,68.0,87.0,Varias,45.0,Varias
2015-01-07,7002Y,AGUILAS,MURCIA,32,11.8,0.0,7.2,05:40,16.5,13:40,34,"1,1","7,5",08:20,"3,8","1029,7",24,"1023,4",00,62.0,76.0,07:40,48.0,13:20
2015-01-08,7002Y,AGUILAS,MURCIA,32,11.6,0.0,6.8,06:20,16.4,12:10,19,"1,4","5,0",13:00,"8,4","1036,9",24,"1029,7",00,65.0,82.0,23:50,50.0,13:10
2015-01-09,7002Y,AGUILAS,MURCIA,32,11.7,0.2,6.6,06:00,16.8,13:10,29,"1,4","6,4",23:59,"8,5","1040,2",10,"1036,9",Varias,63.0,82.0,06:10,42.0,Varias
2015-01-10,7002Y,AGUILAS,MURCIA,32,11.2,0.0,5.3,08:00,17.1,14:30,19,"1,9","5,8",11:20,"8,5","1036,9",00,"1025,0",24,68.0,81.0,22:50,32.0,09:40
