fecha,nombre_estacion,tm_min,tm_max,tm_mes,ta_min,ta_max,p_mes,p_max,hr,w_med,w_racha,w_rec
2015-01-01,Cartagena,7.6,16.8,12.2,3.6,22.1,8.4,7.7(18),63.0,7.0,24/28.3(31),145
2015-02-01,Cartagena,9.9,16.5,13.2,4.3,23.3,11.7,6.8(17),59.0,8.0,28/16.7(05),185
2015-03-01,Cartagena,10.9,18.0,14.4,5.5,28.9,16.8,5.0(24),68.0,7.0,06/17.5(20),145
2015-04-01,Cartagena,14.1,19.3,16.7,11.0,24.3,10.0,8.0(15),71.0,8.0,19/14.7(26),174
2015-05-01,Cartagena,17.4,24.3,20.9,15.0,30.0,0.0,0.0(--),62.0,8.0,16/13.3(14),159
2015-06-01,Cartagena,20.2,28.3,24.2,18.1,33.7,0.5,0.3(10),55.0,8.0,24/16.1(13),156
2015-07-01,Cartagena,25.0,31.7,28.4,23.6,38.3,0.0,0.0(--),66.0,8.0,99/11.4(24),161
2015-08-01,Cartagena,25.2,31.3,28.3,23.1,34.3,0.3,0.3(09),67.0,7.0,18/12.8(23),150
2015-09-01,Cartagena,20.6,26.2,23.4,17.2,29.2,139.0,67.4(05),71.0,7.0,33/15.3(27),143
2015-10-01,Cartagena,17.8,23.8,20.9,14.2,27.7,28.5,11.1(18),73.0,6.0,25/12.2(27),123
2015-11-01,Cartagena,12.7,21.0,16.9,6.9,26.3,26.8,21.2(01),67.0,5.0,05/13.6(01),106
2015-12-01,Cartagena,10.5,18.4,14.5,7.8,20.7,0.4,0.1(03),77.0,3.0,26/8.3(31),73
2016-01-01,Cartagena,10.7,17.7,14.2,5.3,21.9,9.9,7.0(15),69.0,6.0,22/15.8(09),139
2016-02-01,Cartagena,11.1,17.9,14.5,5.6,23.4,5.8,3.2(15),60.0,9.0,30/20.0(14),189
2016-03-01,Cartagena,10.5,18.1,14.3,6.5,22.2,8.5,5.4(21),64.0,7.0,23/13.9(09),146
2016-04-01,Cartagena,13.9,19.6,16.8,10.1,24.5,12.2,6.7(04),71.0,9.0,26/17.5(04),170
2016-05-01,Cartagena,16.2,22.9,19.6,10.1,28.9,1.5,1.1(09),64.0,8.0,22/16.4(11),154
2016-06-01,Cartagena,20.1,26.9,23.5,17.0,30.9,0.0,0.0(--),65.0,8.0,20/14.2(13),163
2016-07-01,Cartagena,22.9,29.9,26.4,20.3,34.6,0.3,0.3(07),61.0,8.0,05/15.3(03),163
2016-08-01,Cartagena,23.2,30.0,26.6,20.8,32.2,0.2,0.2(16),64.0,8.0,08/13.3(05),159
2016-09-01,Cartagena,21.2,28.6,24.9,18.0,33.9,6.2,3.0(27),64.0,6.0,18/16.1(13),130
2016-10-01,Cartagena,,,,,,4.5,2.0(19),,,,
2016-11-01,Cartagena,,,,,,19.8,12.8(22),,6.0,,
2016-12-01,Cartagena,10.7,16.9,13.8,6.5,20.0,180.8,75.0(17),77.0,4.0,05/15.3(18),94
2017-01-01,Cartagena,7.8,15.6,11.7,1.3,19.4,,,63.0,6.0,26/15.3(27),131
2017-02-01,Cartagena,11.1,17.5,14.3,6.8,21.2,0.2,0.2(22),69.0,7.0,21/20.3(13),162
2017-03-01,Cartagena,10.9,18.7,14.8,7.4,24.6,32.0,28.7(13),68.0,7.0,25/22.8(03),147
2017-04-01,Cartagena,13.4,20.4,16.9,9.6,24.8,3.4,1.1(24),67.0,7.0,07/14.4(21),159
2017-05-01,Cartagena,16.9,24.2,20.6,12.5,27.4,0.0,0.0(--),59.0,8.0,19/14.4(11),165
2017-06-01,Cartagena,,,,,,0.0,0.0(--),,8.0,,
2017-07-01,Cartagena,,,,,,10.5,9.1(01),,7.0,,
2017-08-01,Cartagena,23.6,29.8,26.7,19.6,33.6,28.1,23.7(29),69.0,6.0,08/13.9(10),143
2017-09-01,Cartagena,20.8,27.3,24.1,18.7,30.8,0.2,0.2(07),67.0,7.0,20/10.8(10),152
2017-10-01,Cartagena,17.5,24.9,21.2,13.6,27.0,11.8,8.6(18),72.0,5.0,23/15.0(18),99
2017-11-01,Cartagena,11.4,19.8,15.6,7.8,24.8,11.1,8.2(29),65.0,5.0,34/13.1(13),113
2017-12-01,Cartagena,8.5,17.1,12.9,4.0,21.5,0.6,0.3(19),61.0,6.0,24/24.7(11),134
2018-01-01,Cartagena,8.9,16.6,12.7,4.4,23.2,27.1,16.1(27),67.0,6.0,26/13.1(06),121
2018-02-01,Cartagena,8.4,15.5,12.0,5.5,20.8,12.7,8.7(01),64.0,6.0,22/17.5(28),139
2018-03-01,Cartagena,11.7,17.8,14.8,6.4,22.6,14.6,4.3(03),60.0,10.0,24/19.2(01),228
2018-04-01,Cartagena,13.6,19.5,16.6,9.8,23.3,12.3,7.3(25),64.0,9.0,24/19.4(10),202
2018-05-01,Cartagena,15.9,22.5,19.2,10.2,26.1,1.7,1.1(09),66.0,9.0,19/12.8(02),165
2018-06-01,Cartagena,19.7,26.7,23.3,15.9,31.7,13.1,7.9(02),63.0,8.0,24/11.4(11),158
2018-07-01,Cartagena,22.3,28.7,25.6,20.1,32.2,0.0,0.0(--),69.0,8.0,18/11.1(04),157
2018-08-01,Cartagena,24.0,30.9,27.5,22.2,33.0,0.3,0.2(16),65.0,7.0,29/10.6(16),139
2018-09-01,Cartagena,21.9,28.3,25.1,17.6,31.7,25.4,9.1(14),70.0,6.0,08/11.1(26),128
2018-10-01,Cartagena,16.5,23.0,19.8,10.5,27.0,28.7,8.6(30),69.0,7.0,22/21.1(30),136
2018-11-01,Cartagena,12.2,18.9,15.6,7.1,20.7,61.5,34.8(18),69.0,6.0,24/14.7(20),137
2018-12-01,Cartagena,9.2,17.6,13.4,5.6,20.4,13.2,5.2(29),73.0,4.0,32/16.9(14),90
2019-01-01,Cartagena,7.6,16.4,12.0,3.7,21.3,0.8,0.5(20),62.0,6.0,24/14.7(23),120
2019-02-01,Cartagena,8.5,16.7,12.6,5.3,20.8,0.1,0.1(28),68.0,6.0,23/19.7(01),130
2019-03-01,Cartagena,9.9,18.1,14.0,7.4,23.3,26.0,12.8(31),68.0,7.0,22/16.1(06),141
2019-04-01,Cartagena,13.0,19.1,16.1,11.1,23.1,86.5,61.4(19),65.0,9.0,23/16.7(25),177
2019-05-01,Cartagena,16.0,23.0,19.5,13.1,30.7,0.6,0.5(03),64.0,7.0,20/11.1(15),148
2019-06-01,Cartagena,19.1,26.1,22.6,16.0,33.8,0.7,0.4(13),64.0,8.0,19/15.0(14),167
2019-07-01,Cartagena,23.3,29.9,26.6,20.8,34.6,0.4,0.3(08),64.0,8.0,16/15.6(06),170
2019-08-01,Cartagena,23.2,29.8,26.5,21.1,33.1,13.4,4.3(27),69.0,6.0,05/10.3(21),126
2019-09-01,Cartagena,21.2,27.0,24.2,18.0,30.9,171.2,142.7(12),71.0,6.0,32/11.9(10),134
