fecha,nombre_estacion,tm_min,tm_max,tm_mes,ta_min,ta_max,p_mes,p_max,q_min,q_max,q_med,q_mar,hr,w_med,w_racha,w_rec
2016-01-01,Cartagena,,,,,,,,,,,,,,,
2016-02-01,Cartagena,,,,,,,,,,,,,8.0,,
2016-03-01,Cartagena,7.4,18.9,13.2,3.1,23.8,13.8,9.8(21),997.3,1018.9,1008.3,,61.0,10.0,20/16.9(04),189
2016-04-01,Cartagena,11.2,20.6,15.9,6.0,24.5,20.4,12.2(04),993.1,1015.7,1006.5,1012.9,68.0,12.0,22/18.3(10),242
2016-05-01,Cartagena,,,,,,,,,,,,,11.0,,
2016-06-01,Cartagena,,,,,,0.0,0.0(--),,,,,,,,
2016-07-01,Cartagena,20.9,30.1,25.5,17.9,36.7,0.2,0.2(07),1003.5,1015.6,1010.1,1016.5,58.0,12.0,05/15.0(03),235
2016-08-01,Cartagena,21.1,29.9,25.6,18.3,35.5,0.2,0.2(16),1002.6,1018.1,1011.1,1017.4,64.0,12.0,20/14.4(17),230
2016-09-01,Cartagena,18.7,28.7,23.7,14.0,39.7,6.4,4.2(27),1001.8,1019.7,1011.0,1017.4,65.0,10.0,22/20.0(13),177
2016-10-01,Cartagena,16.2,24.9,20.6,10.7,27.8,6.4,2.8(12),994.2,1023.8,1009.5,1015.7,79.0,8.0,21/12.5(12),152
2016-11-01,Cartagena,9.7,20.2,15.0,3.6,26.0,30.4,17.8(22),994.6,1021.4,1008.9,1015.5,68.0,7.0,20/18.9(21),160
2016-12-01,Cartagena,8.7,16.7,12.7,5.3,20.0,193.4,85.8(17),1002.8,1030.6,1018.7,1025.4,85.0,5.0,05/15.0(17),101
2017-01-01,Cartagena,5.4,15.5,10.5,-0.1,20.4,67.4,49.8(18),1002.4,1024.2,1013.5,1020.3,69.0,7.0,20/14.7(12),152
2017-02-01,Cartagena,8.5,17.7,13.1,3.5,22.6,1.0,1.0(22),994.2,1025.2,1012.2,1018.9,71.0,9.0,26/15.8(05),201
2017-03-01,Cartagena,8.3,19.6,14.0,4.0,29.6,36.4,32.2(13),996.8,1021.7,1012.1,1018.7,69.0,10.0,22/20.3(13),192
2017-04-01,Cartagena,11.1,21.0,16.1,6.7,28.6,4.4,1.4(27),999.1,1020.3,1011.4,1018.0,64.0,11.0,05/21.9(21),226
2017-05-01,Cartagena,14.3,24.7,19.5,9.7,28.6,0.0,0.0(--),994.1,1020.9,1009.3,1015.7,56.0,12.0,17/20.0(12),229
2017-06-01,Cartagena,19.7,29.5,24.6,16.9,32.4,0.2,0.2(27),997.8,1014.1,1008.4,1014.7,57.0,13.0,20/16.4(28),230
2017-07-01,Cartagena,20.9,30.5,25.8,16.3,35.7,11.4,11.0(01),1001.3,1016.5,1008.4,1014.6,62.0,11.0,04/16.4(01),213
2017-08-01,Cartagena,22.2,30.4,26.3,17.8,35.3,29.0,24.2(29),1002.3,1015.1,1009.1,1015.4,70.0,10.0,05/15.0(10),203
2017-09-01,Cartagena,18.6,28.0,23.3,15.9,30.9,0.0,0.0(--),995.8,1017.3,1010.1,1016.4,68.0,10.0,31/15.6(10),193
2017-10-01,Cartagena,14.8,25.3,20.1,10.5,29.7,11.0,10.6(18),1003.2,1021.0,1014.7,1021.2,77.0,7.0,21/15.0(18),139
2017-11-01,Cartagena,8.9,20.2,14.6,3.4,25.0,11.4,8.4(29),997.5,1022.9,1012.2,1018.8,68.0,7.0,33/16.7(13),139
2017-12-01,Cartagena,5.6,17.6,11.6,0.3,24.0,0.6,0.4(11),987.4,1030.4,1016.5,1023.2,62.0,7.0,19/26.4(11),155
2018-01-01,Cartagena,6.4,17.4,11.9,1.5,23.9,33.8,19.4(27),988.1,1027.6,1014.9,1021.6,69.0,8.0,26/20.8(06),152
2018-02-01,Cartagena,5.3,16.0,10.7,1.3,21.2,15.2,11.0(01),988.5,1017.8,1006.3,1012.9,65.0,8.0,20/20.3(28),168
2018-03-01,Cartagena,9.4,18.8,14.1,2.8,23.3,18.6,4.4(03),983.7,1017.7,1002.3,1008.9,57.0,14.0,20/23.1(01),283
2018-04-01,Cartagena,11.4,20.5,16.0,6.2,23.7,13.0,8.4(25),990.1,1018.2,1006.3,1012.8,59.0,13.0,24/21.1(10),273
2018-05-01,Cartagena,13.7,23.2,18.5,6.6,26.5,2.2,1.6(09),1000.8,1013.0,1007.1,1013.6,60.0,13.0,21/19.2(02),233
2018-06-01,Cartagena,17.9,27.4,22.7,13.0,31.3,12.2,6.8(02),1000.5,1014.9,1007.6,1013.9,58.0,12.0,20/16.4(13),221
2018-07-01,Cartagena,20.5,30.0,25.3,17.9,33.2,0.0,0.0(--),1001.2,1013.4,1007.3,1013.6,63.0,12.0,20/21.1(01),231
2018-08-01,Cartagena,22.5,31.3,26.9,19.7,34.5,3.6,3.6(16),1003.4,1014.9,1008.7,1015.0,64.0,10.0,20/12.2(13),197
2018-09-01,Cartagena,20.3,28.5,24.4,14.9,32.6,25.2,9.6(14),1003.5,1020.7,1011.1,1017.4,72.0,9.0,06/12.5(10),179
2018-10-01,Cartagena,14.4,23.4,18.9,6.1,28.2,54.2,18.4(30),991.6,1019.2,1007.0,1013.4,73.0,8.0,22/14.7(31),163
2018-11-01,Cartagena,10.1,19.3,14.7,4.7,21.1,49.8,19.6(18),992.1,1017.1,1008.2,1014.8,74.0,7.0,20/14.2(25),159
