fecha,nombre_estacion,tm_min,tm_max,tm_mes,ta_min,ta_max,p_mes,p_max,q_min,q_max,q_med,q_mar,hr,w_med,w_racha,w_rec
2019-01-01,Murcia/Aeropuerto,6.2,16.0,11.1,1.4,21.0,,,978.3,1008.8,995.0,,55.0,14.0,33/20.0(24),344
2019-02-01,Murcia/Aeropuerto,6.6,17.2,11.9,3.6,25.0,,,972.0,1009.6,1000.3,,57.0,15.0,29/24.7(02),332
2019-03-01,Murcia/Aeropuerto,8.2,19.0,13.6,6.3,26.9,,,986.6,1007.7,998.3,,54.0,14.0,27/16.4(06),330
2019-04-01,Murcia/Aeropuerto,10.3,21.3,15.8,6.9,38.5,,,975.2,1002.4,989.0,1013.0,61.0,16.0,07/20.6(20),364
2019-05-01,Murcia/Aeropuerto,13.5,24.2,18.9,10.0,31.0,,,979.3,1001.8,991.3,1015.0,54.0,14.0,32/14.4(17),288
2019-06-01,Murcia/Aeropuerto,16.6,27.8,22.2,13.1,33.9,,,983.2,999.3,991.1,1014.5,48.0,16.0,32/16.1(10),313
2019-07-01,Murcia/Aeropuerto,21.2,31.8,26.5,18.2,37.1,,,981.0,997.5,990.0,,49.0,16.0,20/14.4(06),330
2019-08-01,Murcia/Aeropuerto,20.8,31.5,26.2,17.9,37.9,,,985.7,997.1,991.9,,58.0,14.0,09/13.9(20),281
2019-09-01,Murcia/Aeropuerto,18.6,27.4,23.0,15.4,31.7,,,985.4,999.8,993.4,,70.0,14.0,35/18.6(11),306
2019-10-01,Murcia/Aeropuerto,14.3,24.5,19.3,9.2,30.6,,,982.5,999.3,992.9,1016.7,64.0,10.0,32/14.4(02),259
2019-11-01,Murcia/Aeropuerto,9.5,19.0,14.3,3.3,26.7,,,971.5,997.7,988.2,,55.0,17.0,33/22.2(10),410
2019-12-01,Murcia/Aeropuerto,8.6,17.3,13.0,5.0,23.9,,,976.6,1009.8,995.1,,70.0,13.0,27/22.8(21),330
2020-01-01,Murcia/Aeropuerto,5.7,15.5,10.6,2.0,21.1,,,986.4,1009.3,1000.5,,73.0,12.0,36/21.1(20),291
2020-02-01,Murcia/Aeropuerto,8.3,20.1,14.2,3.8,26.5,,,988.5,1011.0,1001.3,,68.0,10.0,31/15.6(26),264
2020-03-01,Murcia/Aeropuerto,9.6,18.7,14.2,5.9,28.4,,,981.4,1003.0,992.5,,66.0,17.0,27/25.8(02),366
2020-04-01,Murcia/Aeropuerto,11.1,19.6,15.4,6.7,25.2,,,980.9,1002.5,991.7,,71.0,13.0,35/18.6(22),280
2020-05-01,Murcia/Aeropuerto,14.9,25.5,20.2,9.2,30.5,,,980.3,1003.4,992.8,,55.0,14.0,06/16.9(28),306
2020-06-01,Murcia/Aeropuerto,17.0,28.6,22.8,13.4,33.9,,,980.1,998.5,990.7,,53.0,13.0,34/18.1(04),276
2020-07-01,Murcia/Aeropuerto,20.9,31.3,26.2,18.7,34.7,,,987.1,998.2,992.2,,55.0,15.0,10/15.0(12),299
