fecha,nombre_estacion,tm_min,tm_max,tm_mes,ta_min,ta_max,p_mes,p_max,hr
2019-01-01,Fuente Alamo de Murcia,4.9,17.4,11.2,-0.4,22.8,2.8,2.2(19),59
2019-02-01,Fuente Alamo de Murcia,5.9,18.8,12.4,2.5,26.1,0.0,0.0(--),59
2019-03-01,Fuente Alamo de Murcia,7.6,20.5,14.1,4.9,28.2,22.2,13.6(31),57
2019-04-01,Fuente Alamo de Murcia,11.0,21.0,16.0,7.1,26.3,94.6,77.6(19),61
2019-05-01,Fuente Alamo de Murcia,14.2,25.7,19.9,11.2,33.1,1.2,0.8(24),54
2019-06-01,Fuente Alamo de Murcia,17.0,29.5,23.3,12.4,36.0,2.8,2.8(13),50
2019-07-01,Fuente Alamo de Murcia,21.7,33.4,27.6,18.9,38.2,0.0,0.0(--),51
2019-08-01,Fuente Alamo de Murcia,21.7,33.5,27.6,18.5,39.6,32.2,30.0(27),58
2019-09-01,Fuente Alamo de Murcia,19.5,28.9,24.2,16.0,31.8,165.0,118.8(12),69
2019-10-01,Fuente Alamo de Murcia,14.8,26.1,20.5,10.1,32.2,23.2,12.2(21),63
2019-11-01,Fuente Alamo de Murcia,10.2,20.3,15.3,4.2,27.9,9.8,5.2(22),55
2019-12-01,Fuente Alamo de Murcia,8.6,18.4,13.5,4.2,25.0,47.8,40.6(02),70
2020-01-01,Fuente Alamo de Murcia,5.2,16.5,10.9,1.5,22.2,76.0,28.4(20),73
2020-02-01,Fuente Alamo de Murcia,7.8,20.9,14.3,3.4,26.9,1.4,1.2(05),67
2020-03-01,Fuente Alamo de Murcia,9.9,19.7,14.8,6.5,29.3,151.4,72.6(23),65
2020-04-01,Fuente Alamo de Murcia,11.9,20.9,16.4,8.2,25.7,57.0,24.2(19),71
2020-05-01,Fuente Alamo de Murcia,15.1,26.8,21.0,11.1,32.5,15.2,11.0(13),55
2020-06-01,Fuente Alamo de Murcia,18.0,29.8,23.9,14.7,35.1,21.4,14.2(08),53
2020-07-01,Fuente Alamo de Murcia,21.1,32.7,26.9,19.3,36.9,2.8,2.2(14),56
2020-08-01,Fuente Alamo de Murcia,21.3,33.8,27.6,17.0,39.5,5.8,4.6(29),54
2020-09-01,Fuente Alamo de Murcia,18.1,29.6,23.9,14.0,33.2,5.4,4.0(18),59
2020-10-01,Fuente Alamo de Murcia,12.2,25.2,18.7,8.0,32.3,1.4,1.2(02),57
2020-11-01,Fuente Alamo de Murcia,11.3,21.5,16.4,6.0,26.7,15.2,7.4(04),75
2020-12-01,Fuente Alamo de Murcia,6.5,18.3,12.4,0.7,24.8,0.2,0.2(19),58
2023-01-01,Fuente Alamo de Murcia,5.5,17.3,11.4,-0.4,24.5,0.0,0.0(--),58
2023-02-01,Fuente Alamo de Murcia,6.1,15.8,11.0,0.8,22.3,7.6,3.0(11),65
2023-03-01,Fuente Alamo de Murcia,8.9,23.2,16.0,1.5,31.1,2.2,1.6(01),52
2023-04-01,Fuente Alamo de Murcia,12.1,25.1,18.6,5.9,33.7,5.6,3.8(29),50
2023-05-01,Fuente Alamo de Murcia,14.7,25.2,20.0,10.6,29.3,88.2,32.6(22),61
2023-06-01,Fuente Alamo de Murcia,19.4,30.3,24.9,15.0,35.0,29.2,22.2(03),58
2023-07-01,Fuente Alamo de Murcia,23.6,34.8,29.2,21.0,42.0,1.0,1.0(20),60
2023-08-01,Fuente Alamo de Murcia,22.5,34.5,28.5,19.9,37.9,0.0,0.0(--),54
2023-09-01,Fuente Alamo de Murcia,19.6,29.6,24.6,15.6,32.0,33.8,16.6(15),67
2023-10-01,Fuente Alamo de Murcia,15.4,27.4,21.4,10.3,32.3,2.4,2.4(19),61
2023-11-01,Fuente Alamo de Murcia,10.2,23.6,16.9,4.7,28.8,0.0,0.0(--),54
2023-12-01,Fuente Alamo de Murcia,6.4,19.3,12.9,1.2,29.7,2.4,1.2(05),59
2024-01-01,Fuente Alamo de Murcia,8.3,19.0,13.7,3.9,26.7,3.8,2.6(09),61
2024-02-01,Fuente Alamo de Murcia,8.5,20.5,14.5,4.3,26.2,1.8,0.8(08),55
2024-03-01,Fuente Alamo de Murcia,10.0,21.4,15.7,4.9,30.7,14.4,6.0(24),55
2024-04-01,Fuente Alamo de Murcia,11.4,23.4,17.4,7.7,32.2,36.2,22.4(28),55
2024-05-01,Fuente Alamo de Murcia,14.7,26.5,20.6,9.0,33.6,3.8,3.6(01),51
2024-06-01,Fuente Alamo de Murcia,19.1,29.5,24.3,15.0,35.4,4.2,2.2(12),53
2024-07-01,Fuente Alamo de Murcia,22.4,34.2,28.3,19.7,38.6,0.0,0.0(--),51
2024-08-01,Fuente Alamo de Murcia,23.0,34.1,28.6,20.1,38.5,6.4,4.0(14),58
2024-09-01,Fuente Alamo de Murcia,19.6,29.8,24.8,15.3,33.2,11.8,6.0(13),60
2024-10-01,Fuente Alamo de Murcia,16.3,26.4,21.4,9.5,32.8,25.8,12.8(28),63
2024-11-01,Fuente Alamo de Murcia,12.7,22.5,17.6,8.9,25.3,21.2,19.0(12),74
2024-12-01,Fuente Alamo de Murcia,7.2,18.7,13.0,2.6,26.5,0.2,0.2(04),60
