fecha,nombre_estacion,tm_min,tm_max,tm_mes,ta_min,ta_max,p_mes,p_max,hr,w_med,w_racha,w_rec
2015-01-01,Torre Pacheco,4.5,17.5,11.0,-0.2,25.9,11.4,9.0(18),64.0,7.0,29/17.2(31),166
2015-02-01,Torre Pacheco,7.2,17.1,12.2,-0.4,23.6,8.0,4.6(12),56.0,11.0,29/17.8(04),244
2015-03-01,Torre Pacheco,8.3,20.1,14.2,1.1,31.2,30.6,13.2(24),66.0,9.0,07/18.9(19),181
2015-04-01,Torre Pacheco,11.6,21.4,16.5,8.0,26.8,7.8,6.8(15),67.0,11.0,05/13.6(08),214
2015-05-01,Torre Pacheco,14.3,27.2,20.8,11.1,37.6,0.0,0.0(--),54.0,9.0,22/12.5(26),173
2015-06-01,Torre Pacheco,16.6,30.0,23.3,14.0,37.5,1.2,1.2(11),48.0,9.0,21/11.7(13),172
2015-07-01,Torre Pacheco,22.1,33.4,27.8,19.4,39.9,0.0,0.0(--),61.0,9.0,09/11.1(03),172
2015-08-01,Torre Pacheco,23.2,32.7,28.0,19.4,38.6,0.6,0.4(09),64.0,9.0,05/11.1(08),163
2015-09-01,Torre Pacheco,18.3,28.3,23.3,15.2,32.8,112.4,81.8(05),70.0,8.0,06/13.6(08),152
2015-10-01,Torre Pacheco,15.2,25.2,20.2,10.8,32.5,19.4,9.4(18),75.0,6.0,21/12.5(13),131
2015-11-01,Torre Pacheco,10.2,21.4,15.8,4.3,25.4,46.2,45.4(01),73.0,6.0,07/15.8(01),146
2015-12-01,Torre Pacheco,7.9,19.3,13.6,4.4,23.9,5.0,4.4(10),81.0,4.0,08/8.6(09),110
2016-01-01,Torre Pacheco,7.5,18.6,13.1,0.6,24.1,10.8,9.2(15),71.0,6.0,28/12.5(04),134
2016-02-01,Torre Pacheco,8.4,18.9,13.7,2.6,25.5,2.4,1.6(15),58.0,9.0,31/17.8(14),213
2016-03-01,Torre Pacheco,7.7,20.1,13.9,2.6,26.5,16.6,13.2(21),59.0,8.0,34/15.3(10),171
2016-04-01,Torre Pacheco,11.0,22.3,16.7,6.0,26.0,22.2,17.2(04),64.0,10.0,06/15.3(19),179
2016-05-01,Torre Pacheco,13.1,24.7,18.9,6.2,29.2,4.6,2.0(09),59.0,9.0,28/13.6(12),168
2016-06-01,Torre Pacheco,16.8,29.5,23.2,13.9,36.0,0.0,0.0(--),56.0,10.0,09/11.9(28),176
2016-07-01,Torre Pacheco,20.2,31.4,25.8,16.8,35.0,0.0,0.0(--),58.0,9.0,08/15.8(07),182
2016-08-01,Torre Pacheco,20.7,31.2,26.0,17.7,35.8,0.4,0.4(16),64.0,9.0,08/13.6(05),177
2016-09-01,Torre Pacheco,18.4,30.1,24.3,13.5,40.7,11.6,7.8(27),64.0,8.0,08/13.6(28),149
2016-10-01,Torre Pacheco,15.9,25.9,21.0,9.9,28.9,14.8,8.6(13),77.0,6.0,99/10.8(23),119
2016-11-01,Torre Pacheco,9.5,20.9,15.2,3.8,27.4,23.6,12.0(22),69.0,6.0,06/15.0(14),136
2016-12-01,Torre Pacheco,9.0,16.9,13.0,5.4,19.9,251.3,140.1(18),85.0,5.0,07/16.4(17),132
2017-01-01,Torre Pacheco,5.5,15.7,10.6,0.8,20.4,57.4,27.2(18),70.0,7.0,32/16.4(28),168
2017-02-01,Torre Pacheco,8.2,18.5,13.4,2.5,23.2,1.2,0.8(22),69.0,8.0,30/20.0(05),184
2017-03-01,Torre Pacheco,8.6,21.0,14.9,4.0,32.1,35.0,26.8(13),66.0,8.0,27/20.8(03),166
2017-04-01,Torre Pacheco,10.6,22.1,16.4,6.9,30.6,2.6,1.4(27),64.0,9.0,07/15.0(20),177
2017-05-01,Torre Pacheco,13.5,26.2,19.9,8.9,29.9,0.0,0.0(--),56.0,9.0,08/12.2(28),170
2017-06-01,Torre Pacheco,,,,,,0.0,0.0(--),,10.0,,
2017-07-01,Torre Pacheco,20.4,32.0,26.2,15.6,36.9,3.8,3.0(01),60.0,8.0,07/12.5(01),158
2017-08-01,Torre Pacheco,21.8,31.6,26.7,16.8,38.0,31.4,27.4(29),68.0,8.0,09/12.8(10),153
2017-09-01,Torre Pacheco,18.4,29.3,23.9,15.4,33.1,0.2,0.2(07),67.0,8.0,07/11.9(15),157
2017-10-01,Torre Pacheco,14.8,26.7,20.8,10.9,29.3,20.8,12.4(31),73.0,5.0,34/10.6(20),122
2017-11-01,Torre Pacheco,8.9,21.0,15.0,4.9,25.8,7.4,4.6(29),66.0,5.0,36/15.8(13),134
2017-12-01,Torre Pacheco,5.2,18.1,11.6,-0.7,24.0,0.6,0.6(11),62.0,6.0,21/16.4(11),152
2018-01-01,Torre Pacheco,6.7,18.0,12.4,1.2,25.2,41.8,29.6(27),67.0,6.0,32/13.3(26),154
2018-02-01,Torre Pacheco,5.5,16.7,11.1,1.4,23.8,12.6,7.6(01),64.0,6.0,21/12.2(28),155
2018-03-01,Torre Pacheco,9.0,20.5,14.8,4.7,26.2,9.6,3.6(03),54.0,10.0,28/19.2(01),219
2018-04-01,Torre Pacheco,11.0,22.1,16.6,6.8,26.0,7.0,4.6(25),56.0,11.0,20/18.1(10),223
2018-05-01,Torre Pacheco,13.4,25.2,19.4,6.4,29.7,4.8,2.6(09),58.0,9.0,07/12.5(24),177
2018-06-01,Torre Pacheco,17.5,29.1,23.4,13.9,32.0,26.2,19.4(02),57.0,9.0,19/11.9(12),161
2018-07-01,Torre Pacheco,20.1,32.5,26.3,17.6,35.6,0.0,0.0(--),58.0,9.0,19/11.7(15),164
2018-08-01,Torre Pacheco,22.1,33.0,27.6,19.6,37.8,0.2,0.2(19),62.0,8.0,10/10.8(07),161
2018-09-01,Torre Pacheco,20.3,29.9,25.1,14.5,33.2,59.6,46.0(14),71.0,8.0,06/13.3(26),154
2018-10-01,Torre Pacheco,14.3,24.5,19.4,8.0,28.9,46.8,24.4(14),72.0,7.0,07/12.2(20),149
2018-11-01,Torre Pacheco,10.1,19.8,15.0,4.6,22.6,105.6,45.6(18),75.0,6.0,31/14.4(26),143
2018-12-01,Torre Pacheco,7.1,19.4,13.3,3.6,24.3,16.6,9.8(28),74.0,5.0,29/17.8(14),124
2019-01-01,Torre Pacheco,4.9,17.6,11.3,-0.7,22.2,1.4,1.2(19),63.0,5.0,28/13.9(31),140
2019-02-01,Torre Pacheco,6.0,18.8,12.4,3.1,25.2,0.0,0.0(--),64.0,7.0,28/16.7(01),162
2019-03-01,Torre Pacheco,7.2,20.3,13.7,4.7,28.1,19.4,9.8(31),64.0,8.0,20/13.3(06),164
2019-04-01,Torre Pacheco,10.4,21.3,15.9,6.9,26.9,94.0,74.0(19),64.0,9.0,05/16.9(20),176
