fecha,nombre_estacion,tm_min,tm_max,tm_mes,ta_min,ta_max,p_mes,p_max,hr
2015-01-01,Moratalla,2.8,11.3,7.1,-1.6,17.1,21.4,7.6(19),53.0
2015-02-01,Moratalla,2.6,8.6,5.6,-3.6,15.2,54.2,31.4(17),68.0
2015-03-01,Moratalla,6.1,15.9,11.0,-0.7,26.4,130.6,31.0(20),56.0
2015-04-01,Moratalla,7.7,17.9,12.9,2.7,22.9,19.2,9.0(11),60.0
2015-05-01,Moratalla,11.9,25.0,18.5,7.2,35.5,21.0,10.8(30),43.0
2015-06-01,Moratalla,14.0,27.4,20.8,10.5,36.2,23.4,14.0(15),45.0
2015-07-01,Moratalla,19.5,33.8,26.7,17.0,38.0,1.4,0.6(29),39.0
2015-08-01,Moratalla,17.8,29.9,23.9,14.1,35.3,68.0,50.6(31),52.0
2015-09-01,Moratalla,13.8,23.9,18.9,9.2,28.1,80.6,32.6(05),62.0
2015-10-01,Moratalla,11.1,19.5,15.3,8.0,26.6,53.6,28.0(19),69.0
2015-11-01,Moratalla,6.8,16.3,11.7,-0.3,21.5,0.4,0.4(21),67.0
2015-12-01,Moratalla,5.7,13.5,9.6,0.7,18.0,6.2,5.2(10),69.0
2016-01-01,Moratalla,5.0,13.0,9.0,-1.2,17.1,22.2,8.4(15),66.0
2016-02-01,Moratalla,4.3,12.3,8.4,-2.4,18.3,9.8,3.0(06),63.0
2016-03-01,Moratalla,4.6,14.1,9.4,1.0,21.8,35.4,14.8(21),54.0
2016-04-01,Moratalla,7.5,17.6,12.6,2.1,23.0,22.0,12.8(05),57.0
2016-05-01,Moratalla,9.7,20.9,15.3,3.1,27.9,24.2,8.2(08),53.0
2016-06-01,Moratalla,14.8,28.2,21.5,10.4,35.6,5.6,4.8(30),38.0
2016-07-01,Moratalla,17.4,31.3,24.4,13.3,36.5,3.0,2.4(01),42.0
2016-08-01,Moratalla,16.9,29.8,23.4,13.1,35.2,7.4,5.8(15),48.0
2016-09-01,Moratalla,14.9,27.2,21.0,10.7,37.2,2.0,2.0(28),50.0
2016-10-01,Moratalla,11.8,21.8,16.8,7.3,27.8,21.7,7.2(12),65.0
2016-11-01,Moratalla,6.2,14.2,10.2,2.3,22.3,82.0,21.2(22),64.0
2016-12-01,Moratalla,4.3,9.9,7.1,0.1,13.4,247.8,81.0(18),85.0
2017-01-01,Moratalla,1.9,9.3,5.6,-7.5,16.0,73.2,,66.0
2017-02-01,Moratalla,5.0,12.5,8.8,-0.4,17.2,16.4,8.2(18),66.0
2017-03-01,Moratalla,5.2,16.5,10.9,-0.5,27.2,85.4,74.6(13),56.0
2017-04-01,Moratalla,7.6,18.4,13.0,3.9,25.3,52.4,29.0(27),56.0
2017-05-01,Moratalla,10.8,23.3,17.1,7.0,27.8,0.6,0.4(09),46.0
2017-06-01,Moratalla,16.5,29.6,23.1,11.8,35.3,11.6,6.4(03),41.0
2017-07-01,Moratalla,17.8,31.6,24.7,11.2,39.6,0.4,0.4(06),42.0
2017-08-01,Moratalla,17.4,30.1,23.8,13.3,36.5,,,53.0
2017-09-01,Moratalla,14.1,26.5,20.3,9.3,30.9,0.2,0.2(02),53.0
2017-10-01,Moratalla,11.5,23.3,17.4,8.5,28.4,7.0,6.2(18),58.0
2017-11-01,Moratalla,6.0,16.2,11.1,0.5,21.5,12.6,8.0(29),52.0
2017-12-01,Moratalla,2.7,10.7,6.7,-1.8,16.4,12.8,6.8(15),64.0
2018-01-01,Moratalla,3.4,12.0,7.8,-1.9,20.5,64.4,,61.0
2018-02-01,Moratalla,1.2,10.3,5.8,-3.5,17.0,31.2,12.2(01),62.0
