fecha,nombre_estacion,tm_min,tm_max,tm_mes,ta_min,ta_max,p_mes,p_max,hr
2017-01-01,Bullas,3.2,11.2,7.2,-4.3,18.3,32.2,,70.0
2017-02-01,Bullas,6.1,14.8,10.5,1.8,18.9,4.0,1.4(02),69.0
2017-03-01,Bullas,6.7,18.9,12.8,1.9,29.0,53.0,42.2(13),61.0
2017-04-01,Bullas,8.8,20.3,14.6,5.5,28.4,35.0,13.6(27),61.0
2017-05-01,Bullas,12.6,25.5,19.1,8.0,29.4,0.0,0.0(--),49.0
2017-06-01,Bullas,17.6,31.9,24.8,13.3,38.9,6.8,6.8(04),44.0
2017-07-01,Bullas,19.1,32.9,26.0,13.6,38.7,0.4,0.4(05),49.0
2017-08-01,Bullas,19.0,31.6,25.3,14.9,38.8,38.4,20.6(29),60.0
2017-09-01,Bullas,15.7,27.9,21.8,11.9,34.1,0.2,0.2(15),61.0
2017-10-01,Bullas,13.0,24.7,18.9,9.9,29.9,7.0,6.2(18),68.0
2017-11-01,Bullas,7.6,17.6,12.6,2.4,22.7,2.6,2.0(29),57.0
2017-12-01,Bullas,4.0,13.6,8.8,-0.8,18.9,4.2,4.0(15),61.0
2018-01-01,Bullas,4.6,14.0,9.3,0.2,21.7,57.6,31.8(27),67.0
2018-02-01,Bullas,3.2,12.5,7.9,-1.5,18.9,13.9,8.6(01),63.0
2018-03-01,Bullas,6.9,16.3,11.6,0.2,25.7,15.6,3.2(17),55.0
2018-04-01,Bullas,,,,,,13.2,7.8(07),
2018-05-01,Bullas,11.3,23.5,17.5,5.9,27.0,40.0,17.2(10),56.0
2018-06-01,Bullas,15.6,28.5,22.1,11.0,32.9,24.6,15.4(02),52.0
2018-07-01,Bullas,19.3,34.0,26.7,16.4,37.9,0.0,0.0(--),42.0
2018-08-01,Bullas,19.7,32.8,26.3,16.5,38.1,24.2,13.4(15),56.0
2018-09-01,Bullas,17.2,27.8,22.5,13.3,32.4,44.6,11.2(15),70.0
2018-10-01,Bullas,11.9,21.3,16.6,4.5,27.9,29.6,6.2(27),70.0
