fecha,nombre_estacion,tm_min,tm_max,tm_mes,ta_min,ta_max,p_mes,p_max,hr,w_med,w_racha,w_rec
2015-01-01,Jumilla,0.7,14.7,7.7,-4.9,21.1,24.4,16.8(18),60.0,8.0,30/19.7(30),189
2015-02-01,Jumilla,3.3,12.2,7.8,-3.8,18.4,23.4,12.2(12),64.0,13.0,33/18.3(24),289
2015-03-01,Jumilla,6.0,19.2,12.6,-1.7,29.0,67.8,19.4(23),57.0,9.0,10/21.1(19),215
2015-04-01,Jumilla,8.0,21.6,14.8,3.7,26.9,11.0,6.4(26),59.0,9.0,33/14.2(27),185
2015-05-01,Jumilla,11.4,28.4,19.9,7.0,39.3,23.2,12.0(19),42.0,9.0,33/13.3(08),183
2015-06-01,Jumilla,13.8,30.8,22.3,9.9,39.1,21.2,10.6(12),42.0,9.0,18/12.8(29),178
2015-07-01,Jumilla,19.5,36.8,28.2,16.7,41.4,11.4,8.0(30),43.0,10.0,26/18.3(29),193
2015-08-01,Jumilla,19.0,33.4,26.2,14.6,40.2,6.2,2.8(10),52.0,10.0,30/20.8(07),189
2015-09-01,Jumilla,14.5,27.8,21.2,9.9,33.1,58.2,19.8(27),62.0,7.0,10/16.1(27),153
2015-10-01,Jumilla,11.1,23.1,17.1,6.2,29.2,22.2,10.4(27),69.0,7.0,30/14.2(05),134
2015-11-01,Jumilla,5.3,19.4,12.4,-1.8,24.6,19.8,19.8(01),68.0,6.0,12/17.5(02),147
2015-12-01,Jumilla,2.6,17.5,10.1,-1.2,22.5,0.4,0.2(10),73.0,4.0,34/11.1(30),80
2016-01-01,Jumilla,4.0,15.9,9.9,-4.5,21.8,1.2,0.4(15),65.0,8.0,28/15.3(04),181
2016-02-01,Jumilla,4.8,16.0,10.4,-5.6,20.9,5.0,2.4(06),58.0,13.0,31/19.7(07),279
2016-03-01,Jumilla,4.4,17.4,10.9,-0.7,25.5,21.2,11.0(21),54.0,10.0,31/15.3(05),211
2016-04-01,Jumilla,8.0,21.1,14.6,1.0,26.8,48.6,20.6(04),55.0,9.0,35/12.8(08),184
