fecha,nombre_estacion,tm_min,tm_max,tm_mes,ta_min,ta_max,p_mes,p_max,hr,w_med,w_racha,w_rec
2015-01-01,Mula,4.2,16.8,10.6,-1.4,23.9,23.2,16.6(18),51,13,27/22.5(30),291
2015-02-01,Mula,6.0,15.2,10.6,-0.9,22.5,32.8,15.2(12),57,14,32/26.7(05),315
2015-03-01,Mula,8.6,20.6,14.6,1.5,32.1,61.6,22.0(20),58,9,32/16.1(27),223
2015-04-01,Mula,10.1,22.1,16.1,6.9,28.0,13.4,8.8(11),60,10,34/13.3(27),203
2015-05-01,Mula,14.1,29.3,21.7,9.6,40.1,0.4,0.2(20),43,11,20/12.5(14),219
2015-06-01,Mula,15.7,31.8,23.8,12.8,40.4,18.0,9.6(15),42,11,99/17.8(15),225
2015-07-01,Mula,21.5,36.6,29.1,19.2,42.6,2.2,2.2(22),48,12,23/19.7(29),214
2015-08-01,Mula,21.6,34.0,27.8,17.9,38.6,11.4,8.4(12),55,10,32/14.2(08),204
2015-09-01,Mula,16.7,28.4,22.4,13.0,36.0,95.8,43.2(05),64,9,,
2015-10-01,Mula,14.1,24.3,19.2,8.8,31.1,34.1,20.2(20),69,8,24/13.9(05),171
2015-11-01,Mula,8.9,20.6,14.7,2.6,27.7,31.0,31.0(01),64,10,31/20.8(26),257
2015-12-01,Mula,7.0,18.1,12.6,4.4,22.8,6.0,5.8(10),70,6,31/10.6(31),191
2016-01-01,Mula,7.2,19.0,13.1,2.3,25.1,8.6,4.2(29),60,10,30/15.0(05),234
2016-02-01,Mula,7.5,18.9,13.2,-0.2,25.3,7.4,2.6(19),53,14,30/27.5(14),328
2016-03-01,Mula,7.3,20.5,13.9,2.9,29.0,29.0,17.6(21),51,13,35/23.3(10),289
2016-04-01,Mula,10.1,23.0,16.6,4.1,27.8,19.0,9.0(04),55,11,29/17.8(01),232
2016-05-01,Mula,12.2,26.0,19.1,6.3,33.8,15.4,4.4(07),50,13,34/18.1(28),248
2016-06-01,Mula,16.6,32.7,24.7,12.4,40.8,0.0,0.0(--),42,12,30/16.4(15),241
2016-07-01,Mula,19.1,34.5,26.8,14.8,40.0,0.0,0.0(--),44,12,11/12.2(20),233
2016-08-01,Mula,19.3,32.7,26.0,14.9,39.6,6.0,5.6(16),53,11,10/11.7(05),220
2016-09-01,Mula,17.3,31.3,24.3,12.8,43.9,10.0,8.4(28),55,11,34/12.8(14),214
2016-10-01,Mula,14.6,25.4,20.0,9.7,30.6,77.6,48.8(20),71,8,35/14.2(20),173
2016-11-01,Mula,8.9,19.0,14.0,3.7,25.2,55.0,18.6(22),63,9,32/18.3(08),228
2016-12-01,Mula,7.6,15.3,11.5,3.6,19.5,211.8,96.6(18),81,7,33/14.2(21),204
2017-01-01,Mula,4.4,14.5,9.5,-0.8,20.2,28.4,23.2(19),64,12,35/19.4(15),289
2017-02-01,Mula,7.2,17.7,12.5,1.8,23.4,2.8,1.6(18),64,10,31/21.9(05),251
2017-03-01,Mula,8.0,21.4,14.7,3.5,31.9,51.8,43.8(13),56,11,06/20.3(13),254
2017-04-01,Mula,9.5,22.8,16.2,5.5,33.3,17.6,8.8(27),57,10,34/13.9(01),212
2017-05-01,Mula,12.9,27.5,20.2,8.7,30.6,0.0,0.0(--),47,11,09/12.5(09),227
2017-06-01,Mula,18.1,33.3,25.7,14.9,40.2,0.4,0.4(04),43,12,33/14.2(28),246
2017-07-01,Mula,19.7,34.2,27.0,14.4,40.5,0.2,0.2(07),49,12,10/11.7(07),227
2017-08-01,Mula,20.3,32.7,26.6,16.7,39.9,51.4,29.0(29),60,11,14/12.2(07),208
2017-09-01,Mula,16.9,29.9,23.4,13.6,35.7,9.2,8.8(15),60,10,34/14.7(10),193
2017-10-01,Mula,14.0,26.6,20.3,10.6,31.3,7.4,7.2(18),64,9,24/13.9(18),191
2017-11-01,Mula,8.0,20.1,14.1,1.9,25.6,8.4,7.6(29),55,10,33/21.4(13),243
2017-12-01,Mula,4.5,16.9,10.7,-1.1,22.1,3.4,3.0(11),56,11,31/19.2(27),284
2018-01-01,Mula,5.7,16.9,11.3,0.1,24.9,60.8,33.6(27),61,11,31/19.4(26),260
2018-02-01,Mula,5.0,15.8,10.4,-0.6,22.4,13.0,8.8(01),57,11,34/16.4(12),259
2018-03-01,Mula,8.3,20.0,14.2,3.7,28.9,13.0,3.4(03),49,14,25/26.7(24),324
2018-04-01,Mula,10.2,22.9,16.6,5.5,30.9,10.0,3.4(07),50,13,24/16.7(29),272
2018-05-01,Mula,12.5,26.4,19.5,5.8,30.4,17.4,7.8(10),51,11,31/15.0(12),239
2018-06-01,Mula,16.3,30.3,23.3,11.7,33.9,41.4,33.6(02),50,11,32/12.5(02),233
2018-07-01,Mula,20.0,35.1,27.6,17.4,39.3,0.0,0.0(--),43,11,31/13.9(16),240
2018-08-01,Mula,20.6,34.2,27.4,17.1,38.8,8.2,6.8(15),55,11,05/14.4(16),209
2018-09-01,Mula,18.9,30.0,24.5,13.3,34.6,46.2,23.4(15),66,9,29/11.1(10),189
2018-10-01,Mula,12.7,23.7,18.2,6.6,29.7,20.6,5.6(08),67,9,30/17.2(29),202
2018-11-01,Mula,8.9,18.4,13.7,4.6,22.3,73.6,32.4(18),69,10,33/16.1(09),219
2018-12-01,Mula,6.5,18.6,12.6,2.5,24.0,6.2,5.2(13),64,10,30/18.6(14),258
2019-01-01,Mula,4.7,17.0,10.9,0.0,22.1,0.8,0.4(19),51,13,32/20.0(24),308
2019-02-01,Mula,5.5,19.8,12.7,2.0,29.2,0.0,0.0(--),52,12,33/23.9(02),281
2019-03-01,Mula,7.0,22.3,14.7,2.5,29.6,19.6,11.0(31),48,11,28/17.8(06),237
2019-04-01,Mula,9.4,21.3,15.4,4.9,29.1,107.2,68.4(19),59,11,35/17.2(10),246
2019-05-01,Mula,12.5,27.1,19.9,9.2,33.6,4.6,2.2(24),52,10,32/14.4(17),216
2019-06-01,Mula,16.0,31.1,23.6,11.3,37.2,0.2,0.2(13),44,12,33/13.9(05),241
2019-07-01,Mula,20.1,34.8,27.5,17.3,40.4,0.4,0.4(08),45,12,26/21.9(06),247
2019-08-01,Mula,20.2,34.5,27.4,16.2,41.3,4.4,2.4(20),52,11,10/13.3(27),220
2019-09-01,Mula,18.0,28.8,23.4,14.2,35.5,178.8,121.2(12),67,9,33/16.9(10),208
2019-10-01,Mula,13.6,25.6,19.7,7.7,33.1,34.6,20.0(22),62,9,29/14.4(02),212
2019-11-01,Mula,9.0,18.9,13.9,3.2,26.4,8.4,3.4(17),57,13,32/18.9(10),290
2019-12-01,Mula,7.6,17.3,12.5,3.4,22.8,47.0,31.2(02),69,9,30/15.6(21),226
2020-01-01,Mula,4.7,15.3,10.1,1.0,20.6,56.8,29.2(20),69,8,36/16.7(20),211
2020-02-01,Mula,8.0,20.8,14.4,4.3,26.5,1.0,0.6(05),62,9,32/15.0(26),217
2020-03-01,Mula,8.6,19.5,14.1,5.1,30.3,100.0,36.6(23),64,11,26/25.3(02),239
2020-04-01,Mula,10.6,20.6,15.6,5.8,26.8,34.8,12.6(14),69,9,30/15.8(22),200
2020-05-01,Mula,14.0,27.6,20.8,9.1,33.5,17.8,8.4(13),51,11,29/13.9(10),223
2020-06-01,Mula,16.6,31.2,23.9,12.8,35.9,8.8,3.4(17),47,10,34/14.4(04),219
2020-07-01,Mula,19.7,34.3,27.0,17.8,39.4,0.6,0.6(14),50,11,08/11.4(08),222
2020-08-01,Mula,20.4,35.4,27.9,15.2,41.4,0.2,0.2(01),46,11,09/13.9(04),226
2020-09-01,Mula,16.6,29.7,23.2,11.7,33.5,8.4,6.0(17),55,10,34/16.9(25),212
2020-10-01,Mula,11.2,25.0,18.1,6.5,32.0,7.8,6.0(02),54,9,33/19.2(02),215
2020-11-01,Mula,10.3,20.8,15.5,3.9,28.1,30.4,19.2(27),72,8,08/13.9(05),170
2020-12-01,Mula,5.7,16.8,11.2,-0.2,23.2,9.8,6.4(08),59,11,30/21.9(08),264
