fecha,nombre_estacion,tm_min,tm_max,tm_mes,ta_min,ta_max,p_mes,p_max,hr
2019-01-01,"Caravaca de la Cruz, Los Royos",0.6,12.4,6.5,-6.8,18.4,0.8,0.4(31),55.0
2019-02-01,"Caravaca de la Cruz, Los Royos",0.3,14.4,7.4,-2.7,22.0,4.4,4.4(01),54.0
2019-03-01,"Caravaca de la Cruz, Los Royos",2.2,15.8,9.1,-3.5,21.8,14.2,7.0(30),55.0
2019-04-01,"Caravaca de la Cruz, Los Royos",4.8,15.8,10.3,1.5,25.0,70.6,40.0(19),65.0
2019-05-01,"Caravaca de la Cruz, Los Royos",8.2,23.1,15.7,4.7,29.9,1.8,1.8(03),48.0
2019-06-01,"Caravaca de la Cruz, Los Royos",11.6,28.4,20.0,6.4,34.0,1.6,1.2(13),37.0
2019-07-01,"Caravaca de la Cruz, Los Royos",15.6,31.4,23.5,11.8,35.7,8.0,5.4(17),38.0
2019-08-01,"Caravaca de la Cruz, Los Royos",15.8,31.1,23.5,10.4,37.1,0.8,0.6(21),45.0
2019-09-01,"Caravaca de la Cruz, Los Royos",13.4,24.8,19.1,9.9,31.3,85.6,43.4(12),67.0
2019-10-01,"Caravaca de la Cruz, Los Royos",9.4,21.8,15.6,1.5,28.2,23.8,13.2(22),59.0
2019-11-01,"Caravaca de la Cruz, Los Royos",4.9,13.3,9.1,-1.3,21.8,25.6,17.8(22),65.0
2019-12-01,"Caravaca de la Cruz, Los Royos",3.9,13.0,8.5,-1.8,19.8,47.0,24.6(02),74.0
2020-01-01,"Caravaca de la Cruz, Los Royos",0.8,11.4,6.1,-2.3,17.3,37.8,20.8(21),71.0
2020-02-01,"Caravaca de la Cruz, Los Royos",3.6,17.0,10.3,-0.1,22.8,0.8,0.6(18),62.0
2020-03-01,"Caravaca de la Cruz, Los Royos",4.6,14.2,9.4,-0.6,25.3,86.0,17.8(27),69.0
2020-04-01,"Caravaca de la Cruz, Los Royos",5.8,15.8,10.8,0.0,20.6,24.2,5.4(19),76.0
2020-05-01,"Caravaca de la Cruz, Los Royos",9.3,23.2,16.2,4.3,30.3,20.2,9.0(15),54.0
2020-06-01,"Caravaca de la Cruz, Los Royos",11.9,28.1,20.0,7.5,32.7,2.8,2.8(04),41.0
2020-07-01,"Caravaca de la Cruz, Los Royos",15.5,32.4,24.0,13.0,38.3,28.8,27.0(14),42.0
2020-08-01,"Caravaca de la Cruz, Los Royos",15.6,32.4,24.1,7.8,38.4,0.0,0.0(--),37.0
2020-09-01,"Caravaca de la Cruz, Los Royos",11.3,25.8,18.6,6.4,28.6,11.2,7.2(17),56.0
2020-10-01,"Caravaca de la Cruz, Los Royos",6.5,20.9,13.7,1.0,27.2,8.2,5.2(22),53.0
2020-11-01,"Caravaca de la Cruz, Los Royos",5.5,16.3,10.9,-1.2,24.4,33.4,13.8(04),74.0
2020-12-01,"Caravaca de la Cruz, Los Royos",1.4,12.1,6.8,-4.2,18.8,1.2,0.6(31),68.0
2021-01-01,"Caravaca de la Cruz, Los Royos",1.1,9.7,5.4,-5.1,22.3,65.2,,68.0
2021-02-01,"Caravaca de la Cruz, Los Royos",3.5,14.5,9.0,-2.9,20.0,5.8,3.2(21),64.0
2021-03-01,"Caravaca de la Cruz, Los Royos",2.9,13.9,8.4,-3.5,20.5,,,70.0
2021-04-01,"Caravaca de la Cruz, Los Royos",5.5,15.9,10.7,0.8,22.0,,,73.0
2021-05-01,"Caravaca de la Cruz, Los Royos",9.2,23.3,16.3,4.5,30.7,2.6,1.8(09),52.0
2021-06-01,"Caravaca de la Cruz, Los Royos",12.4,26.7,19.6,8.2,31.5,27.2,13.4(05),49.0
2021-07-01,"Caravaca de la Cruz, Los Royos",15.3,32.1,23.7,11.8,37.3,24.4,24.4(26),39.0
2021-08-01,"Caravaca de la Cruz, Los Royos",17.2,31.8,24.5,13.7,40.1,11.4,7.0(19),47.0
2021-09-01,"Caravaca de la Cruz, Los Royos",13.6,26.4,20.0,9.3,31.8,9.6,6.0(21),59.0
2021-10-01,"Caravaca de la Cruz, Los Royos",9.2,21.2,15.2,5.4,25.7,12.0,6.2(03),67.0
2021-11-01,"Caravaca de la Cruz, Los Royos",3.3,12.5,7.9,-0.7,19.6,33.8,15.6(20),66.0
2021-12-01,"Caravaca de la Cruz, Los Royos",3.6,13.3,8.5,-1.9,23.9,8.0,2.8(18),69.0
2022-01-01,"Caravaca de la Cruz, Los Royos",0.0,11.4,5.7,-7.2,22.5,8.0,2.8(24),61.0
2022-02-01,"Caravaca de la Cruz, Los Royos",1.8,14.9,8.4,-2.0,22.3,3.8,2.0(27),57.0
2022-03-01,"Caravaca de la Cruz, Los Royos",4.7,11.1,7.9,-0.1,17.9,198.6,45.4(16),82.0
2022-04-01,"Caravaca de la Cruz, Los Royos",4.5,15.0,9.8,-3.0,22.6,99.4,28.0(05),67.0
2022-05-01,"Caravaca de la Cruz, Los Royos",9.2,23.7,16.4,4.8,30.4,22.0,11.2(03),53.0
2022-06-01,"Caravaca de la Cruz, Los Royos",13.4,30.4,21.9,9.8,34.9,5.2,5.2(21),36.0
2022-07-01,"Caravaca de la Cruz, Los Royos",16.0,32.5,24.3,13.2,37.8,0.0,0.0(--),41.0
2022-08-01,"Caravaca de la Cruz, Los Royos",15.6,31.5,23.5,11.8,35.1,24.0,7.4(30),43.0
2022-09-01,"Caravaca de la Cruz, Los Royos",13.8,27.1,20.5,8.6,32.6,7.6,2.6(13),49.0
2022-10-01,"Caravaca de la Cruz, Los Royos",10.5,24.2,17.4,5.2,28.5,6.0,3.8(03),55.0
2022-11-01,"Caravaca de la Cruz, Los Royos",6.1,17.6,11.9,-2.2,24.4,7.8,6.0(11),60.0
2022-12-01,"Caravaca de la Cruz, Los Royos",4.9,14.6,9.8,0.5,21.1,24.2,10.8(14),71.0
2023-01-01,"Caravaca de la Cruz, Los Royos",0.3,11.5,5.9,-6.6,18.0,1.4,1.4(17),59.0
