fecha,nombre_estacion,tm_min,tm_max,tm_mes,ta_min,ta_max,p_mes,p_max,hr,w_med,w_racha,w_rec
2015-01-01,Lorca,2.5,16.9,9.7,-1.5,23.5,15.0,9.6(18),55.0,5.0,31/18.9(31),104
2015-02-01,Lorca,4.9,15.3,10.1,-2.2,22.9,18.1,9.7(12),56.0,7.0,29/18.1(04),154
2015-03-01,Lorca,7.6,20.4,14.0,-0.3,31.0,48.1,18.1(21),57.0,5.0,33/12.8(25),108
2015-04-01,Lorca,10.0,21.7,15.9,7.8,27.4,20.1,8.0(11),59.0,6.0,31/14.2(26),112
2015-05-01,Lorca,13.7,28.9,21.3,9.6,37.9,0.4,0.3(31),47.0,5.0,26/10.8(15),104
2015-06-01,Lorca,16.1,31.7,23.9,13.0,38.5,2.1,1.6(10),43.0,6.0,32/11.9(23),107
2015-07-01,Lorca,21.2,37.1,29.2,18.7,43.4,0.0,0.0(--),47.0,6.0,04/9.7(22),109
2015-08-01,Lorca,21.3,34.5,27.9,18.0,38.2,0.8,0.5(09),52.0,5.0,32/11.9(13),97
2015-09-01,Lorca,16.5,28.7,22.6,12.4,34.4,18.4,8.5(06),61.0,4.0,06/11.1(27),86
2015-10-01,Lorca,13.4,24.9,19.2,8.0,33.1,5.4,2.7(18),67.0,3.0,27/13.6(05),70
2015-11-01,Lorca,7.4,20.7,14.1,1.8,26.2,11.4,11.4(01),65.0,4.0,32/15.0(26),80
2015-12-01,Lorca,5.4,18.6,12.0,3.2,24.2,0.3,0.2(29),72.0,2.0,32/7.2(30),45
2016-01-01,Lorca,6.2,18.1,12.2,-0.9,22.8,7.2,5.7(15),62.0,4.0,26/16.1(11),91
2016-02-01,Lorca,6.6,17.9,12.3,0.8,23.3,1.3,0.9(14),55.0,6.0,30/19.7(14),142
2016-03-01,Lorca,6.2,19.3,12.8,0.9,25.5,9.3,6.7(21),53.0,3.0,32/14.4(10),60
2016-04-01,Lorca,9.7,22.0,15.9,3.8,28.0,14.5,9.8(05),56.0,4.0,33/12.5(01),80
2016-05-01,Lorca,12.3,26.0,19.2,6.6,32.7,24.5,10.7(10),50.0,6.0,30/16.4(28),116
2016-06-01,Lorca,16.6,31.6,24.1,12.0,36.6,7.2,7.2(04),44.0,7.0,31/14.4(15),127
2016-07-01,Lorca,19.5,34.4,27.0,14.9,39.6,0.0,0.0(--),48.0,6.0,20/14.4(22),113
2016-08-01,Lorca,19.3,33.7,26.5,15.9,37.5,9.7,8.2(16),53.0,5.0,22/11.9(30),99
2016-09-01,Lorca,17.2,31.2,24.2,13.6,41.9,3.6,2.2(28),55.0,5.0,33/11.1(14),92
2016-10-01,Lorca,13.9,25.9,19.9,8.1,31.1,28.9,15.8(12),68.0,4.0,16/9.7(23),72
2016-11-01,Lorca,7.8,19.4,13.6,2.9,27.4,32.6,14.9(22),65.0,4.0,32/15.3(08),85
