fecha,nombre_estacion,tm_min,tm_max,tm_mes,ta_min,ta_max,p_mes,p_max,hr
2015-01-01,Puerto Lumbreras,5.7,16.7,11.2,1.6,23.8,13.6,11.4(18),47.0
2015-02-01,Puerto Lumbreras,6.3,14.6,10.5,0.7,21.9,24.6,10.6(12),54.0
2015-03-01,Puerto Lumbreras,9.3,19.9,14.7,4.0,30.2,46.2,13.8(17),55.0
2015-04-01,Puerto Lumbreras,11.3,21.0,16.2,8.2,26.1,32.8,13.0(11),59.0
2015-05-01,Puerto Lumbreras,15.9,28.4,22.2,11.6,38.8,2.0,1.0(19),41.0
2015-06-01,Puerto Lumbreras,18.2,31.1,24.7,15.0,38.0,5.0,4.0(10),38.0
2015-07-01,Puerto Lumbreras,22.6,36.3,29.5,21.1,41.9,0.8,0.8(22),45.0
2015-08-01,Puerto Lumbreras,22.1,33.6,27.8,19.0,37.5,3.6,1.6(09),53.0
2015-09-01,Puerto Lumbreras,17.7,28.0,22.8,14.6,33.6,52.6,21.8(05),60.0
2015-10-01,Puerto Lumbreras,14.7,24.3,19.6,9.9,32.3,17.8,7.0(08),66.0
2015-11-01,Puerto Lumbreras,9.9,20.6,15.3,3.7,26.7,25.2,25.2(01),61.0
2015-12-01,Puerto Lumbreras,8.4,18.6,13.5,6.5,23.7,0.6,0.6(09),64.0
2016-01-01,Puerto Lumbreras,8.4,17.8,13.1,1.4,22.3,10.8,7.6(15),59.0
2016-02-01,Puerto Lumbreras,8.3,17.2,12.8,0.8,22.3,3.6,1.8(14),52.0
2016-03-01,Puerto Lumbreras,8.0,19.1,13.6,4.3,26.1,3.0,1.2(21),48.0
2016-04-01,Puerto Lumbreras,11.4,21.7,16.6,6.6,26.5,18.2,9.4(05),52.0
2016-05-01,Puerto Lumbreras,13.6,25.4,19.6,8.5,32.1,21.4,11.2(10),48.0
2016-06-01,Puerto Lumbreras,18.4,31.1,24.8,14.6,36.6,1.2,1.2(28),40.0
2016-07-01,Puerto Lumbreras,21.0,33.5,27.3,16.6,39.7,0.2,0.2(13),42.0
2016-08-01,Puerto Lumbreras,20.7,32.6,26.7,17.6,38.0,8.4,8.4(16),53.0
2016-09-01,Puerto Lumbreras,18.6,30.2,24.4,13.7,41.7,6.6,4.0(28),53.0
2016-10-01,Puerto Lumbreras,15.7,25.5,20.7,10.7,30.5,18.0,11.8(12),65.0
2016-11-01,Puerto Lumbreras,10.1,19.2,14.6,4.8,27.8,38.4,19.6(22),58.0
2016-12-01,Puerto Lumbreras,8.2,14.6,11.4,5.5,18.5,171.8,51.4(18),77.0
2017-01-01,Puerto Lumbreras,5.2,14.1,9.7,-0.6,19.6,16.0,,60.0
2017-02-01,Puerto Lumbreras,8.4,16.6,12.5,3.9,20.4,0.0,0.0(--),62.0
2017-03-01,Puerto Lumbreras,9.1,20.8,15.0,4.2,31.1,40.0,37.6(13),52.0
2017-04-01,Puerto Lumbreras,10.9,22.1,16.5,8.2,30.5,25.8,19.0(27),54.0
2017-05-01,Puerto Lumbreras,14.9,27.1,21.1,9.9,32.2,0.0,0.0(--),42.0
2017-06-01,Puerto Lumbreras,20.0,33.0,26.5,16.0,38.6,0.4,0.4(04),40.0
2017-07-01,Puerto Lumbreras,21.2,33.9,27.6,16.1,39.4,0.4,0.4(01),45.0
2017-08-01,Puerto Lumbreras,21.2,33.0,27.1,17.0,40.0,60.6,32.4(30),55.0
2017-09-01,Puerto Lumbreras,18.0,29.5,23.8,15.1,34.3,1.2,1.0(01),57.0
2017-10-01,Puerto Lumbreras,14.9,26.1,20.5,11.8,30.4,8.0,7.8(18),64.0
2017-11-01,Puerto Lumbreras,9.5,20.2,14.9,5.4,25.2,5.8,4.8(29),52.0
2017-12-01,Puerto Lumbreras,6.0,16.3,11.2,1.8,21.4,1.0,1.0(11),52.0
2018-01-01,Puerto Lumbreras,6.5,16.9,11.7,1.5,26.4,30.0,20.6(27),56.0
2018-02-01,Puerto Lumbreras,5.4,15.6,10.5,1.3,21.3,11.2,5.6(21),55.0
2018-03-01,Puerto Lumbreras,8.6,18.6,13.6,3.4,26.1,18.2,6.4(03),48.0
2018-04-01,Puerto Lumbreras,11.2,21.8,16.5,6.6,27.8,13.4,5.6(25),46.0
2018-05-01,Puerto Lumbreras,13.5,24.6,19.1,7.6,27.8,39.4,25.6(10),52.0
2018-06-01,Puerto Lumbreras,17.6,29.9,23.8,13.0,34.0,13.2,11.8(06),45.0
2018-07-01,Puerto Lumbreras,21.4,34.3,27.9,19.7,37.3,0.0,0.0(--),40.0
