fecha,nombre_estacion,tm_min,tm_max,tm_mes,ta_min,ta_max,p_mes,p_max,q_min,q_max,q_med,q_mar,hr,inso,p_sol,w_med,w_racha,w_rec
2015-01-01,Alcantarilla,2.8,17.6,10.2,-2.5,25.2,17.5,16.0(18),982.3,1035.9,1014.6,1023.7,60.0,7.7,78.0,,33/22.8(31),
2015-02-01,Alcantarilla,6.5,16.8,11.7,-2.1,22.6,22.2,12.1(12),989.0,1021.5,1009.2,1018.2,53.0,6.5,60.0,,31/19.7(04),
2015-03-01,Alcantarilla,8.7,21.9,15.3,1.4,32.4,51.0,13.5(17),992.8,1024.5,1010.3,1019.3,58.0,7.3,61.0,,09/14.4(19),
2015-04-01,Alcantarilla,10.9,23.4,17.2,7.2,29.1,9.2,5.0(07),996.8,1020.0,1010.5,1019.4,57.0,7.6,57.0,,28/15.6(26),
2015-05-01,Alcantarilla,15.0,29.9,22.5,10.2,42.5,3.3,2.4(20),997.3,1016.5,1008.4,1017.1,43.0,10.3,73.0,,16/11.9(06),
2015-06-01,Alcantarilla,16.7,32.7,24.7,10.4,41.3,6.0,5.4(11),999.3,1014.0,1008.3,1016.9,38.0,12.2,83.0,,31/13.3(15),
2015-07-01,Alcantarilla,23.1,37.1,30.1,20.0,43.0,7.5,6.5(30),997.4,1012.3,1006.1,1014.6,48.0,11.7,81.0,,13/11.4(25),
2015-08-01,Alcantarilla,23.3,34.8,29.1,20.0,39.8,1.7,1.1(16),998.6,1012.5,1005.9,1014.4,53.0,9.8,72.0,,25/12.5(10),
2015-09-01,Alcantarilla,18.1,29.7,23.9,14.5,36.2,107.6,66.7(05),995.5,1015.0,1006.8,1015.4,62.0,7.7,63.0,,07/16.4(08),
2015-10-01,Alcantarilla,14.8,26.0,20.4,9.2,33.8,22.7,19.0(20),997.9,1014.2,1006.9,1015.7,70.0,6.9,61.0,,27/14.4(05),
2015-11-01,Alcantarilla,9.1,21.9,15.5,1.0,27.7,23.1,23.1(01),1001.2,1028.3,1015.4,1024.4,67.0,7.6,75.0,,31/18.1(21),
2015-12-01,Alcantarilla,6.0,18.8,12.4,2.7,23.2,7.4,6.5(10),1013.2,1028.3,1021.2,1030.3,76.0,6.1,64.0,,,
2016-01-01,Alcantarilla,6.8,19.1,13.0,1.0,25.4,23.9,14.9(29),995.0,1026.8,1013.5,1022.6,65.0,6.4,65.0,,22/14.4(04),
2016-02-01,Alcantarilla,7.6,19.5,13.6,-0.6,26.2,3.1,1.7(18),987.9,1028.0,1010.2,1019.2,53.0,6.4,59.0,,29/20.6(14),
2016-03-01,Alcantarilla,7.1,21.1,14.1,2.0,27.6,23.6,18.4(21),995.7,1017.3,1006.5,1015.5,53.0,7.9,65.0,,32/15.6(10),
2016-04-01,Alcantarilla,11.0,24.0,17.6,5.1,28.6,17.2,11.8(04),992.4,1014.0,1004.6,1013.4,56.0,8.5,64.0,,07/19.2(30),
2016-05-01,Alcantarilla,13.2,26.9,20.1,6.0,34.4,7.0,2.8(08),995.0,1015.9,1005.9,1014.6,49.0,10.2,71.0,,32/18.1(28),
2016-06-01,Alcantarilla,17.8,32.7,25.3,14.4,39.2,2.6,1.4(04),990.8,1017.0,1006.7,1015.3,42.0,11.9,81.0,,17/16.1(11),
2016-07-01,Alcantarilla,20.8,34.4,27.6,16.9,40.6,0.3,0.3(20),1001.6,1019.0,1008.2,1016.7,46.0,11.2,78.0,,16/15.0(01),
2016-08-01,Alcantarilla,20.8,33.6,27.2,16.4,40.0,2.9,2.7(16),1000.4,1016.6,1009.3,1017.9,52.0,11.1,82.0,,07/12.5(05),
2016-09-01,Alcantarilla,18.4,32.4,25.4,13.5,43.6,7.7,7.7(28),1000.5,1018.7,1009.2,1017.9,54.0,8.9,72.0,,08/13.3(28),
2016-10-01,Alcantarilla,15.7,26.9,21.3,8.7,32.0,43.4,22.3(20),993.4,1022.1,1007.8,1016.6,70.0,6.4,57.0,,,
2016-11-01,Alcantarilla,8.7,20.6,14.7,2.5,27.6,25.5,7.4(22),993.6,1020.0,1007.5,1016.4,66.0,6.2,61.0,,11/16.4(14),
2016-12-01,Alcantarilla,7.7,16.5,12.1,2.7,19.4,257.3,112.4(18),1002.3,1028.9,1017.4,1026.5,81.0,4.7,49.0,6.0,10/17.5(17),
2017-01-01,Alcantarilla,4.0,15.6,9.8,-0.5,21.3,56.8,40.3(19),1001.4,1023.0,1012.2,1021.4,65.0,6.5,66.0,,34/19.7(16),223
2017-02-01,Alcantarilla,7.3,19.2,13.3,1.8,23.1,2.4,1.0(18),993.7,1023.9,1010.7,1019.7,65.0,6.0,56.0,,34/21.7(05),215
2017-03-01,Alcantarilla,7.8,22.8,15.3,3.0,33.3,61.5,57.1(13),994.7,1020.0,1010.4,1019.3,58.0,7.7,64.0,,30/18.1(03),199
2017-04-01,Alcantarilla,10.2,24.1,17.2,5.4,32.8,9.8,5.1(27),996.9,1019.1,1009.8,1018.6,56.0,9.1,70.0,,12/15.6(20),204
2017-05-01,Alcantarilla,13.7,28.6,21.1,9.5,34.0,0.0,0.0(--),992.8,1018.9,1007.6,1016.3,44.0,11.0,77.0,,17/13.3(31),226
2017-06-01,Alcantarilla,19.2,33.9,26.6,15.6,41.0,0.2,0.2(04),996.6,1012.6,1006.6,1015.1,42.0,12.5,85.0,,02/21.1(28),255
2017-07-01,Alcantarilla,21.0,35.0,28.0,15.5,40.0,1.9,1.9(06),998.8,1014.6,1006.4,1014.9,49.0,11.6,80.0,,17/18.1(17),244
2017-08-01,Alcantarilla,22.0,33.8,27.9,18.4,40.5,37.4,30.5(29),1000.4,1013.3,1007.4,1015.9,58.0,9.1,67.0,,25/18.6(07),220
2017-09-01,Alcantarilla,18.1,31.2,24.7,14.8,37.0,2.5,2.5(01),994.9,1016.0,1008.4,1017.0,58.0,9.0,72.0,,12/13.3(15),194
2017-10-01,Alcantarilla,14.5,27.9,21.2,8.6,33.2,16.4,15.5(18),1002.0,1019.4,1012.9,1021.7,65.0,8.3,74.0,,35/21.7(18),150
2017-11-01,Alcantarilla,7.2,20.8,14.0,1.8,25.6,7.8,2.9(01),996.6,1021.8,1010.6,1019.6,60.0,7.4,73.0,,20/16.1(13),161
2017-12-01,Alcantarilla,3.3,17.5,10.4,-3.8,23.0,3.1,3.1(11),985.7,1029.1,1015.2,1024.3,58.0,7.0,73.0,,01/20.6(01),186
2018-01-01,Alcantarilla,5.4,17.9,11.6,-1.4,24.6,57.7,34.0(27),986.6,1026.8,1013.5,1022.6,63.0,6.8,69.0,,35/20.0(11),182
2018-02-01,Alcantarilla,4.7,16.6,10.7,-1.8,23.1,11.6,8.4(01),988.1,1016.1,1004.9,1013.9,60.0,7.2,66.0,,35/15.0(10),210
2018-03-01,Alcantarilla,8.5,21.2,14.8,3.7,29.0,11.4,5.4(03),981.5,1016.2,1000.5,1009.4,45.0,6.8,57.0,,33/23.3(24),315
2018-04-01,Alcantarilla,10.5,23.9,17.2,4.7,31.0,14.1,7.5(25),988.2,1016.7,1004.7,1013.6,47.0,8.9,67.0,,32/18.1(11),264
2018-05-01,Alcantarilla,13.3,27.2,20.3,5.8,31.5,10.0,5.6(09),999.1,1011.7,1005.5,1014.2,47.0,10.8,76.0,,14/16.1(16),235
2018-06-01,Alcantarilla,17.6,31.5,24.5,12.8,34.6,49.0,40.0(02),998.4,1013.6,1005.9,1014.5,47.0,11.1,75.0,,16/14.4(21),231
2018-07-01,Alcantarilla,21.3,35.8,28.6,19.0,41.0,0.0,0.0(--),999.3,1011.5,1005.4,1013.8,43.0,12.1,84.0,,16/14.4(11),240
2018-08-01,Alcantarilla,22.1,35.2,28.7,18.6,40.0,13.0,8.5(15),1001.2,1013.1,1007.1,1015.6,55.0,10.0,73.0,,11/15.0(16),224
2018-09-01,Alcantarilla,20.0,31.5,25.8,14.5,35.9,39.1,19.9(14),1001.4,1020.3,1009.5,1018.1,65.0,7.5,60.0,,04/12.8(18),186
2018-10-01,Alcantarilla,13.5,25.2,19.4,6.5,30.5,46.5,18.9(18),990.6,1017.7,1005.5,1014.3,67.0,6.6,59.0,,34/16.1(29),184
2018-11-01,Alcantarilla,8.7,19.8,14.3,2.9,23.8,103.6,45.8(14),991.3,1015.5,1006.8,1015.7,71.0,5.8,57.0,,34/17.5(09),185
2018-12-01,Alcantarilla,5.1,18.8,12.0,-0.4,24.4,6.9,5.7(13),997.8,1025.2,1016.8,1025.9,72.0,7.4,77.0,,34/21.1(14),146
2019-01-01,Alcantarilla,2.9,17.5,10.2,-3.5,23.0,1.3,0.8(19),993.4,1025.2,1010.8,1020.0,59.0,7.5,76.0,,10/21.1(23),201
2019-02-01,Alcantarilla,4.5,19.7,12.1,0.9,27.7,0.0,0.0(--),987.6,1025.5,1016.1,1025.2,57.0,8.4,78.0,,35/19.7(03),194
2019-03-01,Alcantarilla,6.1,22.1,14.1,1.3,28.9,14.7,11.4(31),998.0,1023.3,1013.7,1022.7,54.0,7.6,64.0,,30/16.4(06),188
2019-04-01,Alcantarilla,9.9,22.5,16.2,5.2,29.2,121.2,77.6(19),990.8,1018.1,1004.2,1013.1,64.0,7.8,59.0,,08/20.0(20),233
