fecha,nombre_estacion,tm_min,tm_max,tm_mes,ta_min,ta_max,p_mes,p_max,hr,w_med,w_racha,w_rec
2015-01-01,Molina de Segura,4.7,16.4,10.6,-0.9,22.0,20.4,17.6(18),56.0,12.0,31/20.3(30),281
2015-02-01,Molina de Segura,6.4,15.2,10.8,-1.1,21.6,14.2,8.8(12),57.0,17.0,32/21.9(25),372
2015-03-01,Molina de Segura,8.6,21.4,15.0,1.3,32.8,45.6,11.8(24),62.0,10.0,31/18.9(26),234
2015-04-01,Molina de Segura,10.2,23.7,17.0,6.8,29.6,6.8,5.0(26),60.0,11.0,31/19.7(26),226
2015-05-01,Molina de Segura,13.9,30.1,22.0,8.9,41.8,5.6,5.2(30),44.0,12.0,10/12.2(19),224
2015-06-01,Molina de Segura,16.2,33.1,24.7,13.6,41.8,14.8,9.8(11),42.0,12.0,30/15.0(15),218
2015-07-01,Molina de Segura,21.4,37.4,29.4,18.6,44.2,0.2,0.2(22),51.0,12.0,10/14.2(22),229
2015-08-01,Molina de Segura,22.1,35.2,28.7,18.2,39.5,2.8,1.2(09),56.0,11.0,32/17.2(06),225
2015-09-01,Molina de Segura,17.2,29.8,23.5,14.0,35.6,66.6,26.4(05),65.0,9.0,13/12.8(08),194
2015-10-01,Molina de Segura,14.4,25.5,19.9,9.5,31.6,7.2,2.4(18),69.0,8.0,30/14.7(05),169
2015-11-01,Molina de Segura,9.6,20.8,15.2,3.4,26.0,19.2,19.2(01),67.0,9.0,33/22.5(26),227
2015-12-01,Molina de Segura,7.1,18.6,12.9,4.7,22.5,2.4,2.0(10),73.0,6.0,30/13.6(30),162
2016-01-01,Molina de Segura,7.7,17.9,12.9,1.2,23.0,13.7,9.3(15),63.0,11.0,32/18.3(05),239
2016-02-01,Molina de Segura,7.9,18.7,13.3,0.6,24.4,4.8,1.6(06),55.0,14.0,32/23.6(15),322
2016-03-01,Molina de Segura,8.0,20.5,14.3,3.8,27.6,24.4,17.8(21),52.0,14.0,35/18.3(10),302
2016-04-01,Molina de Segura,10.2,23.9,17.1,4.7,28.8,17.6,12.6(04),56.0,11.0,12/15.8(19),223
2016-05-01,Molina de Segura,12.3,26.9,19.6,5.7,33.1,9.4,3.6(10),51.0,13.0,33/19.7(28),251
2016-06-01,Molina de Segura,16.6,33.0,24.8,12.8,40.9,0.0,0.0(--),45.0,13.0,34/16.9(16),249
2016-07-01,Molina de Segura,19.5,34.9,27.2,15.9,39.8,0.0,0.0(--),47.0,13.0,14/13.1(03),239
2016-08-01,Molina de Segura,19.4,33.5,26.5,16.7,39.1,4.6,4.4(16),57.0,11.0,12/13.3(05),216
2016-09-01,Molina de Segura,17.8,31.9,24.8,14.4,43.3,2.2,1.4(28),58.0,10.0,36/14.2(13),210
