fecha,nombre_estacion,tm_min,tm_max,tm_mes,ta_min,ta_max,p_mes,p_max,q_min,q_max,q_med,q_mar,hr,inso,p_sol,w_med,w_racha,w_rec
2015-01-01,Yecla,0.7,13.9,7.2,-5.5,21.1,23.0,14.0(18),918.6,967.5,947.8,1023.7,53.0,7.8,80.0,14.0,25/28.1(30),322
2015-02-01,Yecla,3.1,10.8,6.9,-5.6,17.4,29.4,19.4(12),923.2,956.1,942.8,1018.5,62.0,5.5,51.0,19.0,27/28.3(01),438
2015-03-01,Yecla,5.7,18.0,11.9,-1.9,28.6,40.4,9.6(17),927.4,957.0,944.9,1019.1,54.0,7.7,65.0,11.0,07/22.5(20),271
2015-04-01,Yecla,7.6,20.4,14.0,4.0,26.0,5.2,2.6(26),933.6,954.0,945.3,1019.0,57.0,8.0,60.0,12.0,29/21.9(27),271
2015-05-01,Yecla,11.2,27.3,19.3,6.8,38.4,38.6,26.2(19),934.3,951.8,944.4,1016.2,38.0,10.8,76.0,10.0,28/19.4(14),229
2015-06-01,Yecla,,,,,,24.0,12.8(15),,,,,,,,,,
2015-07-01,Yecla,18.5,35.7,27.1,15.8,40.4,33.0,24.2(31),934.9,950.3,943.8,1013.5,40.0,11.2,77.0,11.0,02/18.1(22),211
2015-08-01,Yecla,,,,,,15.0,12.2(07),,,,,,,,,,
2015-09-01,Yecla,14.1,26.3,20.2,10.0,30.9,91.2,18.2(01),933.3,950.6,943.4,1015.3,60.0,7.8,63.0,9.0,04/19.7(26),207
2015-10-01,Yecla,10.8,21.7,16.3,5.3,28.0,13.8,4.2(26),935.0,949.6,942.8,1015.8,65.0,5.9,53.0,8.0,25/16.1(06),186
2015-11-01,Yecla,5.3,18.7,12.0,-1.4,23.8,22.2,17.0(01),936.1,960.7,949.9,1024.6,62.0,7.7,77.0,11.0,28/22.8(26),225
2015-12-01,Yecla,3.0,17.2,10.2,-1.6,22.2,0.2,0.2(10),946.5,961.6,954.8,1030.5,66.0,6.2,65.0,7.0,30/18.9(31),131
2016-01-01,Yecla,4.7,15.0,9.9,-4.1,19.9,1.4,1.0(15),930.4,960.0,947.5,1022.6,61.0,5.8,59.0,14.0,28/22.8(05),308
2016-02-01,Yecla,4.3,14.9,9.6,-5.2,20.4,7.6,3.4(26),920.8,960.7,944.1,1019.1,56.0,6.7,63.0,18.0,27/31.9(15),415
2016-03-01,Yecla,4.4,16.2,10.3,-2.4,25.2,26.0,14.8(21),930.7,951.0,941.0,1015.4,51.0,8.1,67.0,15.0,31/25.0(05),335
2016-04-01,Yecla,7.0,19.6,13.3,-0.2,25.3,49.4,21.8(04),926.7,948.6,939.7,1013.1,54.0,7.8,59.0,11.0,05/19.7(08),255
2016-05-01,Yecla,9.0,23.5,16.3,1.5,30.9,44.8,12.3(10),930.4,949.8,941.4,1013.9,49.0,9.3,65.0,12.0,29/21.1(28),243
2016-06-01,Yecla,13.7,30.7,22.2,9.2,37.6,0.0,0.0(--),929.7,952.0,943.2,1014.1,34.0,11.7,79.0,11.0,26/18.1(13),241
2016-07-01,Yecla,16.4,33.3,24.8,10.9,38.8,0.0,0.0(--),939.3,949.8,945.2,1015.6,37.0,11.2,77.0,11.0,05/14.2(20),225
2016-08-01,Yecla,16.0,32.1,24.1,10.6,38.6,8.2,3.6(10),938.3,952.8,946.2,1017.0,46.0,11.0,80.0,9.0,10/14.7(05),192
2016-09-01,Yecla,13.6,29.4,21.5,8.2,39.4,33.6,16.0(13),937.4,954.6,945.9,1017.5,50.0,9.7,78.0,9.0,32/19.2(13),199
2016-10-01,Yecla,11.2,24.1,17.7,3.6,30.6,26.4,13.0(20),929.2,957.4,943.8,1016.4,65.0,6.4,57.0,7.0,28/12.8(06),153
2016-11-01,Yecla,5.4,16.5,11.0,0.0,25.9,62.6,30.2(22),928.3,954.5,942.3,1016.7,66.0,5.7,56.0,10.0,31/19.4(09),226
2016-12-01,Yecla,3.6,13.1,8.4,-0.8,20.3,88.8,25.2(19),937.2,961.9,951.2,1027.1,78.0,4.5,47.0,10.0,04/15.8(18),200
2017-01-01,Yecla,1.1,11.5,6.3,-6.2,18.0,62.4,36.0(19),935.1,955.3,945.7,1021.7,64.0,5.9,60.0,14.0,27/25.8(28),316
2017-02-01,Yecla,3.7,15.0,9.3,-2.7,19.4,4.9,3.5(18),930.0,957.4,944.8,1019.9,64.0,6.5,61.0,13.0,25/26.9(05),324
2017-03-01,Yecla,4.5,18.9,11.7,-0.2,29.3,105.1,79.0(13),927.6,953.9,945.0,1019.2,53.0,9.2,77.0,12.0,27/27.2(03),280
2017-04-01,Yecla,5.8,20.9,13.3,1.0,28.4,14.0,8.6(27),933.8,953.5,944.5,1018.0,51.0,9.2,70.0,10.0,27/21.4(01),216
2017-05-01,Yecla,9.4,26.1,17.8,4.2,31.4,6.4,5.4(29),928.7,954.2,943.3,1015.4,41.0,10.9,77.0,10.0,25/16.1(11),213
2017-06-01,Yecla,15.3,32.4,23.9,11.0,38.6,4.4,3.8(04),935.4,949.0,943.5,1013.9,34.0,12.2,82.0,10.0,29/18.3(28),228
2017-07-01,Yecla,16.9,34.0,25.5,10.6,41.2,4.0,3.6(07),936.8,950.3,943.6,1013.7,38.0,11.5,79.0,11.0,25/17.2(13),206
2017-08-01,Yecla,17.4,32.4,24.9,12.9,39.7,51.6,33.8(29),939.1,949.6,944.6,1015.1,49.0,9.5,69.0,9.0,22/17.5(02),199
2017-09-01,Yecla,13.4,28.1,20.7,10.1,33.3,8.0,4.4(15),932.5,951.8,944.7,1016.4,54.0,9.3,75.0,9.0,26/15.6(11),199
2017-10-01,Yecla,9.9,25.6,17.8,5.4,30.6,3.8,3.8(18),937.2,955.0,948.5,1021.5,60.0,8.6,76.0,8.0,27/19.7(20),165
2017-11-01,Yecla,3.6,18.2,10.9,-2.4,23.8,6.8,4.4(28),931.6,954.7,945.3,1020.0,50.0,7.4,73.0,9.0,26/22.2(13),198
2017-12-01,Yecla,1.3,13.0,7.2,-6.3,16.6,12.6,5.6(15),920.2,961.5,948.7,1024.7,62.0,6.2,65.0,14.0,27/24.4(27),315
