fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2022-01-01,7228,"ALCANTARILLA, BASE AEREA",MURCIA,75,11.8,0.0,2.2,07:50,21.5,15:20,26,1.1,4.7,21:35,8.7,1021.1,10,1018.2,15,70,99,Varias,36,15:15
2022-01-02,7228,"ALCANTARILLA, BASE AEREA",MURCIA,75,11.6,0.0,2.0,06:30,21.1,15:30,27,2.5,7.2,17:46,7.9,1021.1,11,1018.0,15,72,99,00:00,37,15:15
2022-01-03,7228,"ALCANTARILLA, BASE AEREA",MURCIA,75,11.6,0.0,2.2,06:45,21.0,15:30,26,2.2,5.6,19:14,8.6,1019.5,00,1013.3,24,67,99,21:45,33,13:30
2022-01-04,7228,"ALCANTARILLA, BASE AEREA",MURCIA,75,13.0,0.0,4.5,06:45,21.5,14:30,31,2.5,15.0,20:01,8.4,1013.3,00,1002.0,17,70,98,00:00,41,19:05
2022-01-05,7228,"ALCANTARILLA, BASE AEREA",MURCIA,75,12.7,0.0,8.9,08:35,16.5,12:55,34,5.3,16.9,11:20,5.1,1010.7,10,1005.7,00,42,73,23:59,30,13:30
2022-01-06,7228,"ALCANTARILLA, BASE AEREA",MURCIA,75,8.9,0.0,2.6,23:00,15.2,15:30,03,3.1,10.3,16:36,8.7,1013.9,24,1006.6,02,45,87,Varias,25,15:30
2022-01-07,7228,"ALCANTARILLA, BASE AEREA",MURCIA,75,9.2,0.0,1.4,03:30,17.0,15:30,35,3.6,8.3,13:12,8.7,1019.6,24,1013.5,Varias,50,84,06:00,28,14:55
2022-01-08,7228,"ALCANTARILLA, BASE AEREA",MURCIA,75,11.1,0.0,4.1,07:00,18.1,15:00,34,2.2,9.2,10:40,7.8,1019.7,10,1015.1,24,52,80,21:00,27,15:00
2022-01-09,7228,"ALCANTARILLA, BASE AEREA",MURCIA,75,12.1,0.0,2.5,01:15,21.7,14:45,34,3.9,9.7,18:09,4.4,1015.1,00,1009.5,16,32,70,01:00,20,15:30
2022-01-10,7228,"ALCANTARILLA, BASE AEREA",MURCIA,75,18.2,0.0,13.2,07:30,23.1,13:30,03,3.9,13.9,13:25,7.6,1012.0,24,1007.6,16,47,75,23:59,34,13:00
2022-01-11,7228,"ALCANTARILLA, BASE AEREA",MURCIA,75,10.8,0.8,7.0,23:59,14.5,00:00,10,0.8,6.7,19:20,0.1,1017.3,24,1012.0,00,83,99,Varias,74,06:55
2022-01-12,7228,"ALCANTARILLA, BASE AEREA",MURCIA,75,10.4,1.5,4.9,02:50,16.0,14:55,21,1.4,4.7,15:20,7.8,1022.6,24,1017.3,00,74,100,Varias,53,Varias
2022-01-13,7228,"ALCANTARILLA, BASE AEREA",MURCIA,75,9.1,0.0,4.0,23:59,14.2,14:00,13,2.2,8.9,13:50,7.1,1025.2,23,1022.6,00,75,100,Varias,51,15:20
2022-01-14,7228,"ALCANTARILLA, BASE AEREA",MURCIA,75,7.0,0.0,0.6,06:10,13.5,15:10,12,1.1,5.6,16:51,3.6,1025.4,10,1022.5,16,77,98,Varias,54,12:55
2022-01-15,7228,"ALCANTARILLA, BASE AEREA",MURCIA,75,8.5,0.0,2.4,05:00,14.6,15:10,33,0.3,4.2,16:20,7.8,1022.9,00,1018.1,18,73,100,07:00,45,15:00
2022-01-16,7228,"ALCANTARILLA, BASE AEREA",MURCIA,75,7.5,0.0,-1.0,06:15,16.0,16:05,11,1.7,6.7,13:40,9.2,1024.1,24,1019.8,01,60,100,Varias,26,16:05
