fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2020-01-01,7228,"ALCANTARILLA, BASE AEREA",MURCIA,75,7.9,0.0,1.0,07:15,14.8,15:00,15,1.7,4.7,17:59,8.3,1024.9,10,1022.1,14,84,100,Varias,60,15:00
2020-01-02,7228,"ALCANTARILLA, BASE AEREA",MURCIA,75,9.4,0.0,7.0,00:00,11.8,Varias,33,0.6,3.1,15:47,0.0,1024.9,10,1022.9,15,85,98,00:00,76,13:00
2020-01-03,7228,"ALCANTARILLA, BASE AEREA",MURCIA,75,10.6,0.0,2.9,05:00,18.3,14:05,25,2.2,5.6,17:23,5.2,1024.1,Varias,1019.1,Varias,80,100,Varias,22,23:00
2020-01-04,7228,"ALCANTARILLA, BASE AEREA",MURCIA,75,9.2,0.0,3.6,23:30,14.9,13:00,35,1.1,3.6,13:34,8.5,1025.4,10,1022.7,15,76,98,Varias,53,13:00
2020-01-05,7228,"ALCANTARILLA, BASE AEREA",MURCIA,75,8.5,0.0,0.7,06:00,16.3,14:00,33,1.1,3.6,22:04,9.1,1023.2,00,1018.8,17,78,100,Varias,46,14:00
2020-01-06,7228,"ALCANTARILLA, BASE AEREA",MURCIA,75,8.0,0.0,-0.6,Varias,16.7,16:00,24,1.4,3.6,20:13,8.7,1021.9,11,1019.5,15,75,100,Varias,43,13:50
2020-01-07,7228,"ALCANTARILLA, BASE AEREA",MURCIA,75,7.2,0.0,-1.0,05:10,15.5,Varias,29,1.1,4.7,17:18,9.0,1024.2,10,1020.5,16,77,100,Varias,46,14:55
2020-01-08,7228,"ALCANTARILLA, BASE AEREA",MURCIA,75,7.8,0.0,-0.2,07:40,15.8,14:30,09,1.7,5.3,12:48,8.7,1022.2,23,1020.0,06,78,100,Varias,44,12:40
2020-01-09,7228,"ALCANTARILLA, BASE AEREA",MURCIA,75,10.8,0.0,5.6,07:05,16.0,Varias,15,0.8,5.6,18:12,8.6,1022.6,00,1016.4,23,77,97,Varias,57,Varias
2020-01-10,7228,"ALCANTARILLA, BASE AEREA",MURCIA,75,10.8,0.0,4.2,Varias,17.4,15:30,03,2.2,11.9,15:36,6.7,1019.9,23,1014.8,15,60,100,04:30,37,15:40
