indicativo,p_max,n_cub,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,np_001,ta_min,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010,fecha,anio,mes,w_med,w_rec
7228,66.7,46.0,57.0,0.0,8.0,8.5,1035.9,,1019.1,1010.3,12.9,43.0,26.7,127.0,0.0,98.0,,9.0,221.0,69.0,,45.0,-2.5,134.0,1.0,4.0,21907.0,279.2,53.0,9.0,7.0,9.8,0.0,19.4,25.9,1.0,982.3,29.0,,2015,13,,
7228,112.4,49.0,57.0,1.0,1.0,8.3,1028.9,,1017.7,1008.9,13.0,43.6,24.8,118.0,0.0,95.0,,9.0,222.0,67.0,,54.0,-0.6,133.0,3.0,0.0,22364.0,414.5,63.0,10.0,1.0,12.0,0.0,19.3,25.6,0.0,987.9,35.0,,2016,13,,
7228,57.1,40.0,57.0,0.0,5.0,8.8,1029.1,24.0,1018.7,1009.9,12.4,41.0,26.6,122.0,0.0,107.0,34/21.7(05/feb),5.0,218.0,71.0,0.0,33.0,-3.8,133.0,3.0,2.0,20778.0,199.8,42.0,6.0,6.0,3.4,1.0,19.1,25.9,0.0,985.7,17.0,,2017,13,,206
7228,45.8,42.0,57.0,0.0,3.0,8.4,1026.8,24.0,1016.0,1007.2,12.6,41.0,25.4,119.0,0.0,109.0,33/23.3(24/mar),8.0,214.0,68.0,0.0,69.0,-1.8,133.0,4.0,3.0,20330.0,362.9,78.0,12.0,4.0,11.6,0.0,19.0,25.4,0.0,981.5,44.0,,2018,13,,217
7228,179.7,27.0,57.0,0.0,1.0,8.6,1026.3,25.0,1017.0,1008.2,12.0,42.8,26.9,119.0,0.0,123.0,10/21.1(23/ene),9.0,215.0,70.0,0.0,42.0,-3.5,132.0,4.0,0.0,19837.0,477.7,47.0,7.0,9.0,11.8,0.0,18.9,25.8,0.0,987.6,26.0,,2019,13,,212
7228,68.3,47.0,59.0,0.0,7.0,8.6,1027.2,,1017.9,1009.1,12.1,42.0,25.6,123.0,0.0,108.0,,10.0,207.0,70.0,,55.0,-1.9,136.0,3.0,4.0,19218.0,343.4,63.0,14.0,8.0,8.6,0.0,19.0,25.9,1.0,985.2,37.0,,2020,13,,
7228,65.2,50.0,59.0,0.0,3.0,7.7,1026.3,,1017.2,1008.4,12.8,47.0,25.6,121.0,0.0,76.0,,13.0,239.0,63.0,,57.0,-3.0,137.0,1.0,3.0,18721.0,341.3,74.0,9.0,6.0,6.6,0.0,19.2,25.6,0.0,992.8,37.0,,2021,13,,
7228,49.5,62.0,58.0,0.0,6.0,7.9,1026.7,15.0,1017.8,1009.0,13.2,45.1,25.7,135.0,0.0,109.0,10/18.6(23/mar),11.0,194.0,64.0,0.0,73.0,-2.4,139.0,3.0,4.0,19322.0,419.3,82.0,12.0,8.0,9.9,0.0,19.9,26.5,0.0,991.5,50.0,,2022,13,,197
7228,33.5,,55.0,3.0,3.0,,1029.2,,1017.7,1008.9,12.9,43.9,26.6,139.0,,,,7.0,,,,43.0,-2.5,139.0,2.0,,20616.0,232.2,54.0,15.0,15.0,10.7,0.0,19.9,26.9,,984.6,31.0,,2023,13,,
7228,34.9,,54.0,0.0,3.0,,1032.3,34.0,1017.0,1008.3,13.6,42.6,25.5,127.0,,,03/24.7(10/jun),5.0,,,0.0,52.0,-0.2,136.0,1.0,,,179.1,61.0,11.0,1.0,13.4,0.0,20.3,26.9,,984.3,30.0,,2024,13,,217
7228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,13,,
