indicativo,p_max,n_cub,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,np_001,ta_min,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010,fecha,anio,mes,w_med,w_rec
7228,16.0,2.0,60.0,0.0,0.0,7.7,1035.9,1.0,1023.7,1014.6,2.8,25.2,9.5,0.0,0.0,15.0,33/22.8(31),1.0,14.0,78.0,0.0,2.0,-2.5,74.0,0.0,0.0,1162.0,17.5,3.0,0.0,5.0,11.2,0.0,10.2,17.6,0.0,982.3,2.0,2015-01-01,2015,1,,
7228,12.1,5.0,53.0,0.0,0.0,6.5,1021.5,6.0,1018.2,1009.2,6.5,22.6,14.2,0.0,0.0,3.0,31/19.7(04),1.0,20.0,60.0,0.0,7.0,-2.1,74.0,0.0,0.0,1579.0,22.2,7.0,0.0,2.0,9.8,0.0,11.7,16.8,0.0,989.0,4.0,2015-02-01,2015,2,,
7228,13.5,7.0,58.0,0.0,1.0,7.3,1024.5,0.0,1019.3,1010.3,8.7,32.4,16.1,2.0,0.0,10.0,09/14.4(19),2.0,14.0,61.0,0.0,10.0,1.4,98.0,0.0,1.0,1528.0,51.0,10.0,2.0,0.0,12.0,0.0,15.3,21.9,0.0,992.8,7.0,2015-03-01,2015,3,,
7228,5.0,10.0,57.0,0.0,0.0,7.6,1020.0,1.0,1019.4,1010.5,10.9,29.1,15.4,0.0,0.0,1.0,28/15.6(26),0.0,19.0,57.0,0.0,5.0,7.2,114.0,0.0,0.0,1542.0,9.2,7.0,3.0,0.0,16.2,0.0,17.2,23.4,0.0,996.8,3.0,2015-04-01,2015,4,,
7228,2.4,3.0,43.0,0.0,0.0,10.3,1016.5,0.0,1017.1,1008.4,15.0,42.5,19.8,15.0,0.0,9.0,16/11.9(06),0.0,19.0,73.0,0.0,2.0,10.2,124.0,0.0,0.0,2645.0,3.3,3.0,0.0,0.0,22.2,0.0,22.5,29.9,0.0,997.3,1.0,2015-05-01,2015,5,,
7228,5.4,0.0,38.0,0.0,0.0,12.2,1014.0,0.0,1016.9,1008.3,16.7,41.3,20.4,28.0,0.0,17.0,31/13.3(15),0.0,13.0,83.0,0.0,3.0,10.4,130.0,0.0,0.0,2938.0,6.0,3.0,0.0,0.0,26.5,0.0,24.7,32.7,0.0,999.3,1.0,2015-06-01,2015,6,,
7228,6.5,0.0,48.0,0.0,0.0,11.7,1012.3,0.0,1014.6,1006.1,23.1,43.0,26.7,31.0,0.0,15.0,13/11.4(25),0.0,16.0,81.0,0.0,2.0,20.0,205.0,0.0,0.0,3209.0,7.5,2.0,2.0,0.0,33.6,0.0,30.1,37.1,0.0,997.4,2.0,2015-07-01,2015,7,,
7228,1.1,1.0,53.0,0.0,0.0,9.8,1012.5,0.0,1014.4,1005.9,23.3,39.8,26.0,31.0,0.0,5.0,25/12.5(10),0.0,25.0,72.0,0.0,2.0,20.0,211.0,0.0,0.0,2759.0,1.7,3.0,1.0,0.0,31.5,0.0,29.1,34.8,0.0,998.6,1.0,2015-08-01,2015,8,,
7228,66.7,5.0,62.0,0.0,0.0,7.7,1015.0,1.0,1015.4,1006.8,18.1,36.2,24.6,16.0,0.0,3.0,07/16.4(08),3.0,22.0,63.0,0.0,5.0,14.5,182.0,1.0,0.0,1649.0,107.6,5.0,1.0,0.0,20.6,0.0,23.9,29.7,0.0,995.5,4.0,2015-09-01,2015,9,,
7228,19.0,9.0,70.0,0.0,0.0,6.9,1014.2,0.0,1015.7,1006.9,14.8,33.8,19.5,4.0,0.0,3.0,27/14.4(05),1.0,19.0,61.0,0.0,4.0,9.2,165.0,0.0,0.0,1193.0,22.7,7.0,0.0,0.0,19.8,0.0,20.4,26.0,0.0,997.9,2.0,2015-10-01,2015,10,,
7228,23.1,1.0,67.0,0.0,4.0,7.6,1028.3,2.0,1024.4,1015.4,9.1,27.7,15.7,0.0,0.0,13.0,31/18.1(21),1.0,16.0,75.0,0.0,1.0,1.0,119.0,0.0,2.0,1127.0,23.1,1.0,0.0,0.0,15.7,0.0,15.5,21.9,0.0,1001.2,1.0,2015-11-01,2015,11,,
7228,6.5,3.0,76.0,0.0,3.0,6.1,1028.3,,1030.3,1021.2,6.0,23.2,10.2,0.0,0.0,4.0,,0.0,24.0,64.0,,2.0,2.7,112.0,0.0,1.0,576.0,7.4,2.0,0.0,0.0,14.3,0.0,12.4,18.8,1.0,1013.2,1.0,2015-12-01,2015,12,,
7228,14.9,4.0,65.0,0.0,0.0,6.4,1026.8,0.0,1022.6,1013.5,6.8,25.4,16.3,0.0,0.0,4.0,22/14.4(04),1.0,23.0,65.0,0.0,5.0,1.0,100.0,0.0,0.0,1227.0,23.9,7.0,0.0,0.0,13.0,0.0,13.0,19.1,0.0,995.0,2.0,2016-01-01,2016,1,,
