fecha,nombre_estacion,tm_min,tm_max,tm_mes,ta_min,ta_max,p_mes,p_max,hr,w_med,w_racha,w_rec
2015-01-01,Cartagena,16.0,23.0,19.5,3.6,38.3,242.4,67.4(05/sep),67.0,7.0,24/28.3(31/ene),143
2016-01-01,Cartagena,,,,,,249.7,75.0(17/dic),,,,
2017-01-01,Cartagena,,,,,,,,,7.0,,
2018-01-01,Cartagena,15.4,22.2,18.8,4.4,33.0,210.6,34.8(18/nov),67.0,7.0,22/21.1(30/oct),150
2019-01-01,Cartagena,15.1,22.3,18.7,3.7,34.6,406.1,142.7(12/sep),66.0,7.0,28/25.3(20/dic),145
2020-01-01,Cartagena,15.2,22.5,18.9,1.9,34.8,327.9,102.9(23/mar),68.0,6.0,24/18.3(02/mar),130
2021-01-01,Cartagena,15.8,22.7,19.3,2.7,34.6,381.3,59.8(23/may),68.0,,,
2022-01-01,Cartagena,16.1,24.0,20.1,3.3,41.5,440.4,68.5(16/mar),68.0,,,
2023-01-01,Cartagena,15.9,24.0,20.0,3.0,36.6,200.8,91.2(22/may),67.0,5.0,27/18.9(17/ene),103
2024-01-01,Cartagena,16.6,24.0,20.3,4.5,36.3,153.7,29.8(12/jun),67.0,7.0,23/20.3(30/mar),154
