fecha,nombre_estacion,tm_min,tm_max,tm_mes,ta_min,ta_max,p_mes,p_max,hr
2015-01-01,Fuente Alamo de Murcia,,,,,,175.2,28.8(01/nov),
2016-01-01,Fuente Alamo de Murcia,13.7,24.3,19.0,1.6,40.3,,,60.0
2017-01-01,Fuente Alamo de Murcia,13.3,24.5,18.9,0.1,38.3,,,59.0
2018-01-01,Fuente Alamo de Murcia,13.5,24.1,18.8,0.9,37.2,320.0,83.2(18/nov),60.0
2019-01-01,Fuente Alamo de Murcia,13.1,24.5,18.8,-0.4,39.6,401.6,118.8(12/sep),59.0
2020-01-01,Fuente Alamo de Murcia,13.2,24.6,18.9,0.7,39.5,353.2,72.6(23/mar),62.0
2021-01-01,Fuente Alamo de Murcia,13.7,24.2,19.0,-0.6,43.2,387.8,55.2(20/sep),63.0
2022-01-01,Fuente Alamo de Murcia,13.9,25.2,19.6,0.0,42.0,320.1,32.0(05/abr),61.0
2023-01-01,Fuente Alamo de Murcia,13.7,25.5,19.6,-0.4,42.0,172.4,32.6(22/may),58.0
2024-01-01,Fuente Alamo de Murcia,14.4,25.5,20.0,2.6,38.6,129.6,22.4(28/abr),58.0
