fecha,nombre_estacion,tm_min,tm_max,tm_mes,ta_min,ta_max,p_mes,p_max,hr
2015-01-01,Moratalla,10.0,20.3,15.2,-3.6,38.0,480.0,50.6(31/ago),57.0
2016-01-01,Moratalla,9.8,20.0,14.9,-2.4,37.2,483.1,81.0(18/dic),57.0
2017-01-01,Moratalla,9.7,20.7,15.2,-7.5,39.6,,,54.0
2018-01-01,Moratalla,9.3,19.4,14.4,-3.5,36.9,677.6,,59.0
2019-01-01,Moratalla,9.6,20.2,14.9,-4.5,37.7,611.2,146.6(12/sep),55.0
2020-01-01,Moratalla,9.6,20.5,15.1,-2.4,38.0,589.6,,59.0
2021-01-01,Moratalla,9.6,20.0,14.8,-2.8,39.8,446.8,,60.0
2022-01-01,Moratalla,10.4,21.1,15.8,-2.7,38.8,772.2,56.6(23/mar),57.0
2023-01-01,Moratalla,10.2,21.5,15.9,-3.9,40.2,416.0,37.2(01/jun),
2024-01-01,Moratalla,10.5,21.5,16.0,-0.4,40.2,446.2,45.6(29/oct),56.0
