fecha,nombre_estacion,tm_min,tm_max,tm_mes,ta_min,ta_max,p_mes,p_max,hr,w_med,w_racha,w_rec
2015-01-01,Jumilla,9.6,23.7,16.7,-4.9,41.4,289.2,19.8(27/sep),58,8.0,10/21.1(19/mar),178
2016-01-01,Jumilla,9.7,23.3,16.5,-5.6,40.1,250.4,21.8(04/dic),58,9.0,31/19.7(07/feb),181
2017-01-01,Jumilla,9.0,23.9,16.5,-7.2,40.2,191.6,38.4(29/ago),57,8.0,35/21.9(05/feb),174
2018-01-01,Jumilla,9.2,22.8,16.1,-4.2,38.7,315.4,39.2(02/jun),59,9.0,32/22.2(24/mar),188
2019-01-01,Jumilla,9.1,23.5,16.3,-6.2,40.8,387.8,73.0(13/sep),57,9.0,28/22.2(21/dic),191
2020-01-01,Jumilla,9.1,23.9,16.5,-4.9,41.9,279.4,30.4(12/ago),60,8.0,28/21.7(12/ago),171
2021-01-01,Jumilla,9.3,23.5,16.4,-4.5,43.4,,,60,,,
2022-01-01,Jumilla,9.8,24.8,17.3,-6.4,41.5,263.4,41.4(03/mar),57,9.0,30/18.1(23/abr),183
2023-01-01,Jumilla,9.5,25.2,17.4,-5.5,44.2,164.2,24.8(23/may),54,11.0,32/22.2(17/ene),220
2024-01-01,Jumilla,10.4,24.9,17.7,-3.4,42.4,243.4,60.4(03/sep),56,12.0,32/22.2(07/oct),243
