fecha,nombre_estacion,tm_min,tm_max,tm_mes,ta_min,ta_max,p_mes,p_max,hr
2015-01-01,Archena,13.8,25.9,19.8,0.7,43.5,302.2,66.0(27/sep),55
2016-01-01,Archena,13.7,25.4,19.6,2.1,43.1,340.2,80.8(18/dic),56
2017-01-01,Archena,13.4,25.8,19.6,0.7,41.8,186.0,72.4(13/mar),55
2018-01-01,Archena,13.6,25.2,19.4,1.1,41.5,381.0,43.2(18/sep),56
2019-01-01,Archena,13.5,25.5,19.5,1.2,43.2,430.6,140.4(12/sep),54
2020-01-01,Archena,13.6,25.9,19.7,2.7,43.0,281.2,44.0(23/mar),57
2021-01-01,Archena,14.0,25.5,19.7,0.3,45.8,244.0,34.8(23/may),58
2022-01-01,Archena,14.1,26.5,20.4,1.0,45.3,,,56
2023-01-01,Archena,14.1,27.0,20.6,0.6,44.2,187.8,27.8(22/may),54
2024-01-01,Archena,14.5,26.8,20.7,2.8,42.6,196.0,49.2(28/oct),54
