fecha,nombre_estacion,tm_min,tm_max,tm_mes,ta_min,ta_max,p_mes,p_max,hr,w_med,w_racha,w_rec
2015-01-01,Mula,12.4,24.8,18.6,-1.4,42.6,329.9,43.2(05/sep),57,10,,
2016-01-01,Mula,12.3,24.9,18.6,-0.2,43.9,439.8,96.6(18/dic),57,11,30/27.5(14/feb),237
2017-01-01,Mula,12.0,24.8,18.4,-1.1,40.5,181.0,43.8(13/mar),56,11,31/21.9(05/feb),235
2018-01-01,Mula,12.1,24.4,18.3,-0.6,39.3,310.4,33.6(27/ene),57,11,25/26.7(24/mar),242
2019-01-01,Mula,12.0,24.9,18.5,0.0,41.3,406.0,121.2(12/sep),55,11,33/23.9(02/feb),244
2020-01-01,Mula,12.2,24.8,18.5,-0.2,41.4,276.4,36.6(23/mar),58,10,26/25.3(02/mar),218
2021-01-01,Mula,12.6,24.3,18.4,0.1,44.7,,,60,10,28/23.3(22/ene),207
2022-01-01,Mula,12.9,25.1,19.0,0.1,43.1,,,58,9,30/25.8(12/ago),197
2023-01-01,Mula,12.8,25.8,19.3,-0.3,43.8,253.6,30.0(31/may),54,9,33/23.3(18/ene),194
2024-01-01,Mula,13.3,25.7,19.5,2.1,40.9,132.8,13.2(12/jun),54,9,34/23.3(02/mar),181
