fecha,nombre_estacion,tm_min,tm_max,tm_mes,ta_min,ta_max,p_mes,p_max,hr,w_med,w_racha,w_rec
2015-01-01,Alhama de Murcia,13.0,25.1,19.0,-1.5,42.9,280.0,55.2(05/sep),59.0,10,24/23.3(31/ene),206
2016-01-01,Alhama de Murcia,12.7,24.9,18.9,-0.5,42.7,388.6,110.8(18/dic),58.0,10,32/19.2(14/feb),201
2017-01-01,Alhama de Murcia,,,,,,180.6,55.2(13/mar),,10,30/18.9(05/feb),194
2018-01-01,Alhama de Murcia,12.1,25.0,18.5,-0.7,39.6,380.6,43.6(18/nov),59.0,9,24/25.3(19/mar),195
2019-01-01,Alhama de Murcia,11.6,25.4,18.5,-2.0,42.9,370.8,98.0(12/sep),58.0,9,17/18.3(20/dic),194
2020-01-01,Alhama de Murcia,11.6,25.6,18.6,-3.1,42.4,399.8,53.2(24/mar),62.0,8,24/20.3(02/mar),175
2021-01-01,Alhama de Murcia,12.1,25.1,18.6,-2.8,44.5,338.0,54.4(23/may),62.0,9,24/21.9(22/ene),184
2022-01-01,Alhama de Murcia,12.2,26.1,19.2,-2.8,42.9,449.4,37.0(04/may),61.0,8,24/16.7(23/abr),177
2023-01-01,Alhama de Murcia,11.9,26.9,19.4,-2.3,44.1,187.8,32.8(22/may),58.0,9,32/17.8(18/ene),178
2024-01-01,Alhama de Murcia,12.5,26.7,19.6,0.2,44.2,143.4,13.0(12/nov),58.0,9,23/20.0(17/ene),184
