fecha,nombre_estacion,tm_min,tm_max,tm_mes,ta_min,ta_max,p_mes,p_max,hr
2015-01-01,Abanilla,12.2,25.3,18.8,-1.2,42.7,225.6,36.0(05/sep),60
2016-01-01,Abanilla,12.2,25.1,18.6,-0.8,42.5,271.2,75.4(18/dic),60
2017-01-01,Abanilla,11.6,25.2,18.4,-2.6,39.7,210.8,67.4(19/ene),61
2018-01-01,Abanilla,11.9,24.8,18.4,-0.6,40.1,343.4,44.8(27/ene),61
2019-01-01,Abanilla,11.6,24.8,18.2,-2.3,42.2,518.2,,60
2020-01-01,Abanilla,11.8,25.0,18.4,-2.6,39.5,345.6,44.6(23/mar),62
2021-01-01,Abanilla,12.2,24.7,18.5,-0.9,44.4,290.1,44.0(23/may),63
2022-01-01,Abanilla,12.4,25.7,19.1,-1.9,44.1,357.8,42.6(10/oct),61
2023-01-01,Abanilla,12.2,26.0,19.1,-1.6,43.1,218.6,46.2(22/may),60
2024-01-01,Abanilla,12.7,26.0,19.4,0.6,40.9,116.6,17.2(14/ago),59
