fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin,dir,racha,horaracha,velmedia
2015-01-01,7119B,CARAVACA DE LA CRUZ,MURCIA,643,4.9,0.0,-1.9,07:20,11.7,12:40,"4,8","960,4",23,"953,9",00,60.0,88.0,22:20,36.0,00:10,,,,
2015-01-02,7119B,CARAVACA DE LA CRUZ,MURCIA,643,7.4,0.0,-0.2,05:20,14.9,12:20,"5,5","962,4",10,"959,7",04,42.0,83.0,00:50,19.0,12:20,,,,
2015-01-03,7119B,CARAVACA DE LA CRUZ,MURCIA,643,10.0,0.0,1.5,05:40,18.5,12:10,"5,4","962,5",Varias,"959,4",Varias,30.0,53.0,05:10,13.0,12:10,,,,
2015-01-04,7119B,CARAVACA DE LA CRUZ,MURCIA,643,12.0,0.0,4.2,00:40,19.7,12:10,"5,5","959,4",00,"954,9",Varias,35.0,56.0,23:00,17.0,14:10,,,,
2015-01-05,7119B,CARAVACA DE LA CRUZ,MURCIA,643,8.6,0.0,1.4,06:00,15.9,12:10,"5,4","955,4",00,"951,6",24,58.0,84.0,22:30,33.0,10:40,,,,
2015-01-06,7119B,CARAVACA DE LA CRUZ,MURCIA,643,7.8,0.0,0.8,23:30,14.7,12:10,"5,4","952,4",24,"949,0",14,52.0,78.0,00:00,31.0,13:50,,,,
2015-01-07,7119B,CARAVACA DE LA CRUZ,MURCIA,643,5.4,0.0,-1.3,07:40,12.2,12:40,"5,2","957,4",24,"952,2",00,68.0,88.0,23:30,42.0,12:00,,,,
2015-01-08,7119B,CARAVACA DE LA CRUZ,MURCIA,643,6.8,0.0,0.1,06:50,13.6,12:20,"5,3","964,6",24,"957,3",00,71.0,92.0,01:40,42.0,12:00,,,,
2015-01-09,7119B,CARAVACA DE LA CRUZ,MURCIA,643,8.4,0.0,0.2,00:20,16.7,15:20,"5,4","967,5",10,"964,2",Varias,46.0,80.0,00:20,18.0,15:20,,,,
2015-01-10,7119B,CARAVACA DE LA CRUZ,MURCIA,643,10.1,0.0,0.8,03:10,19.4,11:30,"5,4","964,2",00,"954,4",24,24.0,45.0,Varias,13.0,11:10,,,,
2015-01-11,7119B,CARAVACA DE LA CRUZ,MURCIA,643,11.4,0.0,4.7,22:00,18.1,13:50,"5,2","958,1",Varias,"953,1",14,31.0,62.0,Varias,17.0,11:50,,,,
2015-01-12,7119B,CARAVACA DE LA CRUZ,MURCIA,643,7.4,0.0,1.8,06:30,13.0,13:00,"4,5","959,2",10,"953,6",24,68.0,85.0,Varias,50.0,09:50,,,,
2015-01-13,7119B,CARAVACA DE LA CRUZ,MURCIA,643,9.8,0.0,3.2,08:00,16.4,Varias,"5,1","953,7",00,"949,2",15,57.0,86.0,02:40,35.0,13:20,26,"7,5",83:10,
2015-01-14,7119B,CARAVACA DE LA CRUZ,MURCIA,643,9.8,0.0,3.8,05:50,15.8,12:40,"4,8","952,8",10,"949,6",15,46.0,68.0,05:40,32.0,14:20,26,"7,5",01:30,"2,5"
2015-01-15,7119B,CARAVACA DE LA CRUZ,MURCIA,643,11.8,0.0,4.8,02:40,18.9,14:00,"5,4","949,7",00,"940,0",24,48.0,67.0,02:20,27.0,15:30,26,"10,3",13:20,"3,3"
2015-01-16,7119B,CARAVACA DE LA CRUZ,MURCIA,643,5.8,0.0,0.3,22:40,11.2,13:50,"1,7","945,9",24,"936,1",05,44.0,75.0,Varias,26.0,13:40,24,"13,6",05:20,"4,7"
2015-01-17,7119B,CARAVACA DE LA CRUZ,MURCIA,643,5.4,0.0,-0.3,02:40,11.1,13:00,"5,7","948,2",10,"945,9",00,48.0,80.0,04:00,24.0,14:20,35,"9,2",12:20,"1,7"
2015-01-18,7119B,CARAVACA DE LA CRUZ,MURCIA,643,2.5,10.2,-4.1,05:00,9.1,13:40,"1,4","946,2",00,"932,4",24,65.0,92.0,Varias,44.0,10:00,22,"6,9",15:10,"3,1"
2015-01-19,7119B,CARAVACA DE LA CRUZ,MURCIA,643,3.0,4.0,0.9,23:59,5.0,17:00,"0,0","937,7",22,"929,4",05,86.0,94.0,08:10,57.0,21:30,35,"10,0",15:10,"2,2"
2015-01-20,7119B,CARAVACA DE LA CRUZ,MURCIA,643,4.1,0.0,-1.4,23:59,9.6,13:40,"3,6","937,5",01,"933,3",16,52.0,86.0,23:59,31.0,13:40,99,"7,2",Varias,"2,8"
2015-01-21,7119B,CARAVACA DE LA CRUZ,MURCIA,643,4.6,2.2,-1.4,01:40,10.6,13:10,"4,4","936,9",10,"933,4",16,56.0,87.0,23:10,36.0,12:50,25,"10,3",14:50,"2,2"
2015-01-22,7119B,CARAVACA DE LA CRUZ,MURCIA,643,5.5,0.8,2.8,00:20,8.2,14:20,"5,3","943,5",24,"934,0",02,57.0,79.0,19:20,45.0,13:50,29,"14,4",09:40,"4,2"
2015-01-23,7119B,CARAVACA DE LA CRUZ,MURCIA,643,6.8,0.0,3.2,01:20,10.4,12:30,"5,9","947,3",21,"942,8",05,42.0,61.0,01:10,26.0,12:10,26,"13,1",13:40,"3,6"
2015-01-24,7119B,CARAVACA DE LA CRUZ,MURCIA,643,3.8,0.0,-3.9,07:20,11.5,14:00,"5,8","949,2",19,"946,4",01,54.0,80.0,07:00,28.0,12:20,08,"10,3",14:00,"1,9"
2015-01-25,7119B,CARAVACA DE LA CRUZ,MURCIA,643,8.0,0.0,1.7,02:50,14.2,14:50,"6,2","949,5",24,"946,5",04,38.0,71.0,02:30,19.0,14:50,06,"8,6",13:30,"2,8"
2015-01-26,7119B,CARAVACA DE LA CRUZ,MURCIA,643,6.2,0.0,-1.5,06:10,13.8,14:10,"6,1","951,6",Varias,"949,3",Varias,49.0,71.0,06:00,26.0,12:10,24,"6,4",07:00,"2,8"
2015-01-27,7119B,CARAVACA DE LA CRUZ,MURCIA,643,8.6,0.0,1.3,07:20,15.9,15:00,"6,2","951,8",09,"947,3",15,50.0,76.0,04:40,27.0,15:10,27,"8,9",22:20,"2,5"
2015-01-28,7119B,CARAVACA DE LA CRUZ,MURCIA,643,10.2,0.0,2.3,07:40,18.0,15:30,"6,0","949,3",10,"944,5",16,40.0,70.0,07:30,15.0,16:20,30,"9,7",18:50,"1,7"
2015-01-29,7119B,CARAVACA DE LA CRUZ,MURCIA,643,11.8,0.0,3.7,07:20,19.8,14:10,"6,1","946,0",00,"932,8",24,45.0,65.0,07:20,15.0,14:40,23,"13,6",23:00,"3,6"
2015-01-30,7119B,CARAVACA DE LA CRUZ,MURCIA,643,16.8,0.0,13.3,00:00,20.4,12:50,"5,4","932,8",00,"919,9",24,45.0,58.0,02:40,33.0,12:10,25,"19,7",76:50,"5,6"
2015-01-31,7119B,CARAVACA DE LA CRUZ,MURCIA,643,11.2,6.4,3.9,19:30,18.6,00:20,"3,6","933,4",24,"917,9",05,63.0,82.0,19:20,35.0,14:20,34,"14,4",69:20,"3,1"
2015-02-01,7119B,CARAVACA DE LA CRUZ,MURCIA,643,4.6,0.0,0.5,23:20,8.8,13:40,"6,4","941,7",21,"933,1",00,42.0,70.0,23:10,34.0,15:30,28,"16,9",07:10,"3,3"
2015-02-02,7119B,CARAVACA DE LA CRUZ,MURCIA,643,5.4,0.0,0.1,07:40,10.7,14:20,"3,9","941,5",01,"930,1",23,58.0,77.0,20:10,40.0,10:30,24,"11,9",15:10,"3,6"
2015-02-03,7119B,CARAVACA DE LA CRUZ,MURCIA,643,9.8,3.4,6.2,01:00,13.4,13:30,"5,4","931,0",11,"924,4",24,51.0,68.0,00:50,36.0,11:10,24,"17,2",23:50,"3,1"
2015-02-04,7119B,CARAVACA DE LA CRUZ,MURCIA,643,3.6,0.0,-0.3,22:40,7.5,00:20,"5,9","932,7",22,"922,8",02,51.0,83.0,Varias,30.0,12:40,27,"18,3",07:40,"4,7"
2015-02-05,7119B,CARAVACA DE LA CRUZ,MURCIA,643,4.0,0.0,0.4,02:00,7.7,13:00,"6,3","938,2",22,"929,6",04,36.0,63.0,01:40,25.0,12:20,36,"18,3",10:50,"3,1"
2015-02-06,7119B,CARAVACA DE LA CRUZ,MURCIA,643,3.2,0.0,-2.2,06:00,8.7,14:10,"5,9","938,6",Varias,"935,3",15,46.0,70.0,06:50,27.0,13:30,25,"12,8",13:40,"2,5"
2015-02-07,7119B,CARAVACA DE LA CRUZ,MURCIA,643,0.6,0.4,-2.0,02:50,3.2,14:50,"0,0","945,9",24,"938,6",Varias,76.0,88.0,23:50,62.0,00:00,26,"5,8",04:30,"1,1"
2015-02-08,7119B,CARAVACA DE LA CRUZ,MURCIA,643,4.9,0.0,-0.7,23:40,10.5,14:30,"6,6","947,0",10,"943,7",17,64.0,91.0,05:40,35.0,15:10,99,"5,6",Varias,"1,7"
2015-02-09,7119B,CARAVACA DE LA CRUZ,MURCIA,643,3.8,5.0,-2.9,Varias,10.5,12:40,"2,9","949,6",Varias,"944,4",Varias,76.0,92.0,23:40,50.0,12:40,08,"7,5",13:10,"2,2"
2015-02-10,7119B,CARAVACA DE LA CRUZ,MURCIA,643,5.7,0.8,3.9,07:20,7.5,10:20,"1,9","949,0",10,"946,6",Varias,89.0,92.0,Varias,72.0,10:20,05,"5,8",15:00,"1,4"
2015-02-11,7119B,CARAVACA DE LA CRUZ,MURCIA,643,7.6,0.6,4.5,05:30,10.8,15:40,"0,0","946,8",00,"943,8",Varias,82.0,93.0,07:40,68.0,15:20,06,"4,7",14:00,"1,1"
2015-02-12,7119B,CARAVACA DE LA CRUZ,MURCIA,643,6.2,8.0,3.8,23:50,8.5,15:10,"0,0","947,2",Varias,"943,1",03,88.0,92.0,Varias,76.0,Varias,07,"3,9",16:00,"0,8"
2015-02-13,7119B,CARAVACA DE LA CRUZ,MURCIA,643,8.1,0.0,1.6,06:50,14.6,13:40,"4,6","947,8",09,"945,8",15,62.0,92.0,Varias,35.0,14:40,27,"6,7",15:10,"1,9"
2015-02-14,7119B,CARAVACA DE LA CRUZ,MURCIA,643,9.9,0.0,3.6,07:00,16.2,12:20,"3,1","946,6",00,"939,9",24,62.0,86.0,07:00,39.0,11:20,28,"15,8",19:50,"2,8"
2015-02-15,7119B,CARAVACA DE LA CRUZ,MURCIA,643,11.7,0.0,6.6,05:50,16.8,11:50,"3,8","942,6",24,"936,4",06,61.0,82.0,05:50,43.0,11:50,29,"11,1",21:00,"1,7"
2015-02-16,7119B,CARAVACA DE LA CRUZ,MURCIA,643,12.2,3.8,6.9,02:40,17.6,12:30,"5,8","944,4",08,"942,3",01,54.0,72.0,02:30,35.0,13:30,36,"10,3",14:10,"2,2"
2015-02-17,7119B,CARAVACA DE LA CRUZ,MURCIA,643,6.9,13.8,5.4,Varias,8.4,13:10,"0,1","952,4",23,"941,9",05,85.0,92.0,06:20,67.0,00:00,99,"10,8",09:50,"3,3"
2015-02-18,7119B,CARAVACA DE LA CRUZ,MURCIA,643,6.8,1.0,5.9,00:50,7.6,16:40,"0,0","955,3",Varias,"951,4",04,83.0,90.0,02:00,75.0,16:10,02,"11,7",05:10,"3,1"
2015-02-19,7119B,CARAVACA DE LA CRUZ,MURCIA,643,,0.0,,,10.9,Varias,,,,,,,,,55.0,14:20,03,"7,5",74:50,
2015-02-20,7119B,CARAVACA DE LA CRUZ,MURCIA,643,7.8,0.2,2.7,23:30,12.9,13:50,"3,6","951,1",00,"940,2",24,73.0,91.0,06:00,52.0,15:10,24,"5,3",23:40,"1,4"
2015-02-21,7119B,CARAVACA DE LA CRUZ,MURCIA,643,8.5,0.2,2.6,03:00,14.4,12:40,"3,5","940,2",00,"932,2",14,63.0,85.0,07:40,40.0,23:00,99,"10,3",Varias,"3,1"
2015-02-22,7119B,CARAVACA DE LA CRUZ,MURCIA,643,9.1,0.0,3.5,03:40,14.7,14:40,"7,4","942,0",24,"936,4",00,37.0,62.0,03:30,26.0,12:50,32,"14,2",13:10,"3,6"
2015-02-23,7119B,CARAVACA DE LA CRUZ,MURCIA,643,11.7,0.0,3.4,07:00,20.0,15:40,"4,1","942,7",02,"939,2",16,54.0,85.0,07:10,23.0,15:00,28,"15,3",83:20,"1,9"
2015-02-24,7119B,CARAVACA DE LA CRUZ,MURCIA,643,10.2,0.0,6.0,06:00,14.5,12:50,"7,7","950,5",21,"941,0",00,30.0,55.0,04:00,21.0,11:50,35,"12,8",83:30,"2,8"
