fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2015-01-01,7178I,MURCIA,MURCIA,62,9.2,0.0,2.0,03:40,16.4,15:15,30,"1,4","5,0",08:25,"7,4","1030,0",11,"1022,2",00,52.0,,,,
2015-01-02,7178I,MURCIA,MURCIA,62,9.8,0.0,1.6,06:40,18.0,15:10,31,"1,4","5,0",22:08,"9,0","1031,4",24,"1029,7",Varias,60.0,,,,
2015-01-03,7178I,MURCIA,MURCIA,62,10.8,0.0,1.0,06:40,20.6,15:15,22,"2,2","6,1",17:35,"9,1","1032,0",Varias,"1027,2",16,56.0,,,,
2015-01-04,7178I,MURCIA,MURCIA,62,13.3,0.0,2.9,02:30,23.7,Varias,04,"1,9","5,6",16:40,"9,0","1027,4",00,"1022,0",17,46.0,,,,
2015-01-05,7178I,MURCIA,MURCIA,62,11.4,0.0,5.0,04:10,17.7,13:50,29,"1,4","5,8",08:05,"8,8","1024,4",09,"1020,8",24,68.0,,,,
2015-01-06,7178I,MURCIA,MURCIA,62,11.1,0.0,2.2,08:30,20.0,15:05,04,"2,2","5,3",18:21,"8,9","1021,1",24,"1017,7",15,53.0,,,,
2015-01-07,7178I,MURCIA,MURCIA,62,10.5,0.0,4.0,01:50,17.0,14:40,32,"1,1","4,7",02:50,"6,8","1026,6",24,"1021,1",00,64.0,,,,
2015-01-08,7178I,MURCIA,MURCIA,62,10.2,0.0,2.9,Varias,17.4,Varias,31,"0,8","4,4",23:30,"8,5","1034,1",24,"1026,6",00,71.0,,,,
2015-01-09,7178I,MURCIA,MURCIA,62,10.4,0.0,2.0,06:30,18.8,15:20,24,"1,4","4,2",00:38,"9,2","1037,1",09,"1033,6",24,57.0,,,,
2015-01-10,7178I,MURCIA,MURCIA,62,10.7,0.0,-0.6,07:40,22.0,15:30,25,"1,7","4,4",19:50,"9,1","1033,6",00,"1022,0",24,54.0,,,,
2015-01-11,7178I,MURCIA,MURCIA,62,13.0,0.0,3.1,07:50,22.9,14:20,29,"3,1","8,9",11:02,"8,7","1026,7",24,"1020,9",Varias,33.0,,,,
2015-01-12,7178I,MURCIA,MURCIA,62,11.2,0.0,5.1,01:10,17.2,14:05,31,"1,7","5,8",06:45,"5,5","1028,0",09,"1023,2",24,67.0,,,,
2015-01-13,7178I,MURCIA,MURCIA,62,14.0,0.0,7.9,03:40,20.0,16:15,24,"1,7","3,9",06:36,"8,0","1023,2",00,"1017,4",15,63.0,,,,
2015-01-14,7178I,MURCIA,MURCIA,62,13.2,0.0,4.6,04:40,21.7,Varias,31,"1,4","3,9",13:10,"7,7","1021,5",11,"1017,7",16,52.0,,,,
2015-01-15,7178I,MURCIA,MURCIA,62,12.4,,4.3,06:30,20.4,Varias,15,"1,4","5,8",15:50,"8,9","1018,5",00,"1008,4",24,62.0,,,,
2015-01-16,7178I,MURCIA,MURCIA,62,10.7,0.0,4.6,23:59,16.8,12:30,29,"3,9","11,7",10:50,"2,0","1014,9",24,"1005,2",07,44.0,,,,
2015-01-17,7178I,MURCIA,MURCIA,62,9.0,0.0,2.4,04:20,15.6,14:10,30,"2,8","12,2",12:38,"9,1","1017,5",11,"1014,9",00,41.0,,,,
2015-01-18,7178I,MURCIA,MURCIA,62,6.2,15.6,0.5,Varias,12.0,15:30,32,"0,6","4,4",04:50,"2,9","1016,0",00,"1002,6",24,61.0,,,,
2015-01-19,7178I,MURCIA,MURCIA,62,7.8,0.2,6.0,05:55,9.5,14:05,32,"2,5","8,9",13:42,"0,0","1006,0",24,"998,5",06,81.0,,,,
2015-01-20,7178I,MURCIA,MURCIA,62,8.2,0.0,1.9,05:30,14.6,14:15,28,"2,5","6,9",23:59,"4,6","1006,0",Varias,"1002,9",Varias,53.0,,,,
2015-01-21,7178I,MURCIA,MURCIA,62,8.2,,1.0,05:45,15.5,14:30,28,"3,3","10,3",19:15,"8,5","1005,4",09,"1002,8",18,57.0,,,,
2015-01-22,7178I,MURCIA,MURCIA,62,10.2,0.0,6.0,Varias,14.4,13:50,29,"7,5","16,4",13:00,"7,9","1011,8",24,"1003,2",01,47.0,,,,
2015-01-23,7178I,MURCIA,MURCIA,62,8.7,0.0,2.4,07:30,15.0,13:50,31,"3,3","13,6",10:33,"9,5","1015,7",24,"1011,8",00,46.0,,,,
2015-01-24,7178I,MURCIA,MURCIA,62,10.4,0.0,4.8,07:40,16.0,13:30,28,"3,6","10,3",09:50,"9,5","1018,2",11,"1015,7",00,44.0,,,,
2015-01-25,7178I,MURCIA,MURCIA,62,12.6,0.0,6.4,01:45,18.8,Varias,29,"4,4","15,3",02:45,"9,5","1018,6",24,"1014,8",03,34.0,,,,
2015-01-26,7178I,MURCIA,MURCIA,62,10.0,0.0,2.6,06:30,17.5,15:15,26,"1,4","5,8",10:40,"9,5","1021,0",Varias,"1018,5",Varias,42.0,,,,
2015-01-27,7178I,MURCIA,MURCIA,62,10.8,0.0,2.7,07:45,18.8,Varias,26,"2,5","10,3",20:50,"9,5","1020,3",Varias,"1015,1",Varias,53.0,,,,
2015-01-28,7178I,MURCIA,MURCIA,62,13.0,0.0,6.4,23:59,19.6,12:30,31,"2,8","8,3",02:50,"9,5","1018,5",11,"1013,2",17,49.0,,,,
2015-01-29,7178I,MURCIA,MURCIA,62,13.5,0.0,4.3,03:30,22.7,13:50,30,"2,2","6,4",17:09,"7,9","1014,1",00,"1000,1",24,42.0,,,,
2015-01-30,7178I,MURCIA,MURCIA,62,17.4,0.0,9.2,07:10,25.5,13:20,29,"5,3","16,7",15:30,"7,5","1001,1",00,"987,3",24,46.0,,,,
2015-01-31,7178I,MURCIA,MURCIA,62,15.4,1.8,8.4,Varias,22.3,02:15,30,"7,8","23,6",12:50,"6,1","1001,2",24,"984,0",05,46.0,,,,
2015-02-01,7178I,MURCIA,MURCIA,62,10.0,0.0,4.8,23:59,15.3,14:20,28,"5,0","16,1",08:48,"9,6","1010,4",24,"1001,2",00,36.0,,,,
2015-02-02,7178I,MURCIA,MURCIA,62,10.0,0.0,3.6,00:30,16.5,14:15,23,"1,9","7,5",20:25,"7,3","1010,4",00,"999,6",24,45.0,,,,
2015-02-03,7178I,MURCIA,MURCIA,62,13.6,0.6,7.8,03:30,19.4,Varias,24,"3,9","11,7",12:10,"8,7","999,7",11,"992,6",24,43.0,,,,
2015-02-04,7178I,MURCIA,MURCIA,62,9.4,0.0,6.0,Varias,12.8,00:00,30,"5,0","20,0",11:40,"9,2","1001,5",22,"991,2",04,47.0,,,,
2015-02-05,7178I,MURCIA,MURCIA,62,9.2,0.0,5.5,07:05,13.0,14:00,31,"5,8","18,6",14:20,"9,4","1007,2",24,"999,2",Varias,32.0,,,,
2015-02-06,7178I,MURCIA,MURCIA,62,8.4,0.0,2.7,23:59,14.0,13:55,26,"3,9","13,3",14:50,"7,0","1008,6",24,"1004,8",15,38.0,,,,
2015-02-07,7178I,MURCIA,MURCIA,62,5.5,0.0,0.4,03:40,10.6,14:45,27,"0,8","4,2",11:00,"0,4","1015,9",24,"1008,6",00,54.0,,,,
2015-02-08,7178I,MURCIA,MURCIA,62,7.6,0.0,0.5,07:30,14.6,15:40,26,"1,1","5,8",20:10,"9,6","1017,3",09,"1013,5",,57.0,,,,
2015-02-09,7178I,MURCIA,MURCIA,62,6.9,1.8,0.6,05:30,13.2,13:10,09,"2,2","10,6",15:30,"4,1","1018,9",21,"1014,0",00,69.0,,,,
2015-02-10,7178I,MURCIA,MURCIA,62,8.6,1.6,4.5,07:20,12.6,12:30,04,"1,7","6,7",16:30,"0,9","1018,5",00,"1015,9",20,82.0,,,,
2015-02-11,7178I,MURCIA,MURCIA,62,12.2,0.4,8.0,03:20,16.5,14:30,08,"2,2","8,1",16:02,"4,3","1016,1",00,"1012,6",16,73.0,,,,
2015-02-12,7178I,MURCIA,MURCIA,62,10.0,9.2,9.3,Varias,10.8,Varias,28,"2,2","5,6",09:10,"0,0","1016,3",24,"1012,4",03,87.0,,,,
2015-02-13,7178I,MURCIA,MURCIA,62,12.0,0.0,4.5,06:45,19.6,14:45,01,"2,2","5,8",13:50,"8,2","1017,1",Varias,"1014,5",Varias,70.0,,,,
2015-02-14,7178I,MURCIA,MURCIA,62,13.1,0.6,5.3,05:05,20.9,13:45,28,"2,2","9,7",16:20,"5,7","1014,7",00,"1008,3",24,58.0,,,,
2015-02-15,7178I,MURCIA,MURCIA,62,15.6,0.0,9.6,05:30,21.6,13:40,30,"3,3","12,2",14:10,"8,7","1009,6",24,"1004,8",15,62.0,,,,
2015-02-16,7178I,MURCIA,MURCIA,62,15.4,0.8,9.3,06:30,21.6,12:50,32,"3,6","9,7",12:27,"9,7","1012,4",21,"1009,6",Varias,57.0,,,,
2015-02-17,7178I,MURCIA,MURCIA,62,13.3,5.2,10.2,Varias,16.4,12:20,10,"3,1","10,8",14:22,"3,4","1020,9",24,"1011,2",03,78.0,,,,
2015-02-18,7178I,MURCIA,MURCIA,62,12.8,,9.2,00:30,16.3,12:30,08,"3,6","12,8",14:10,"1,3","1024,4",24,"1020,2",03,70.0,,,,
