fecha,indicativo,nombre,provincia,altitud,tmed,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin,prec
2019-01-01,7020C,MURCIA AEROPUERTO,MURCIA,205,11.3,4.3,03:30,18.3,14:30,26,"2,8","7,2",21:30,"1006,9",10,"1004,2",24,57.0,82.0,20:00,34.0,11:00,
2019-01-02,7020C,MURCIA AEROPUERTO,MURCIA,205,12.0,5.7,07:00,18.2,14:00,32,"2,2","7,2",09:30,"1004,2",00,"999,8",15,59.0,89.0,23:30,29.0,13:20,
2019-01-03,7020C,MURCIA AEROPUERTO,MURCIA,205,10.0,6.2,23:50,13.8,11:30,34,"2,8","6,1",Varias,"1005,9",10,"1002,7",05,80.0,94.0,Varias,62.0,11:30,
2019-01-04,7020C,MURCIA AEROPUERTO,MURCIA,205,9.5,4.6,07:00,14.4,14:40,24,"3,3","8,9",12:00,"1007,3",22,"1003,9",04,79.0,95.0,04:30,57.0,14:40,
2019-01-05,7020C,MURCIA AEROPUERTO,MURCIA,205,9.5,3.7,01:00,15.3,14:30,26,"3,3","8,3",20:00,"1008,8",10,"1004,1",24,68.0,93.0,01:10,36.0,14:30,
2019-01-06,7020C,MURCIA AEROPUERTO,MURCIA,205,11.1,5.5,23:30,16.7,14:00,33,"2,8","8,9",07:40,"1004,8",10,"1002,4",16,35.0,69.0,19:10,18.0,12:00,
2019-01-07,7020C,MURCIA AEROPUERTO,MURCIA,205,9.2,3.0,06:40,15.5,12:40,15,"2,2","6,1",13:00,"1005,0",21,"1002,1",05,57.0,90.0,Varias,29.0,11:30,
2019-01-08,7020C,MURCIA AEROPUERTO,MURCIA,205,10.9,6.8,07:10,15.0,13:10,26,"2,5","7,8",21:30,"1005,9",10,"997,6",24,73.0,90.0,Varias,49.0,16:00,
2019-01-09,7020C,MURCIA AEROPUERTO,MURCIA,205,12.5,7.3,00:20,17.7,14:50,33,"3,1","13,3",07:20,"997,6",00,"990,1",21,50.0,78.0,00:00,22.0,14:40,
2019-01-10,7020C,MURCIA AEROPUERTO,MURCIA,205,7.8,3.7,21:40,12.0,14:30,32,"4,2","13,3",02:40,"996,9",23,"991,1",00,48.0,61.0,20:40,33.0,16:00,
2019-01-11,7020C,MURCIA AEROPUERTO,MURCIA,205,7.6,3.3,22:50,11.8,Varias,33,"3,3","8,9",05:50,"1003,0",Varias,"996,7",00,41.0,71.0,21:00,26.0,11:30,
2019-01-12,7020C,MURCIA AEROPUERTO,MURCIA,205,7.3,1.4,01:00,13.2,14:20,32,"3,3","8,3",06:00,"1005,5",10,"1002,7",01,43.0,75.0,23:59,31.0,16:10,
2019-01-13,7020C,MURCIA AEROPUERTO,MURCIA,205,10.0,3.3,06:30,16.8,14:30,26,"2,8","7,2",03:20,"1003,4",00,"998,1",24,51.0,76.0,00:30,27.0,14:20,
2019-01-14,7020C,MURCIA AEROPUERTO,MURCIA,205,13.8,7.2,01:00,20.5,14:40,31,"3,3","15,0",11:00,"998,1",00,"993,1",16,49.0,71.0,18:30,26.0,14:40,
2019-01-15,7020C,MURCIA AEROPUERTO,MURCIA,205,9.8,4.7,05:10,15.0,14:20,14,"1,9","7,8",14:50,"998,3",10,"995,8",00,71.0,92.0,21:40,57.0,00:10,
2019-01-16,7020C,MURCIA AEROPUERTO,MURCIA,205,10.7,6.4,00:00,15.0,14:20,22,"2,8","8,3",20:10,"996,8",00,"992,5",17,79.0,94.0,01:40,59.0,Varias,
2019-01-17,7020C,MURCIA AEROPUERTO,MURCIA,205,10.1,7.4,01:50,12.8,15:50,33,"4,2","11,4",10:50,"994,7",23,"991,5",05,60.0,76.0,01:50,48.0,Varias,
2019-01-18,7020C,MURCIA AEROPUERTO,MURCIA,205,9.4,5.1,06:50,13.7,14:40,33,"3,1","8,3",01:10,"995,5",10,"992,8",16,64.0,76.0,18:30,36.0,23:10,
2019-01-19,7020C,MURCIA AEROPUERTO,MURCIA,205,11.1,7.3,06:50,14.9,13:30,34,"3,9","10,8",04:10,"994,0",11,"987,4",24,57.0,85.0,23:59,38.0,13:30,
2019-01-20,7020C,MURCIA AEROPUERTO,MURCIA,205,10.6,6.9,07:10,14.2,11:40,32,"3,1","13,9",14:20,"991,9",24,"983,6",06,75.0,92.0,05:50,49.0,19:40,
2019-01-21,7020C,MURCIA AEROPUERTO,MURCIA,205,9.4,5.6,05:40,13.2,14:10,32,"4,4","15,6",09:00,"995,6",24,"991,7",01,51.0,68.0,06:40,36.0,15:20,
2019-01-22,7020C,MURCIA AEROPUERTO,MURCIA,205,8.1,4.6,01:10,11.6,12:00,30,"5,3","16,1",06:00,"995,6",00,"987,1",24,42.0,58.0,Varias,34.0,Varias,
2019-01-23,7020C,MURCIA AEROPUERTO,MURCIA,205,13.2,7.8,00:40,18.7,13:20,32,"7,8","19,7",15:30,"987,1",00,"980,2",14,46.0,66.0,06:20,31.0,13:10,
2019-01-24,7020C,MURCIA AEROPUERTO,MURCIA,205,14.6,10.8,20:10,18.4,13:00,33,"6,9","20,0",07:50,"989,1",23,"980,1",06,52.0,78.0,17:40,36.0,Varias,
2019-01-25,7020C,MURCIA AEROPUERTO,MURCIA,205,14.0,9.4,01:40,18.7,13:00,99,"5,8","15,0",Varias,"992,7",24,"988,9",00,43.0,66.0,01:40,34.0,12:40,
2019-01-26,7020C,MURCIA AEROPUERTO,MURCIA,205,13.0,8.1,23:20,17.9,14:40,32,"3,9","12,8",03:40,"996,9",10,"990,8",24,59.0,78.0,22:20,42.0,10:30,
2019-01-27,7020C,MURCIA AEROPUERTO,MURCIA,205,12.6,6.4,05:00,18.9,12:20,32,"6,4","19,7",19:40,"992,7",23,"987,3",13,43.0,78.0,03:30,28.0,12:00,
2019-01-28,7020C,MURCIA AEROPUERTO,MURCIA,205,13.1,6.8,06:30,19.4,15:30,34,"3,6","14,4",16:50,"993,3",08,"988,3",16,36.0,58.0,06:30,18.0,15:50,
2019-01-29,7020C,MURCIA AEROPUERTO,MURCIA,205,13.6,8.8,03:20,18.3,13:40,32,"5,6","13,9",05:00,"992,8",01,"986,8",17,45.0,63.0,23:59,36.0,13:50,
2019-01-30,7020C,MURCIA AEROPUERTO,MURCIA,205,12.2,7.9,01:20,16.5,13:59,,"2,5",,,,,,,44.0,69.0,Varias,32.0,Varias,
2019-01-31,7020C,MURCIA AEROPUERTO,MURCIA,205,15.9,10.8,06:30,21.0,14:00,25,"6,1","16,9",15:00,"985,1",00,"978,3",24,53.0,75.0,23:20,32.0,15:30,
2019-02-01,7020C,MURCIA AEROPUERTO,MURCIA,205,14.4,9.5,Varias,19.3,12:00,24,"7,8","20,0",12:50,"978,3",00,"972,0",15,50.0,86.0,04:10,26.0,14:00,
2019-02-02,7020C,MURCIA AEROPUERTO,MURCIA,205,11.0,7.9,23:40,14.1,13:40,29,"11,7","24,7",06:00,"992,6",24,"975,2",06,34.0,55.0,01:40,24.0,16:10,
2019-02-03,7020C,MURCIA AEROPUERTO,MURCIA,205,9.2,6.7,22:40,11.8,15:40,32,"10,3","23,3",12:30,"1002,6",24,"992,6",00,31.0,43.0,22:40,25.0,Varias,
2019-02-04,7020C,MURCIA AEROPUERTO,MURCIA,205,10.2,4.7,03:10,15.7,14:40,34,"3,6","13,3",04:10,"1004,0",11,"1001,6",05,42.0,78.0,21:10,21.0,14:40,
2019-02-05,7020C,MURCIA AEROPUERTO,MURCIA,205,12.0,4.7,04:20,19.4,14:40,99,"2,2","7,2",Varias,"1003,9",10,"1001,0",15,38.0,71.0,00:00,24.0,13:40,
