fecha,nombre_estacion,tm_min,tm_max,tm_mes,ta_min,ta_max,p_mes,p_max,q_min,q_max,q_med,q_mar,hr,inso,p_sol,w_med,w_racha,w_rec
2015-01-01,Aguilas,7.5,17.3,12.4,4.7,23.5,8.6,8.4(18),989.0,1040.2,1019.4,1022.6,53.0,7.3,74.0,9.0,28/27.2(31),203
2015-02-01,Aguilas,,,,,,14.2,5.6(17),,,,,,,,14.0,,
2015-03-01,Aguilas,10.6,18.7,14.7,4.6,28.7,27.0,14.2(17),996.8,1029.7,1015.4,1018.5,58.0,8.1,68.0,9.0,08/22.5(20),189
2015-04-01,Aguilas,13.9,20.9,17.4,10.3,27.0,17.0,7.6(15),1001.5,1023.9,1015.4,1018.5,59.0,8.1,62.0,11.0,06/17.2(13),243
2015-05-01,Aguilas,16.9,25.6,21.3,14.2,32.7,0.2,0.2(30),1002.2,1021.8,1013.6,1016.7,52.0,10.6,75.0,10.0,04/14.7(05),206
2015-06-01,Aguilas,19.9,28.4,24.2,17.4,35.5,5.0,2.8(10),1002.8,1019.3,1013.4,1016.4,44.0,12.3,84.0,9.0,21/12.5(13),192
2015-07-01,Aguilas,24.9,31.6,28.3,23.2,39.6,0.0,0.0(--),1002.4,1016.7,1011.2,1014.2,60.0,12.0,83.0,10.0,11/14.7(03),192
2015-08-01,Aguilas,24.9,31.3,28.1,22.2,39.6,0.4,0.4(09),1003.8,1017.4,1010.9,1013.8,58.0,10.2,76.0,11.0,22/23.1(13),218
2015-09-01,Aguilas,20.5,27.1,23.8,17.4,30.9,54.6,24.4(05),1000.9,1019.7,1011.7,1014.7,61.0,8.7,70.0,9.0,10/15.0(05),193
2015-10-01,Aguilas,17.5,24.8,21.2,13.4,33.2,15.0,4.8(18),1002.6,1018.9,1011.7,1014.7,64.0,7.4,66.0,7.0,28/13.6(06),170
2015-11-01,Aguilas,12.8,21.5,17.2,7.8,25.1,14.2,14.2(01),1005.6,1032.7,1020.2,1023.3,59.0,7.7,76.0,8.0,09/21.1(01),179
2015-12-01,Aguilas,10.7,19.3,15.0,9.2,22.8,0.4,0.2(09),1017.9,1032.6,1025.7,1028.9,68.0,6.2,65.0,6.0,11/10.3(11),126
2016-01-01,Aguilas,10.0,18.8,14.4,5.8,24.8,11.0,10.8(15),1000.3,1031.5,1018.5,1021.6,59.0,6.3,63.0,9.0,31/21.9(04),187
2016-02-01,Aguilas,11.0,19.3,15.2,4.9,26.2,0.4,0.4(04),993.6,1032.2,1015.2,1018.3,48.0,6.1,56.0,15.0,28/28.1(14),335
2016-03-01,Aguilas,10.1,19.1,14.6,7.3,25.0,2.2,1.2(21),1000.6,1022.4,1011.7,1014.8,51.0,8.8,74.0,9.0,35/22.5(10),207
2016-04-01,Aguilas,13.5,21.0,17.3,8.9,24.3,4.2,2.6(05),996.8,1018.7,1009.8,1012.8,57.0,8.8,66.0,10.0,10/17.8(19),210
2016-05-01,Aguilas,15.8,23.9,19.9,11.2,32.7,14.4,7.0(12),999.3,1020.9,1011.1,1014.1,53.0,10.6,74.0,11.0,30/18.6(28),228
2016-06-01,Aguilas,19.7,27.9,23.8,16.3,34.5,0.0,0.0(--),995.8,1022.3,1012.0,1015.0,54.0,12.1,82.0,10.0,07/18.6(28),198
2016-07-01,Aguilas,22.8,30.5,26.7,19.2,35.0,0.2,0.2(07),1006.3,1019.7,1013.1,1016.1,51.0,11.4,79.0,12.0,10/17.2(03),239
2016-08-01,Aguilas,22.7,30.1,26.4,20.1,33.6,0.4,0.4(16),1005.3,1021.7,1014.2,1017.2,58.0,11.5,85.0,12.0,35/16.7(16),237
2016-09-01,Aguilas,20.8,28.4,24.7,17.9,34.1,10.6,8.4(28),1004.9,1023.3,1014.3,1017.3,57.0,10.1,82.0,9.0,10/16.7(28),189
2016-10-01,Aguilas,18.2,25.5,21.9,14.6,28.5,7.4,6.0(13),997.4,1027.0,1012.6,1015.6,66.0,7.7,69.0,7.0,28/12.5(14),164
