fecha,nombre_estacion,tm_min,tm_max,tm_mes,ta_min,ta_max,p_mes,p_max,hr,w_med,w_racha,w_rec
2017-01-01,MazarrA3n/Las Torres,,,,,,,,,,,
2017-02-01,MazarrA3n/Las Torres,,,,,,,,,,,
2017-03-01,MazarrA3n/Las Torres,,,,,,,,,,,
2017-04-01,MazarrA3n/Las Torres,,,,,,,,,,,
2017-05-01,MazarrA3n/Las Torres,,,,,,,,,,,
2017-06-01,MazarrA3n/Las Torres,,,,,,,,,,,
2017-07-01,MazarrA3n/Las Torres,,,,,,,,,,,
2017-08-01,MazarrA3n/Las Torres,,,,,,,,,,,
2017-09-01,MazarrA3n/Las Torres,,,,,,,,,,,
2017-10-01,MazarrA3n/Las Torres,,,,,,,,,,,
2017-11-01,MazarrA3n/Las Torres,,,,,,,,,,,
2017-12-01,MazarrA3n/Las Torres,8.5,18.7,13.6,4.8,25.0,0.4,0.4(11),55.0,11.0,24/23.1(11),238
2018-01-01,MazarrA3n/Las Torres,9.1,18.6,13.8,4.4,25.0,38.9,26.2(27),62.0,12.0,01/16.9(27),262
2018-02-01,MazarrA3n/Las Torres,7.8,17.4,12.6,5.1,21.8,11.6,8.0(01),58.0,10.0,33/20.3(03),254
2018-03-01,MazarrA3n/Las Torres,10.3,19.9,15.1,5.5,23.6,13.8,4.4(03),56.0,14.0,28/23.9(24),316
2018-04-01,MazarrA3n/Las Torres,12.8,22.6,17.7,8.3,25.8,7.4,5.4(25),54.0,18.0,04/25.8(23),387
2018-05-01,MazarrA3n/Las Torres,15.0,25.1,20.1,9.6,29.2,2.2,1.2(09),58.0,13.0,04/18.9(24),267
2018-06-01,MazarrA3n/Las Torres,19.1,29.2,24.2,14.7,33.6,10.2,4.8(06),57.0,12.0,34/15.0(06),249
2018-07-01,MazarrA3n/Las Torres,21.6,31.4,26.6,19.7,33.6,0.0,0.0(--),62.0,11.0,06/13.1(07),231
2018-08-01,MazarrA3n/Las Torres,23.7,33.6,28.7,22.2,36.8,0.0,0.0(--),62.0,13.0,30/24.4(16),276
2018-09-01,MazarrA3n/Las Torres,21.6,30.1,25.9,17.7,33.8,57.6,43.8(14),69.0,12.0,05/18.1(15),280
2018-10-01,MazarrA3n/Las Torres,16.2,25.0,20.6,9.7,29.9,23.8,8.2(08),69.0,11.0,07/21.4(20),278
2018-11-01,MazarrA3n/Las Torres,12.1,20.5,16.3,8.6,22.8,80.2,53.2(18),69.0,12.0,34/16.4(27),258
2018-12-01,MazarrA3n/Las Torres,9.8,19.5,14.7,6.5,22.6,17.2,7.8(28),71.0,8.0,31/19.2(14),189
2019-01-01,MazarrA3n/Las Torres,8.0,18.3,13.2,3.5,22.7,1.0,0.6(19),61.0,9.0,08/17.2(24),230
2019-02-01,MazarrA3n/Las Torres,8.8,18.9,13.9,5.1,22.4,0.0,0.0(--),64.0,13.0,34/23.6(03),295
2019-03-01,MazarrA3n/Las Torres,10.2,20.3,15.3,8.5,24.4,11.2,3.6(23),61.0,12.0,04/18.3(18),276
2019-04-01,MazarrA3n/Las Torres,11.9,21.7,16.9,7.9,24.9,97.4,81.2(19),64.0,13.0,04/20.3(20),274
2019-05-01,MazarrA3n/Las Torres,15.2,25.3,20.3,11.2,30.0,0.8,0.4(21),61.0,12.0,05/15.3(24),264
2019-06-01,MazarrA3n/Las Torres,18.7,29.0,23.9,15.5,36.9,3.0,3.0(13),57.0,12.0,05/18.3(27),273
2019-07-01,MazarrA3n/Las Torres,23.2,32.9,28.0,20.4,37.1,0.0,0.0(--),57.0,14.0,05/20.8(31),299
2019-08-01,MazarrA3n/Las Torres,22.7,32.7,27.7,19.5,35.2,4.4,3.0(27),65.0,11.0,04/15.6(13),243
2019-09-01,MazarrA3n/Las Torres,20.5,29.4,24.9,16.3,32.9,50.4,35.4(12),70.0,13.0,04/21.7(13),285
2019-10-01,MazarrA3n/Las Torres,16.4,26.6,21.5,10.8,33.6,12.6,9.0(21),68.0,8.0,22/13.6(20),212
2019-11-01,MazarrA3n/Las Torres,11.7,21.5,16.6,6.8,28.5,10.6,5.6(22),56.0,12.0,34/23.6(11),270
2019-12-01,MazarrA3n/Las Torres,10.6,19.2,15.0,7.9,24.1,44.0,26.4(02),71.0,11.0,01/20.0(09),277
2020-01-01,MazarrA3n/Las Torres,8.0,17.3,12.6,4.7,21.4,93.4,50.6(19),76.0,10.0,01/23.3(20),218
2020-02-01,MazarrA3n/Las Torres,10.2,20.0,15.1,7.0,24.2,0.6,0.4(18),74.0,8.0,04/18.1(18),174
2020-03-01,MazarrA3n/Las Torres,11.2,20.3,15.8,7.5,27.4,151.8,61.6(23),68.0,14.0,28/23.3(02),311
2020-04-01,MazarrA3n/Las Torres,13.0,21.6,17.3,9.0,25.8,45.4,11.6(25),73.0,11.0,34/17.8(22),262
2020-05-01,MazarrA3n/Las Torres,16.5,26.6,21.6,12.2,32.4,23.4,12.6(13),60.0,12.0,05/16.9(28),271
2020-06-01,MazarrA3n/Las Torres,18.4,29.0,23.7,15.6,32.9,2.6,2.0(04),62.0,11.0,02/16.1(04),225
2020-07-01,MazarrA3n/Las Torres,,,,,,1.6,1.6(14),,,,
2020-08-01,MazarrA3n/Las Torres,22.8,33.7,28.3,18.9,37.7,0.6,0.6(11),61.0,12.0,05/16.1(11),245
2020-09-01,MazarrA3n/Las Torres,19.9,30.2,25.1,16.1,33.8,7.0,4.4(18),63.0,12.0,31/17.8(18),251
2020-10-01,MazarrA3n/Las Torres,14.7,25.7,20.2,11.8,29.0,1.6,1.4(02),62.0,9.0,02/19.7(02),209
2020-11-01,MazarrA3n/Las Torres,13.5,22.4,18.0,9.7,27.8,20.8,16.8(27),76.0,10.0,06/19.7(05),236
2020-12-01,MazarrA3n/Las Torres,9.0,19.6,14.3,3.2,26.4,0.0,0.0(--),60.0,11.0,27/19.7(28),250
2021-01-01,MazarrA3n/Las Torres,7.9,17.6,12.8,4.1,24.6,24.2,8.4(08),64.0,11.0,29/25.8(22),258
2021-02-01,MazarrA3n/Las Torres,10.6,19.5,15.1,7.4,26.1,0.6,0.4(07),69.0,12.0,03/17.5(21),300
2021-03-01,MazarrA3n/Las Torres,10.6,18.8,14.7,6.8,22.6,41.0,17.2(07),71.0,15.0,06/18.9(01),355
2021-04-01,MazarrA3n/Las Torres,12.6,20.7,16.7,8.1,24.0,41.4,9.8(22),74.0,13.0,05/23.6(24),289
2021-05-01,MazarrA3n/Las Torres,15.1,25.3,20.2,12.1,30.3,41.4,34.2(23),63.0,12.0,06/16.4(17),268
2021-06-01,MazarrA3n/Las Torres,19.7,29.2,24.5,16.3,32.8,18.4,10.8(01),61.0,14.0,05/16.4(15),287
2021-07-01,MazarrA3n/Las Torres,21.9,31.8,26.9,19.7,38.1,21.0,21.0(26),64.0,12.0,01/13.9(12),245
2021-08-01,MazarrA3n/Las Torres,23.2,32.4,27.8,20.5,35.9,0.6,0.6(31),67.0,12.0,06/15.6(23),269
2021-09-01,MazarrA3n/Las Torres,21.4,30.7,26.1,17.4,34.9,12.0,8.4(02),67.0,12.0,02/16.4(23),279
2021-10-01,MazarrA3n/Las Torres,16.8,26.1,21.5,14.1,28.7,22.2,19.6(26),71.0,10.0,04/17.5(22),234
2021-11-01,MazarrA3n/Las Torres,11.4,20.9,16.2,6.9,28.3,43.4,26.0(20),59.0,11.0,32/19.2(28),268
2021-12-01,MazarrA3n/Las Torres,10.5,19.2,14.8,6.7,26.2,1.0,0.6(01),70.0,10.0,32/18.3(02),230
2022-01-01,MazarrA3n/Las Torres,8.1,17.1,12.6,5.1,24.3,6.6,4.8(11),67.0,11.0,32/19.2(04),271
2022-02-01,MazarrA3n/Las Torres,9.2,19.3,14.2,6.7,23.4,1.8,1.0(24),66.0,11.0,02/16.7(01),243
2022-03-01,MazarrA3n/Las Torres,11.5,18.3,14.9,8.4,24.2,205.2,65.6(16),79.0,16.0,06/26.1(15),414
2022-04-01,MazarrA3n/Las Torres,11.3,20.1,15.7,5.9,26.1,74.0,21.2(05),68.0,13.0,06/23.1(04),285
2022-05-01,MazarrA3n/Las Torres,16.0,26.5,21.3,12.0,30.9,12.4,7.2(04),60.0,11.0,36/16.4(03),251
2022-06-01,MazarrA3n/Las Torres,20.2,31.1,25.7,17.3,38.5,0.0,0.0(--),55.0,10.0,02/14.4(09),225
2022-07-01,MazarrA3n/Las Torres,23.0,33.7,28.4,19.2,36.5,0.0,0.0(--),58.0,12.0,06/13.9(02),262
2022-08-01,MazarrA3n/Las Torres,23.8,34.6,29.2,21.1,41.2,1.0,1.0(30),58.0,13.0,08/20.8(10),281
2022-09-01,MazarrA3n/Las Torres,20.9,31.1,26.0,16.7,34.9,28.6,28.0(25),63.0,10.0,04/16.1(30),232
2022-10-01,MazarrA3n/Las Torres,18.4,27.7,23.1,15.3,30.4,9.4,3.6(05),72.0,10.0,32/12.8(10),235
2022-11-01,MazarrA3n/Las Torres,14.1,23.8,19.0,8.6,29.1,13.4,6.0(09),66.0,11.0,33/16.9(19),245
2022-12-01,MazarrA3n/Las Torres,11.7,20.6,16.1,9.1,24.2,13.6,8.6(14),75.0,9.0,23/17.2(13),204
2023-01-01,MazarrA3n/Las Torres,8.0,18.3,13.2,4.1,24.1,3.2,3.2(24),62.0,11.0,26/22.2(17),249
2023-02-01,MazarrA3n/Las Torres,8.6,16.7,12.7,4.0,20.3,15.0,6.8(06),65.0,15.0,02/21.1(27),360
2023-03-01,MazarrA3n/Las Torres,11.1,22.6,16.9,4.9,29.3,0.6,0.6(05),60.0,8.0,32/15.8(12),210
2023-04-01,MazarrA3n/Las Torres,14.0,25.1,19.6,9.3,32.5,0.4,0.2(12),59.0,12.0,24/23.9(02),258
2023-05-01,MazarrA3n/Las Torres,15.4,25.5,20.5,11.5,29.0,76.0,55.4(22),65.0,13.0,04/21.1(27),277
2023-06-01,MazarrA3n/Las Torres,20.0,30.1,25.1,16.5,36.5,4.8,4.2(07),62.0,11.0,04/17.2(13),242
2023-07-01,MazarrA3n/Las Torres,24.2,34.1,29.2,21.5,36.5,0.0,0.0(--),66.0,12.0,09/13.1(13),243
2023-08-01,MazarrA3n/Las Torres,23.7,34.1,28.9,21.1,38.1,0.4,0.4(30),61.0,12.0,04/15.8(04),254
2023-09-01,MazarrA3n/Las Torres,20.8,30.3,25.6,17.7,32.0,29.6,27.2(02),70.0,13.0,05/22.2(03),274
2023-10-01,MazarrA3n/Las Torres,17.3,27.4,22.4,11.8,34.0,3.0,2.8(19),69.0,9.0,30/21.9(19),218
2023-11-01,MazarrA3n/Las Torres,12.2,22.8,17.5,8.4,27.7,0.0,0.0(--),63.0,8.0,34/16.7(22),186
2023-12-01,MazarrA3n/Las Torres,9.2,19.4,14.3,6.0,23.9,1.2,0.4(04),65.0,8.0,32/19.2(14),191
2024-01-01,MazarrA3n/Las Torres,10.5,19.4,15.0,7.1,26.0,1.0,0.6(09),64.0,9.0,27/16.1(17),221
2024-02-01,MazarrA3n/Las Torres,10.3,20.8,15.6,6.9,27.2,2.0,1.0(09),61.0,11.0,32/20.8(24),269
2024-03-01,MazarrA3n/Las Torres,11.6,21.9,16.8,7.3,27.1,13.2,7.2(09),60.0,16.0,04/23.9(21),362
2024-04-01,MazarrA3n/Las Torres,12.8,23.4,18.1,9.5,31.1,18.4,13.0(28),61.0,11.0,02/17.5(09),261
