fecha,nombre_estacion,tm_min,tm_max,tm_mes,ta_min,ta_max,p_mes,p_max,q_min,q_max,q_med,q_mar,hr,inso,p_sol,w_med,w_racha,w_rec
2015-01-01,San Javier Aeropuerto,4.8,17.5,11.2,-0.3,24.7,12.0,9.9(18),990.2,1044.0,1022.8,1023.1,64.0,7.8,79.0,13.0,32/21.1(31),305
2015-02-01,San Javier Aeropuerto,7.6,17.7,12.7,0.4,24.3,8.8,5.4(07),996.7,1030.6,1017.2,1017.6,53.0,7.3,67.0,21.0,32/21.1(01),469
2015-03-01,San Javier Aeropuerto,8.9,20.1,14.5,1.8,32.5,15.8,10.6(24),1001.0,1033.2,1018.8,1019.1,65.0,7.8,66.0,16.0,03/23.6(19),334
2015-04-01,San Javier Aeropuerto,12.6,21.0,16.8,8.6,25.9,9.3,8.4(15),1004.9,1028.3,1019.0,1019.2,69.0,8.5,65.0,18.0,99/17.5(12),426
2015-05-01,San Javier Aeropuerto,15.7,26.5,21.2,12.9,37.3,0.0,0.0(--),1005.5,1025.0,1017.2,1017.5,58.0,11.2,79.0,14.0,,
2015-06-01,San Javier Aeropuerto,18.3,28.6,23.5,15.1,34.3,0.8,0.6(11),1006.4,1022.7,1016.9,1017.2,55.0,12.9,88.0,14.0,99/15.0(13),278
2015-07-01,San Javier Aeropuerto,23.8,32.0,27.9,19.8,39.3,0.2,0.2(31),1005.7,1020.5,1014.7,1015.1,65.0,12.0,83.0,14.0,05/13.3(03),287
2015-08-01,San Javier Aeropuerto,24.7,32.0,28.3,20.8,37.2,2.2,2.1(15),1007.2,1021.3,1014.4,1014.8,64.0,10.4,77.0,15.0,06/16.4(08),327
2015-09-01,San Javier Aeropuerto,19.3,28.3,23.8,16.1,33.3,88.3,73.9(05),1003.9,1023.1,1015.1,1015.4,68.0,9.1,73.0,15.0,04/18.9(08),329
2015-10-01,San Javier Aeropuerto,16.2,25.5,20.8,11.3,32.6,46.8,17.7(18),1006.2,1022.4,1015.2,1015.5,76.0,7.2,64.0,13.0,03/16.1(08),300
2015-11-01,San Javier Aeropuerto,10.7,21.3,16.1,4.8,25.0,53.3,52.3(01),1008.5,1036.6,1023.6,1024.0,73.0,7.5,74.0,12.0,32/21.1(26),276
2015-12-01,San Javier Aeropuerto,8.8,19.2,14.0,4.8,23.4,9.7,9.6(10),1021.1,1036.3,1029.6,1029.9,84.0,6.4,67.0,9.0,99/10.3(09),210
2016-01-01,San Javier Aeropuerto,7.9,18.7,13.3,1.4,25.2,10.8,8.5(15),1003.2,1035.2,1021.9,1022.2,74.0,6.2,63.0,11.0,,
2016-02-01,San Javier Aeropuerto,8.8,18.9,13.9,1.5,24.4,3.5,2.0(15),996.2,1036.8,1018.4,1018.8,61.0,5.8,53.0,18.0,31/25.8(14),421
2016-03-01,San Javier Aeropuerto,8.6,20.2,14.4,3.5,27.3,20.9,19.8(21),1003.6,1029.9,1015.0,1015.3,61.0,9.2,77.0,16.0,31/21.1(10),327
2016-04-01,San Javier Aeropuerto,11.9,22.1,17.0,6.7,25.4,13.9,8.4(04),999.7,1022.5,1013.2,1013.5,67.0,9.2,70.0,17.0,05/18.9(19),362
2016-05-01,San Javier Aeropuerto,14.4,24.0,19.2,7.6,28.9,2.6,1.3(12),1003.0,1024.6,1014.6,1014.9,64.0,10.4,73.0,16.0,32/23.3(28),330
2016-06-01,San Javier Aeropuerto,18.7,28.3,23.5,15.5,38.2,0.3,0.3(28),998.5,1025.7,1015.5,1015.8,65.0,12.3,83.0,17.0,05/15.0(27),343
2016-07-01,San Javier Aeropuerto,,,,,,0.1,0.1(31),1010.0,1022.7,1016.8,1017.4,,11.5,79.0,17.0,,
2016-08-01,San Javier Aeropuerto,22.7,30.4,26.6,18.5,34.9,0.6,0.4(16),1009.0,1025.2,1017.9,1018.2,68.0,11.5,85.0,18.0,05/16.1(05),377
2016-09-01,San Javier Aeropuerto,19.9,29.6,24.7,14.3,39.4,12.4,6.9(27),1008.9,1026.6,1017.7,1018.1,68.0,10.1,81.0,14.0,99/17.5(28),292
2016-10-01,San Javier Aeropuerto,17.0,26.2,21.7,10.1,29.7,8.1,4.4(13),1000.7,1030.7,1016.1,1016.5,78.0,7.6,68.0,12.0,31/15.0(13),266
2016-11-01,San Javier Aeropuerto,10.2,21.1,15.7,4.1,26.9,31.4,12.9(22),1001.0,1028.4,1015.4,1015.8,70.0,6.7,66.0,13.0,05/20.6(14),292
2016-12-01,San Javier Aeropuerto,9.5,17.6,13.6,5.1,20.2,249.6,163.3(18),1009.5,1037.5,1024.9,,,4.3,45.0,12.0,,
2017-01-01,San Javier Aeropuerto,5.7,16.3,11.0,1.1,21.1,58.9,25.9(19),1008.8,1031.2,1020.2,1020.6,71.0,6.3,63.0,16.0,99/21.1(19),350
