fecha,nombre_estacion,tm_min,tm_max,tm_mes,ta_min,ta_max,p_mes,p_max,inso,p_sol
2015-01-01,San Javier Aeropuerto,4.7,16.5,10.6,0.0,23.7,11.7,9.3(18),7.6,77.0
2015-02-01,San Javier Aeropuerto,7.4,16.6,12.0,0.1,23.0,10.3,5.5(07),7.1,66.0
2015-03-01,San Javier Aeropuerto,8.9,18.8,13.8,1.5,31.5,17.9,11.8(24),6.9,57.0
2015-04-01,San Javier Aeropuerto,12.5,19.5,16.1,8.0,25.7,8.6,8.0(15),7.5,56.0
2015-05-01,San Javier Aeropuerto,15.5,24.9,20.2,11.5,36.0,0.0,0.0(--),10.0,71.0
2015-06-01,San Javier Aeropuerto,18.4,27.0,22.7,15.0,32.0,1.1,0.9(10),,
2015-07-01,San Javier Aeropuerto,23.6,30.5,27.1,19.5,37.7,0.0,0.0(--),11.7,81.0
2015-08-01,San Javier Aeropuerto,24.5,30.4,27.5,20.2,35.6,2.6,2.6(15),10.0,74.0
2015-09-01,San Javier Aeropuerto,19.1,27.0,23.1,15.5,32.8,97.6,84.2(05),7.3,59.0
2015-10-01,San Javier Aeropuerto,16.1,24.3,20.2,11.0,30.5,59.5,24.1(24),6.7,60.0
2015-11-01,San Javier Aeropuerto,10.7,20.4,15.6,4.6,24.4,57.7,55.9(01),7.2,71.0
2015-12-01,San Javier Aeropuerto,9.0,18.0,13.6,4.8,21.8,7.4,7.0(10),6.2,64.0
2016-01-01,San Javier Aeropuerto,7.8,18.0,12.9,1.2,24.8,11.0,8.4(15),5.7,58.0
2016-02-01,San Javier Aeropuerto,8.7,18.0,13.4,1.0,24.0,3.6,1.7(15),5.7,53.0
2016-03-01,San Javier Aeropuerto,8.7,18.9,13.8,3.2,26.0,21.0,20.5(21),7.9,66.0
2016-04-01,San Javier Aeropuerto,12.0,21.0,16.5,7.8,25.2,16.4,11.1(04),8.2,62.0
2016-05-01,San Javier Aeropuerto,14.5,22.7,18.6,7.5,28.2,2.6,1.5(12),10.1,71.0
