fecha,nombre_estacion,tm_min,tm_max,tm_mes,ta_min,ta_max,p_mes,p_max,q_min,q_max,q_med,q_mar,hr,inso,p_sol,w_med,w_racha,w_rec
2015-01-01,Caravaca de la Cruz,1.4,14.4,8.0,-4.1,20.4,23.6,10.2(18),917.9,967.5,947.8,1024.0,51.0,4.9,50.0,11.0,,
2015-02-01,Caravaca de la Cruz,3.1,12.3,7.7,-2.9,20.0,37.2,13.8(17),922.8,955.3,942.3,1018.1,59.0,4.1,38.0,9.0,27/18.3(04),222
2015-03-01,Caravaca de la Cruz,6.1,19.0,12.6,-1.5,28.8,48.6,15.0(17),926.4,956.5,945.6,1020.0,50.0,7.2,60.0,8.0,33/14.4(27),211
2015-04-01,Caravaca de la Cruz,7.5,20.3,13.9,3.5,26.0,35.6,9.8(11),933.1,953.5,944.7,1018.7,59.0,7.4,56.0,8.0,,
2015-05-01,Caravaca de la Cruz,,,,,,10.4,5.4(31),,,,,,,,,,
2015-06-01,Caravaca de la Cruz,13.1,31.3,22.4,10.0,39.6,30.4,10.2(15),935.1,949.6,944.0,1015.3,36.0,11.1,75.0,8.0,35/11.7(01),191
2015-07-01,Caravaca de la Cruz,18.3,37.3,27.8,16.1,41.9,11.2,7.6(31),934.0,949.7,943.0,1012.8,35.0,11.0,76.0,8.0,16/11.4(18),179
2015-08-01,Caravaca de la Cruz,17.5,33.5,25.5,13.2,39.3,13.6,5.6(31),936.7,949.0,942.8,1013.4,46.0,9.0,66.0,8.0,34/13.3(08),173
2015-09-01,Caravaca de la Cruz,,,,,,,,,,,,,,,,,
2015-10-01,Caravaca de la Cruz,10.7,22.4,16.6,5.9,28.6,31.8,15.8(19),934.6,948.9,942.3,1015.5,67.0,4.6,41.0,7.0,24/13.3(06),165
2015-11-01,Caravaca de la Cruz,5.3,18.1,11.7,-2.3,23.6,57.0,55.0(01),936.9,960.2,950.1,1025.4,63.0,4.7,47.0,8.0,,
2015-12-01,Caravaca de la Cruz,4.2,16.3,10.3,0.7,20.1,2.4,2.2(10),946.4,961.1,954.4,1030.5,67.0,3.3,34.0,6.0,24/7.8(15),161
2016-01-01,Caravaca de la Cruz,4.3,15.9,10.1,-2.4,20.5,8.6,4.2(15),930.8,959.6,947.2,1022.6,61.0,3.3,33.0,8.0,24/19.7(04),192
2016-02-01,Caravaca de la Cruz,4.1,15.7,9.9,-2.6,20.9,12.4,5.6(14),921.3,960.2,944.0,1019.2,55.0,4.4,40.0,10.0,28/23.1(14),230
2016-03-01,Caravaca de la Cruz,4.1,18.0,11.1,-2.2,26.4,23.8,10.2(21),929.9,950.8,940.6,1015.2,47.0,6.6,55.0,9.0,29/15.0(31),208
2016-04-01,Caravaca de la Cruz,7.3,20.7,14.0,1.0,25.9,45.0,34.4(05),926.5,948.0,939.2,1012.6,50.0,7.3,55.0,10.0,22/13.1(12),201
2016-05-01,Caravaca de la Cruz,9.2,24.7,17.0,2.0,31.5,22.6,9.8(08),929.3,949.3,940.8,1013.4,45.0,8.6,60.0,9.0,26/18.6(28),190
2016-06-01,Caravaca de la Cruz,13.6,31.9,22.8,9.5,38.5,6.6,4.6(04),929.9,951.6,942.7,1013.6,33.0,11.0,75.0,9.0,18/13.9(24),195
