fecha,nombre_estacion,tm_min,tm_max,tm_mes,ta_min,ta_max,p_mes,p_max,hr,w_med,w_racha,w_rec
2015-01-01,Calasparra,2.3,15.2,8.8,-2.3,21.3,20.6,14.6(18),53.0,7.0,34/22.8(31),164
2015-02-01,Calasparra,5.4,13.4,9.4,-1.1,20.0,25.2,8.8(12),58.0,10.0,32/19.4(05),222
2015-03-01,Calasparra,7.6,20.2,14.1,0.9,30.0,89.0,17.4(20),52.0,8.0,31/15.3(26),181
2015-04-01,Calasparra,9.9,21.6,15.8,5.8,27.1,32.2,14.2(26),57.0,8.0,32/12.8(27),172
2015-05-01,Calasparra,13.9,28.8,21.3,10.5,39.4,25.8,21.6(19),42.0,10.0,36/12.8(08),201
2015-06-01,Calasparra,16.3,31.5,23.9,11.9,40.2,4.8,2.6(15),39.0,11.0,28/16.1(23),199
2015-07-01,Calasparra,21.6,36.9,29.3,19.9,42.4,6.8,5.2(30),42.0,12.0,08/16.4(22),225
2015-08-01,Calasparra,21.2,33.6,27.4,18.1,38.8,41.4,32.8(31),51.0,11.0,12/13.6(18),217
2015-09-01,Calasparra,16.2,27.9,22.1,12.9,33.2,65.6,30.8(07),59.0,8.0,06/16.4(27),145
2015-10-01,Calasparra,13.3,23.2,18.3,8.4,29.4,65.8,35.0(08),66.0,7.0,32/13.6(08),130
2015-11-01,Calasparra,7.7,19.5,13.6,-0.6,25.1,30.8,30.2(01),64.0,7.0,08/19.2(02),139
2015-12-01,Calasparra,5.3,17.0,11.2,2.3,21.3,3.8,3.8(10),70.0,4.0,32/8.1(29),92
2016-01-01,Calasparra,5.9,16.5,11.3,-0.9,22.6,12.8,5.2(04),64.0,7.0,28/14.2(06),150
2016-02-01,Calasparra,6.3,16.8,11.6,-1.9,22.7,5.4,2.4(06),54.0,9.0,30/24.4(14),218
2016-03-01,Calasparra,6.4,18.5,12.5,2.5,24.9,21.6,11.8(21),50.0,10.0,31/16.7(10),207
2016-04-01,Calasparra,9.8,21.8,15.8,3.2,28.0,49.8,24.0(05),51.0,9.0,13/14.7(19),188
2016-05-01,Calasparra,11.9,24.8,18.4,5.4,31.1,35.6,19.4(06),50.0,11.0,28/17.5(28),197
2016-06-01,Calasparra,16.7,32.0,24.4,13.4,38.1,0.0,0.0(--),38.0,12.0,28/13.6(15),224
2016-07-01,Calasparra,19.6,34.2,26.9,15.6,38.8,0.0,0.0(--),40.0,13.0,13/13.9(05),234
2016-08-01,Calasparra,19.4,33.1,26.3,15.0,40.1,2.0,1.6(16),46.0,12.0,12/13.1(28),219
2016-09-01,Calasparra,17.0,30.8,23.9,12.7,41.4,5.4,3.2(28),49.0,11.0,11/13.9(13),186
2016-10-01,Calasparra,13.8,25.1,19.5,7.6,31.8,40.0,10.6(18),65.0,7.0,12/10.0(23),135
2016-11-01,Calasparra,7.7,18.0,12.9,3.1,25.5,54.0,25.6(22),62.0,6.0,31/14.4(08),137
2016-12-01,Calasparra,6.3,14.3,10.4,2.1,18.5,156.4,68.0(18),79.0,4.0,28/8.9(20),105
