fecha,nombre_estacion,tm_min,tm_max,tm_mes,ta_min,ta_max,p_mes,p_max,hr
2015-01-01,Archena,5.6,17.5,11.5,0.7,23.7,20.6,17.4(18),49
2015-02-01,Archena,7.8,15.9,11.9,1.1,22.3,22.0,16.2(12),52
2015-03-01,Archena,9.8,21.7,15.7,3.6,32.6,62.6,21.4(24),56
2015-04-01,Archena,11.6,23.3,17.5,9.3,29.0,12.2,9.0(26),57
2015-05-01,Archena,15.3,29.9,22.6,9.8,41.2,0.8,0.8(30),44
2015-06-01,Archena,17.3,32.9,25.1,13.9,41.1,20.8,11.4(15),43
2015-07-01,Archena,22.6,37.4,30.0,20.0,43.5,2.2,2.0(22),50
2015-08-01,Archena,23.0,35.1,29.0,19.4,39.1,9.2,5.4(10),54
2015-09-01,Archena,18.4,29.7,24.1,14.8,36.2,101.8,66.0(27),62
2015-10-01,Archena,15.3,25.8,20.5,9.9,31.6,7.4,3.4(20),65
2015-11-01,Archena,10.6,21.6,16.1,6.1,27.2,39.0,39.0(01),62
2015-12-01,Archena,8.0,19.4,13.7,5.4,23.4,3.6,3.0(10),68
2016-01-01,Archena,9.0,18.7,13.9,4.0,24.4,7.4,6.8(15),59
2016-02-01,Archena,8.9,18.9,13.9,2.1,24.8,5.2,1.6(06),51
2016-03-01,Archena,9.5,20.4,15.0,4.7,27.4,26.8,17.2(21),48
2016-04-01,Archena,11.5,23.8,17.7,5.4,28.0,20.0,11.6(04),53
2016-05-01,Archena,13.5,26.6,20.1,7.0,32.3,17.2,5.8(09),50
2016-06-01,Archena,17.6,32.7,25.2,13.5,39.6,0.8,0.8(04),45
2016-07-01,Archena,20.3,34.6,27.5,15.8,40.2,0.0,0.0(--),47
2016-08-01,Archena,20.2,33.7,27.0,16.5,39.8,4.4,4.0(16),54
2016-09-01,Archena,18.4,32.0,25.2,15.0,43.1,4.0,2.4(28),55
2016-10-01,Archena,15.7,26.7,21.2,11.0,31.7,41.4,11.6(20),69
2016-11-01,Archena,10.5,20.1,15.3,4.6,27.3,34.6,13.4(27),61
2016-12-01,Archena,8.8,16.6,12.7,4.5,20.4,178.4,80.8(18),75
2019-01-01,Archena,7.0,17.5,12.2,1.2,22.3,0.4,0.2(19),49
2019-02-01,Archena,7.0,19.8,13.4,3.9,28.7,0.2,0.2(01),51
2019-03-01,Archena,8.5,22.0,15.3,5.2,28.4,13.0,7.0(31),49
2019-04-01,Archena,10.8,21.7,16.3,6.7,30.4,109.4,76.4(19),58
2019-05-01,Archena,14.0,27.6,20.8,10.6,33.7,23.6,20.8(21),52
2019-06-01,Archena,17.1,32.1,24.6,12.3,38.1,0.2,0.2(13),45
2019-07-01,Archena,21.5,35.7,28.6,18.3,40.0,0.6,0.4(08),45
2019-08-01,Archena,21.5,35.5,28.6,17.7,43.2,5.0,3.6(20),53
2019-09-01,Archena,19.3,29.8,24.6,15.5,36.6,211.4,140.4(12),67
2019-10-01,Archena,15.1,26.6,20.9,9.2,34.2,20.4,11.8(21),60
2019-11-01,Archena,11.0,19.4,15.2,4.1,27.3,13.4,8.2(22),54
2019-12-01,Archena,9.3,18.0,13.7,4.3,23.5,33.0,26.6(02),66
2020-01-01,Archena,6.4,16.4,11.4,3.0,22.2,55.0,34.0(21),67
2020-02-01,Archena,9.4,22.0,15.7,5.0,27.2,0.4,0.4(18),60
2020-03-01,Archena,10.3,20.4,15.3,7.1,31.7,89.2,44.0(23),62
2020-04-01,Archena,11.5,21.7,16.6,7.8,26.6,56.8,26.0(13),66
2020-05-01,Archena,15.2,28.6,21.9,10.7,34.8,15.0,5.4(13),51
2020-06-01,Archena,17.6,32.3,25.0,14.5,37.4,6.6,4.0(04),48
2020-07-01,Archena,20.9,35.4,28.2,18.0,41.0,6.0,4.2(14),51
2020-08-01,Archena,21.7,36.5,29.1,16.4,43.0,0.0,0.0(--),47
2020-09-01,Archena,17.8,31.0,24.5,13.9,34.0,5.6,2.6(18),54
2020-10-01,Archena,12.7,26.2,19.5,8.4,33.9,8.2,4.8(02),53
2020-11-01,Archena,11.4,22.1,16.8,5.2,29.4,33.8,10.8(27),71
