fecha,nombre_estacion,tm_min,tm_max,tm_mes,ta_min,ta_max,p_mes,p_max,q_min,q_max,q_med,q_mar,hr,inso,p_sol,w_med,w_racha,w_rec
2015-01-01,Murcia,3.8,18.3,11.1,-0.6,25.5,17.6,15.6(18),984.0,1037.1,1016.4,1023.9,53.0,7.7,78.0,9.0,30/23.6(31),199
2015-02-01,Murcia,6.6,17.4,12.0,0.4,24.6,20.4,9.2(12),991.2,1024.4,1011.2,1018.7,57.0,6.5,60.0,11.0,30/20.0(04),271
2015-03-01,Murcia,8.9,22.1,15.5,2.8,32.6,50.9,15.5(24),994.6,1026.0,1012.3,1019.7,60.0,7.6,64.0,10.0,08/16.7(19),213
2015-04-01,Murcia,11.7,23.5,17.6,8.5,29.0,8.5,5.2(07),999.9,1021.6,1012.6,1019.9,59.0,7.6,58.0,11.0,25/14.2(26),225
2015-05-01,Murcia,15.8,30.0,22.9,11.8,41.0,2.0,1.6(20),999.0,1018.2,1010.6,1017.7,52.0,10.6,75.0,12.0,05/13.3(19),223
2015-06-01,Murcia,18.2,33.0,25.6,14.9,41.5,8.1,7.0(11),999.1,1015.5,1009.6,1016.7,40.0,12.6,86.0,11.0,28/14.7(15),218
2015-07-01,Murcia,23.6,37.5,30.6,22.0,43.4,3.0,1.8(30),998.4,1014.3,1007.4,1014.3,48.0,12.1,83.0,12.0,03/13.6(22),242
2015-08-01,Murcia,23.7,35.4,29.6,20.7,40.3,9.6,5.2(16),999.8,1014.2,1007.3,1014.3,53.0,10.4,77.0,11.0,32/12.8(13),226
2015-09-01,Murcia,18.8,30.1,24.4,14.8,36.0,77.4,46.8(05),996.2,1016.4,1008.0,1015.1,60.0,8.5,69.0,8.0,06/14.7(08),173
2015-10-01,Murcia,15.7,26.4,21.1,10.8,32.4,15.4,7.8(20),998.9,1015.6,1008.2,1015.4,65.0,7.0,62.0,7.0,08/12.2(08),153
2015-11-01,Murcia,9.9,22.5,16.2,1.4,28.0,17.6,17.6(01),1002.1,1029.7,1016.6,1024.1,64.0,7.6,75.0,8.0,33/20.3(26),178
2015-12-01,Murcia,7.7,19.9,13.8,4.9,24.1,6.0,5.8(10),1013.6,1029.8,1022.4,1029.9,70.0,6.2,65.0,5.0,28/8.6(30),120
2016-01-01,Murcia,7.9,19.5,13.7,1.7,25.1,15.2,9.6(15),996.6,1028.0,1014.7,1022.2,61.0,6.2,63.0,8.0,34/15.0(16),174
2016-02-01,Murcia,8.4,20.1,14.3,1.0,25.7,4.0,2.0(19),988.6,1029.5,1011.4,1018.8,52.0,6.7,62.0,11.0,27/22.5(14),252
2016-03-01,Murcia,8.2,21.5,14.9,4.2,28.0,26.2,21.4(21),996.6,1019.0,1007.8,1015.2,49.0,8.7,72.0,10.0,30/20.0(10),221
2016-04-01,Murcia,12.0,24.4,18.2,6.2,28.9,14.3,12.4(04),993.1,1015.6,1005.8,1013.1,52.0,9.0,68.0,10.0,05/16.9(30),214
2016-05-01,Murcia,14.2,27.3,20.8,8.6,34.5,12.9,6.2(12),995.4,1017.4,1007.2,1014.4,49.0,10.4,73.0,12.0,30/17.5(13),243
2016-06-01,Murcia,18.9,33.0,25.9,15.6,40.3,3.4,3.4(04),991.4,1018.7,1008.0,1015.1,44.0,12.3,83.0,12.0,30/13.3(15),240
2016-07-01,Murcia,21.8,34.9,28.3,18.4,40.2,0.0,0.0(--),1002.9,1015.0,1009.5,1016.6,45.0,11.8,82.0,12.0,06/13.1(03),237
2016-08-01,Murcia,21.6,34.1,27.9,18.7,40.0,3.2,3.2(16),1001.5,1018.2,1010.7,1017.7,52.0,11.5,85.0,12.0,06/12.5(05),229
2016-09-01,Murcia,19.5,32.7,26.1,14.5,44.6,19.4,19.2(28),1001.3,1020.0,1010.5,1017.6,53.0,10.2,83.0,9.0,05/14.2(28),194
2016-10-01,Murcia,16.5,27.5,22.0,10.4,31.8,20.9,7.6(20),993.9,1023.7,1009.0,1016.2,68.0,7.1,63.0,7.0,30/12.5(13),147
2016-11-01,Murcia,9.7,21.2,15.5,4.6,27.7,19.2,5.6(22),994.6,1021.6,1008.6,1016.0,63.0,6.2,61.0,8.0,32/17.2(08),173
2016-12-01,Murcia,8.8,17.2,13.0,4.0,20.5,230.8,109.2(18),1003.2,1030.6,1018.6,1026.1,78.0,4.5,47.0,6.0,05/17.5(17),144
2017-01-01,Murcia,5.1,16.2,10.7,-1.1,21.6,50.8,38.4(19),1002.0,1024.2,1013.4,1021.0,64.0,6.4,65.0,9.0,30/16.1(15),209
2017-02-01,Murcia,8.2,19.4,13.8,2.4,23.4,3.8,1.2(13),994.4,1025.5,1011.9,1019.4,64.0,6.7,62.0,9.0,28/19.2(05),203
2017-03-01,Murcia,8.6,22.8,15.7,3.8,33.6,48.2,44.0(13),995.1,1021.4,1011.6,1019.0,57.0,9.2,76.0,9.0,04/24.2(13),197
2017-04-01,Murcia,11.1,24.2,17.7,6.9,33.4,9.8,5.8(28),997.8,1020.7,1011.0,1018.3,55.0,9.4,72.0,10.0,04/13.9(21),210
2017-05-01,Murcia,15.1,28.9,22.0,10.7,31.4,0.0,0.0(--),993.7,1020.4,1008.8,1016.0,45.0,11.7,82.0,11.0,02/12.5(01),215
2017-06-01,Murcia,20.2,34.3,27.3,17.0,40.8,0.6,0.6(04),997.3,1014.0,1007.9,1014.9,44.0,12.8,87.0,13.0,06/13.3(05),243
2017-07-01,Murcia,22.0,35.1,28.6,17.2,41.0,0.6,0.4(06),999.9,1016.1,1007.7,1014.7,49.0,12.1,84.0,11.0,02/15.8(01),230
2017-08-01,Murcia,22.7,34.3,28.5,19.4,41.4,44.0,38.6(29),1001.2,1014.8,1008.6,1015.7,58.0,9.6,70.0,11.0,04/12.8(08),221
2017-09-01,Murcia,19.0,31.5,25.3,16.6,37.3,0.9,0.6(01),995.6,1017.3,1009.6,1016.7,57.0,9.8,78.0,9.0,29/13.1(10),184
2017-10-01,Murcia,15.9,28.5,22.2,10.8,32.1,11.0,9.6(18),1002.6,1020.8,1014.2,1021.5,63.0,8.4,75.0,7.0,34/11.7(19),156
2017-11-01,Murcia,8.6,21.7,15.2,4.3,26.6,5.0,2.5(28),997.5,1023.0,1012.0,1019.4,54.0,7.2,71.0,7.0,34/17.2(13),169
2017-12-01,Murcia,4.9,18.5,11.7,-0.6,24.2,3.2,2.8(11),986.5,1030.7,1016.4,1024.0,53.0,6.6,69.0,8.0,34/17.2(11),189
