fecha,nombre_estacion,tm_min,tm_max,tm_mes,ta_min,ta_max,p_mes,p_max,hr,w_med,w_racha,w_rec
2019-01-01,"Lorca, Zarcilla de Ramos",2.3,15.6,9.0,-3.3,20.3,0.0,0.0(--),52.0,11.0,26/22.5(23),267
2019-02-01,"Lorca, Zarcilla de Ramos",2.9,17.7,10.3,-0.8,26.1,0.4,0.2(01),53.0,9.0,24/23.6(01),220
2019-03-01,"Lorca, Zarcilla de Ramos",4.4,18.9,11.7,-1.0,25.0,11.6,7.4(30),51.0,10.0,26/19.4(06),226
2019-04-01,"Lorca, Zarcilla de Ramos",7.1,19.0,13.1,3.0,26.2,55.8,33.4(19),57.0,13.0,30/17.8(07),287
2019-05-01,"Lorca, Zarcilla de Ramos",10.5,25.8,18.2,6.6,33.2,4.4,3.6(24),46.0,11.0,32/13.9(24),237
2019-06-01,"Lorca, Zarcilla de Ramos",14.0,30.6,22.3,9.0,36.7,1.2,1.2(13),38.0,13.0,25/13.9(05),240
2019-07-01,"Lorca, Zarcilla de Ramos",18.2,34.2,26.3,14.9,38.0,6.4,4.0(06),38.0,13.0,22/29.2(06),264
2019-08-01,"Lorca, Zarcilla de Ramos",18.0,34.0,26.0,13.9,40.5,0.0,0.0(--),44.0,12.0,12/17.2(27),242
2019-09-01,"Lorca, Zarcilla de Ramos",15.7,27.6,21.8,12.0,32.9,51.2,27.8(11),,12.0,02/20.6(14),221
2019-10-01,"Lorca, Zarcilla de Ramos",11.2,24.7,18.0,4.6,31.5,28.0,15.8(22),60.0,8.0,26/15.8(20),194
2019-11-01,"Lorca, Zarcilla de Ramos",6.8,16.8,11.8,-1.9,25.0,18.0,11.8(22),59.0,15.0,29/29.7(23),340
2019-12-01,"Lorca, Zarcilla de Ramos",5.7,16.1,10.9,-0.3,22.8,38.6,25.8(02),67.0,11.0,28/25.3(21),253
2020-01-01,"Lorca, Zarcilla de Ramos",2.1,14.0,8.1,-2.5,19.1,20.4,15.8(21),71.0,9.0,35/21.4(20),203
2020-02-01,"Lorca, Zarcilla de Ramos",5.5,19.6,12.6,0.3,26.5,0.2,0.2(05),62.0,7.0,28/15.3(26),180
2020-03-01,"Lorca, Zarcilla de Ramos",6.4,17.4,11.9,2.4,29.2,73.2,18.8(27),63.0,13.0,28/25.3(02),268
2020-04-01,"Lorca, Zarcilla de Ramos",7.8,18.9,13.4,1.8,24.5,22.2,4.6(14),69.0,10.0,25/17.5(21),210
2020-05-01,"Lorca, Zarcilla de Ramos",11.8,27.6,19.7,8.1,34.0,51.4,35.6(17),48.0,11.0,31/15.8(10),226
2020-06-01,"Lorca, Zarcilla de Ramos",14.5,31.1,22.8,10.1,35.7,2.2,1.4(04),39.0,13.0,24/16.4(12),261
2020-07-01,"Lorca, Zarcilla de Ramos",17.8,35.7,26.8,15.2,39.9,23.0,21.6(14),42.0,12.0,35/16.4(14),243
2020-08-01,"Lorca, Zarcilla de Ramos",18.2,35.4,26.8,12.1,44.4,4.0,4.0(03),39.0,13.0,04/17.8(01),245
2020-09-01,"Lorca, Zarcilla de Ramos",14.1,28.8,21.5,9.4,31.9,19.6,15.4(17),54.0,10.0,25/16.7(24),224
2020-10-01,"Lorca, Zarcilla de Ramos",9.1,24.2,16.7,3.9,30.9,4.4,2.4(22),50.0,9.0,23/20.8(02),222
2020-11-01,"Lorca, Zarcilla de Ramos",7.8,19.7,13.8,1.4,28.4,26.2,8.6(27),71.0,6.0,24/20.8(07),161
2020-12-01,"Lorca, Zarcilla de Ramos",3.1,15.6,9.4,-2.8,22.4,2.0,0.8(08),59.0,13.0,26/26.1(08),294
2021-01-01,"Lorca, Zarcilla de Ramos",3.3,14.3,8.8,-2.4,26.8,39.0,16.2(07),58.0,13.0,25/26.9(22),304
2021-02-01,"Lorca, Zarcilla de Ramos",5.5,17.8,11.7,-0.8,22.9,0.0,0.0(--),57.0,11.0,20/21.7(09),248
2021-03-01,"Lorca, Zarcilla de Ramos",5.6,17.2,11.5,-0.3,23.2,35.0,23.6(06),60.0,10.0,35/13.9(20),240
2021-04-01,"Lorca, Zarcilla de Ramos",8.2,18.9,13.6,4.9,25.9,40.8,8.8(25),67.0,10.0,34/11.7(16),210
2021-05-01,"Lorca, Zarcilla de Ramos",11.0,26.0,18.5,6.3,35.2,36.6,33.4(23),50.0,12.0,28/20.3(09),238
2021-06-01,"Lorca, Zarcilla de Ramos",15.0,29.4,22.3,11.4,34.5,12.6,10.4(05),48.0,13.0,14/14.4(12),239
2021-07-01,"Lorca, Zarcilla de Ramos",17.6,34.7,26.2,13.4,40.9,0.4,0.4(26),40.0,14.0,24/17.5(12),264
2021-08-01,"Lorca, Zarcilla de Ramos",19.6,34.8,27.2,15.8,43.9,0.8,0.6(24),45.0,12.0,36/19.7(15),240
2021-09-01,"Lorca, Zarcilla de Ramos",16.1,29.7,22.9,11.7,35.1,11.6,5.6(21),57.0,11.0,23/13.9(08),231
2021-10-01,"Lorca, Zarcilla de Ramos",11.5,24.4,17.9,7.2,29.2,13.6,9.0(03),65.0,9.0,22/18.9(30),206
2021-11-01,"Lorca, Zarcilla de Ramos",5.6,16.3,11.0,1.1,23.3,28.6,15.2(20),59.0,10.0,23/17.8(01),258
2021-12-01,"Lorca, Zarcilla de Ramos",5.8,16.7,11.3,-1.4,26.5,4.0,2.0(01),63.0,11.0,27/20.6(09),241
2022-01-01,"Lorca, Zarcilla de Ramos",1.7,14.9,8.3,-3.8,25.2,8.6,6.4(05),59.0,7.0,27/15.3(04),167
2022-02-01,"Lorca, Zarcilla de Ramos",3.8,17.9,10.9,-0.6,25.5,0.8,0.4(26),53.0,8.0,36/14.2(16),177
2022-03-01,"Lorca, Zarcilla de Ramos",6.9,14.6,10.8,2.2,21.3,178.8,53.0(16),74.0,11.0,05/19.2(15),269
2022-04-01,"Lorca, Zarcilla de Ramos",7.3,18.2,12.8,1.0,26.5,53.6,21.4(05),60.0,13.0,23/19.2(23),295
2022-05-01,"Lorca, Zarcilla de Ramos",11.9,27.1,19.6,7.4,33.2,25.0,13.2(03),49.0,11.0,21/12.8(29),224
2022-06-01,"Lorca, Zarcilla de Ramos",15.9,33.6,24.8,13.7,38.3,0.0,0.0(--),34.0,12.0,26/11.7(02),229
2022-07-01,"Lorca, Zarcilla de Ramos",18.3,35.4,26.9,15.3,41.8,0.4,0.4(05),41.0,12.0,15/11.4(26),227
2022-08-01,"Lorca, Zarcilla de Ramos",18.0,34.6,26.3,14.9,38.3,12.4,5.4(13),43.0,13.0,35/17.8(13),245
2022-09-01,"Lorca, Zarcilla de Ramos",16.2,30.4,23.3,11.0,35.8,17.2,8.8(22),48.0,10.0,34/13.1(29),231
2022-10-01,"Lorca, Zarcilla de Ramos",12.7,26.8,19.8,8.0,31.5,2.2,2.0(10),58.0,8.0,30/13.1(03),170
2022-11-01,"Lorca, Zarcilla de Ramos",8.6,20.7,14.7,1.3,27.9,7.6,6.2(11),57.0,11.0,26/21.1(21),271
2022-12-01,"Lorca, Zarcilla de Ramos",6.9,18.3,12.6,2.6,25.1,23.2,7.8(14),65.0,9.0,26/22.2(13),221
2023-01-01,"Lorca, Zarcilla de Ramos",2.8,14.8,8.8,-3.2,20.8,1.8,1.4(17),55.0,12.0,27/23.1(17),274
2023-02-01,"Lorca, Zarcilla de Ramos",2.2,13.6,7.9,-2.9,21.9,13.6,5.2(11),62.0,9.0,31/14.2(26),197
2023-03-01,"Lorca, Zarcilla de Ramos",6.9,23.1,15.0,-2.6,31.5,0.4,0.4(05),40.0,12.0,26/15.8(10),250
2023-04-01,"Lorca, Zarcilla de Ramos",9.1,26.5,17.8,1.2,33.8,4.8,4.4(30),35.0,13.0,29/17.5(29),258
2023-05-01,"Lorca, Zarcilla de Ramos",,,,,,,,,,,
2023-06-01,"Lorca, Zarcilla de Ramos",15.9,28.9,22.4,10.5,35.0,60.4,32.2(01),56.0,11.0,33/13.9(21),206
2023-07-01,"Lorca, Zarcilla de Ramos",19.8,35.7,27.8,16.9,42.1,2.6,1.4(20),45.0,11.0,26/20.0(11),239
2023-08-01,"Lorca, Zarcilla de Ramos",19.2,35.7,27.5,14.4,41.3,0.0,0.0(--),40.0,12.0,18/20.3(26),237
2023-09-01,"Lorca, Zarcilla de Ramos",15.7,28.4,22.1,11.5,30.8,32.0,15.8(15),65.0,10.0,16/16.9(12),199
2023-10-01,"Lorca, Zarcilla de Ramos",12.1,25.7,19.0,6.4,31.6,4.0,3.4(14),58.0,10.0,23/17.8(30),220
2023-11-01,"Lorca, Zarcilla de Ramos",8.3,21.7,15.0,1.9,29.1,0.0,0.0(--),50.0,12.0,28/28.1(02),278
2023-12-01,"Lorca, Zarcilla de Ramos",4.2,17.8,11.0,-1.9,27.8,2.0,2.0(05),50.0,9.0,27/18.3(01),214
2024-01-01,"Lorca, Zarcilla de Ramos",5.6,17.5,11.6,-0.5,27.1,5.8,3.0(09),57.0,10.0,23/27.5(17),220
2024-02-01,"Lorca, Zarcilla de Ramos",6.0,18.6,12.3,0.2,24.3,3.4,2.2(09),49.0,13.0,25/21.4(10),314
2024-03-01,"Lorca, Zarcilla de Ramos",7.1,20.2,13.6,1.3,30.7,2.4,0.8(31),49.0,14.0,22/22.8(27),320
2024-04-01,"Lorca, Zarcilla de Ramos",8.2,23.1,15.7,2.6,30.9,1.0,0.6(28),45.0,13.0,32/17.5(09),242
2024-05-01,"Lorca, Zarcilla de Ramos",11.6,27.3,19.4,6.6,34.7,0.2,0.2(01),38.0,13.0,28/18.3(01),256
2024-06-01,"Lorca, Zarcilla de Ramos",15.6,29.7,22.9,11.9,33.6,16.4,9.8(11),45.0,12.0,32/21.1(11),241
2024-07-01,"Lorca, Zarcilla de Ramos",19.3,35.9,27.6,16.6,41.1,0.0,0.0(--),39.0,13.0,08/15.6(07),249
2024-08-01,"Lorca, Zarcilla de Ramos",19.2,35.2,27.2,16.2,42.8,2.4,1.4(21),45.0,12.0,09/18.9(14),230
2024-09-01,"Lorca, Zarcilla de Ramos",15.9,29.0,22.5,10.9,33.0,6.8,1.8(21),56.0,12.0,27/21.7(07),232
2024-10-01,"Lorca, Zarcilla de Ramos",12.6,24.1,18.4,6.7,32.2,81.0,26.4(15),62.0,10.0,31/21.4(12),238
2024-11-01,"Lorca, Zarcilla de Ramos",10.0,19.6,14.8,7.3,24.4,41.6,13.8(03),73.0,7.0,25/17.5(25),178
2024-12-01,"Lorca, Zarcilla de Ramos",4.0,16.3,10.2,-1.1,24.6,0.4,0.2(30),58.0,9.0,28/14.2(04),200
2025-01-01,"Lorca, Zarcilla de Ramos",4.3,16.1,10.2,-1.6,21.3,1.2,0.4(17),51.0,13.0,24/32.5(27),311
2025-02-01,"Lorca, Zarcilla de Ramos",3.6,17.8,10.7,-1.2,24.5,7.6,6.2(22),58.0,8.0,23/11.7(12),193
2025-03-01,"Lorca, Zarcilla de Ramos",6.5,15.4,10.9,2.2,23.6,218.0,66.6(05),70.0,11.0,27/18.3(13),254
2025-04-01,"Lorca, Zarcilla de Ramos",8.3,21.0,14.7,5.1,27.4,11.2,5.2(12),57.0,12.0,26/18.3(16),244
2025-05-01,"Lorca, Zarcilla de Ramos",11.0,25.8,18.5,7.0,34.8,44.0,14.4(22),53.0,10.0,23/13.6(19),208
2025-06-01,"Lorca, Zarcilla de Ramos",16.9,34.8,25.9,12.9,38.3,5.2,4.4(17),39.0,10.0,31/15.0(17),216
2025-07-01,"Lorca, Zarcilla de Ramos",,,,,,,,,,,
2025-08-01,"Lorca, Zarcilla de Ramos",,,,,,,,,,,
