fecha,nombre_estacion,tm_min,tm_max,tm_mes,ta_min,ta_max,p_mes,p_max,hr,w_med,w_racha,w_rec
2019-01-01,Totana,,,,,,,,,,,
2019-02-01,Totana,,,,,,,,,,,
2019-03-01,Totana,,,,,,,,,,,
2019-04-01,Totana,,,,,,,,,6.0,,
2019-05-01,Totana,14.3,27.4,20.9,11.3,34.1,3.0,1.6(21),50.0,10.0,01/12.5(24),203
2019-06-01,Totana,17.7,31.7,24.7,14.2,38.3,1.2,1.2(13),44.0,10.0,23/12.5(05),194
2019-07-01,Totana,21.8,35.7,28.8,20.0,40.0,0.6,0.6(08),44.0,11.0,26/16.4(06),224
2019-08-01,Totana,21.6,35.0,28.4,19.0,41.2,1.6,0.8(27),53.0,9.0,10/11.9(27),178
2019-09-01,Totana,18.9,29.9,24.4,14.4,34.7,97.4,63.0(12),67.0,9.0,25/17.5(14),194
2019-10-01,Totana,14.9,27.0,21.0,9.5,34.5,33.8,17.4(22),61.0,6.0,27/12.5(02),164
2019-11-01,Totana,11.1,20.6,15.9,5.2,28.7,8.4,6.6(22),52.0,11.0,34/20.8(10),262
2019-12-01,Totana,9.5,18.9,14.2,5.8,25.5,42.4,32.4(02),66.0,8.0,26/20.3(21),201
2020-01-01,Totana,6.0,16.8,11.4,1.7,22.5,61.0,25.4(20),69.0,7.0,35/23.9(20),187
2020-02-01,Totana,8.9,21.8,15.4,4.8,27.7,5.2,4.2(18),64.0,6.0,28/13.6(25),142
2020-03-01,Totana,,,,,,111.0,38.8(24),,,,
2020-04-01,Totana,11.7,21.8,16.8,7.7,28.1,39.2,11.6(14),68.0,7.0,27/12.8(21),179
2020-05-01,Totana,,,,,,19.4,10.8(17),,,,
2020-06-01,Totana,18.1,31.5,24.9,15.0,35.8,18.1,13.9(08),,9.0,32/13.9(04),180
2020-07-01,Totana,21.3,35.2,28.3,19.5,38.7,7.8,7.2(14),51.0,9.0,03/14.2(08),179
2020-08-01,Totana,21.9,35.7,28.8,17.8,40.7,1.0,1.0(01),47.0,9.0,10/12.2(22),166
2020-09-01,Totana,18.3,30.9,24.6,13.8,34.3,10.4,4.4(18),55.0,8.0,28/16.1(18),174
2020-10-01,Totana,13.0,26.3,19.6,9.0,33.7,1.4,1.4(22),52.0,7.0,23/20.3(02),173
