fecha,nombre_estacion,tm_min,tm_max,tm_mes,ta_min,ta_max,p_mes,p_max,hr,w_med,w_racha,w_rec
2015-01-01,Alhama de Murcia,3.9,16.7,10.3,-1.5,25.8,17.8,13.8(18),58.0,9.0,24/23.3(31),206
2015-02-01,Alhama de Murcia,6.6,15.5,11.0,-0.1,21.9,32.4,12.0(12),57.0,11.0,30/19.2(04),259
2015-03-01,Alhama de Murcia,8.9,20.8,14.8,1.2,31.0,48.8,14.0(17),59.0,11.0,06/15.8(20),230
2015-04-01,Alhama de Murcia,10.9,22.4,16.7,7.8,28.0,23.2,11.8(26),61.0,13.0,21/18.3(26),242
2015-05-01,Alhama de Murcia,14.8,29.4,22.1,9.6,39.1,0.2,0.2(20),43.0,12.0,19/15.3(14),238
2015-06-01,Alhama de Murcia,17.3,32.3,24.8,14.4,40.4,4.6,3.8(11),40.0,13.0,07/16.4(04),229
2015-07-01,Alhama de Murcia,22.6,37.5,30.0,20.2,42.9,0.6,0.6(30),48.0,12.0,16/13.6(21),235
2015-08-01,Alhama de Murcia,22.7,34.6,28.7,20.1,38.9,7.4,5.0(15),55.0,10.0,20/13.3(31),193
2015-09-01,Alhama de Murcia,17.7,28.7,23.2,13.7,34.0,102.6,55.2(05),64.0,9.0,33/18.9(27),194
2015-10-01,Alhama de Murcia,14.4,24.8,19.6,8.9,33.5,15.8,10.0(20),71.0,7.0,26/12.2(05),163
2015-11-01,Alhama de Murcia,9.5,20.8,15.1,3.2,26.3,19.6,19.0(01),69.0,7.0,08/19.2(01),167
2015-12-01,Alhama de Murcia,6.5,17.8,12.2,3.5,22.5,7.0,6.2(10),79.0,5.0,18/6.9(28),116
2016-01-01,Alhama de Murcia,7.3,18.3,12.8,-0.5,23.7,38.4,26.4(29),64.0,9.0,22/16.1(04),204
2016-02-01,Alhama de Murcia,7.7,18.1,12.9,-0.4,23.7,3.2,1.8(19),57.0,10.0,32/19.2(14),244
2016-03-01,Alhama de Murcia,7.4,19.9,13.7,2.3,27.2,30.8,22.4(21),54.0,10.0,33/16.4(10),211
2016-04-01,Alhama de Murcia,10.5,22.7,16.6,4.6,27.7,13.8,11.0(04),55.0,11.0,35/16.4(08),237
2016-05-01,Alhama de Murcia,13.0,26.6,19.8,6.8,32.6,8.6,2.8(08),49.0,11.0,18/15.8(09),215
2016-06-01,Alhama de Murcia,17.4,32.5,24.9,13.5,38.3,0.0,0.0(--),42.0,13.0,20/14.7(17),235
2016-07-01,Alhama de Murcia,20.0,34.5,27.3,15.6,39.6,0.2,0.2(20),46.0,12.0,02/15.3(09),222
2016-08-01,Alhama de Murcia,20.2,33.6,26.9,17.0,38.8,3.8,3.6(16),54.0,11.0,21/13.9(28),211
2016-09-01,Alhama de Murcia,17.9,31.6,24.8,13.3,42.7,5.6,5.0(28),56.0,9.0,17/13.3(13),178
2016-10-01,Alhama de Murcia,15.2,26.2,20.7,8.2,30.6,21.6,11.4(13),73.0,8.0,17/14.7(01),152
2016-11-01,Alhama de Murcia,8.7,19.7,14.2,2.8,26.1,23.0,8.4(23),66.0,8.0,34/13.6(08),167
2016-12-01,Alhama de Murcia,7.6,15.6,11.6,2.3,19.5,239.6,110.8(18),84.0,6.0,03/13.9(17),133
2017-01-01,Alhama de Murcia,4.2,14.6,9.4,-0.6,19.4,52.2,29.0(19),68.0,9.0,34/15.8(15),197
2017-02-01,Alhama de Murcia,7.5,18.2,12.9,3.4,21.9,4.6,2.4(02),67.0,10.0,30/18.9(05),218
2017-03-01,Alhama de Murcia,8.0,21.8,14.9,2.6,32.1,59.2,55.2(13),60.0,10.0,14/15.0(22),211
2017-04-01,Alhama de Murcia,9.9,23.2,16.6,6.2,31.3,9.2,5.2(28),58.0,9.0,22/12.8(11),196
2017-05-01,Alhama de Murcia,13.6,28.1,20.9,9.5,31.9,0.0,0.0(--),46.0,12.0,26/13.9(11),221
2017-06-01,Alhama de Murcia,18.8,33.9,26.4,15.7,40.4,0.0,0.0(--),43.0,13.0,24/12.8(23),228
2017-07-01,Alhama de Murcia,20.3,35.2,27.8,15.0,40.6,1.4,1.2(07),48.0,11.0,06/13.9(01),200
2017-08-01,Alhama de Murcia,21.2,33.9,27.6,18.1,40.5,41.2,30.0(29),58.0,10.0,20/17.5(07),187
2017-09-01,Alhama de Murcia,,,,,,0.6,0.6(07),,9.0,18/12.8(25),187
2017-10-01,Alhama de Murcia,13.8,27.8,20.8,8.5,31.5,7.2,7.0(18),68.0,7.0,17/11.7(13),148
2017-11-01,Alhama de Murcia,7.2,20.6,13.9,1.0,25.6,2.0,1.4(29),63.0,7.0,01/15.8(13),160
2017-12-01,Alhama de Murcia,3.6,17.4,10.6,-2.9,23.2,3.0,3.0(11),60.0,7.0,32/15.3(01),172
2018-01-01,Alhama de Murcia,5.4,17.6,11.5,-0.7,25.3,52.0,33.6(27),65.0,8.0,32/15.6(26),170
2018-02-01,Alhama de Murcia,4.7,16.4,10.6,-0.2,22.5,12.0,9.8(01),60.0,8.0,34/12.5(10),180
2018-03-01,Alhama de Murcia,8.3,20.4,14.4,2.5,27.9,13.2,5.6(03),49.0,13.0,24/25.3(19),277
2018-04-01,Alhama de Murcia,10.4,23.5,16.9,4.5,29.1,13.0,4.6(10),50.0,12.0,18/18.6(10),252
2018-05-01,Alhama de Murcia,12.9,26.5,19.7,4.8,30.3,42.8,32.4(10),51.0,11.0,04/12.8(08),217
2018-06-01,Alhama de Murcia,16.6,30.9,23.8,12.1,34.9,46.4,35.4(02),49.0,10.0,14/13.9(08),197
2018-07-01,Alhama de Murcia,19.8,36.0,27.9,17.8,39.6,0.0,0.0(--),43.0,11.0,17/12.5(11),211
2018-08-01,Alhama de Murcia,20.7,35.2,27.9,18.0,39.3,21.0,20.0(16),56.0,10.0,33/17.8(16),187
2018-09-01,Alhama de Murcia,19.0,30.9,25.0,13.8,35.5,43.8,16.6(14),67.0,8.0,15/16.9(07),165
2018-10-01,Alhama de Murcia,13.0,24.4,18.8,7.0,29.5,32.0,11.8(09),71.0,8.0,24/13.3(29),178
2018-11-01,Alhama de Murcia,8.4,19.4,13.9,2.7,24.4,95.8,43.6(18),72.0,8.0,34/13.1(09),172
2018-12-01,Alhama de Murcia,5.6,18.6,12.1,1.3,24.2,8.6,4.2(13),73.0,6.0,30/14.7(14),134
2019-01-01,Alhama de Murcia,3.7,17.3,10.5,-2.0,22.4,2.6,1.8(19),59.0,7.0,33/17.5(24),179
2019-02-01,Alhama de Murcia,4.6,19.2,11.9,1.4,27.6,0.0,0.0(--),59.0,9.0,34/16.9(03),180
2019-03-01,Alhama de Murcia,6.2,21.5,13.9,3.5,28.0,10.8,5.6(31),55.0,9.0,24/14.2(06),189
2019-04-01,Alhama de Murcia,9.7,21.7,15.7,5.9,28.4,108.8,79.4(19),59.0,10.0,06/14.7(20),215
2019-05-01,Alhama de Murcia,12.6,27.5,20.1,8.9,32.9,3.2,1.8(24),51.0,11.0,22/13.1(16),210
2019-06-01,Alhama de Murcia,15.8,31.9,23.9,10.4,38.1,2.4,2.4(13),43.0,12.0,04/13.3(11),223
2019-07-01,Alhama de Murcia,20.1,35.8,28.0,17.3,39.9,0.2,0.2(21),45.0,12.0,20/15.8(06),218
2019-08-01,Alhama de Murcia,20.2,35.6,27.9,16.4,42.9,8.8,6.4(20),53.0,10.0,04/12.8(27),191
2019-09-01,Alhama de Murcia,18.1,29.7,23.9,15.1,35.8,141.0,98.0(12),69.0,9.0,06/13.9(14),184
2019-10-01,Alhama de Murcia,12.9,26.6,19.7,7.9,33.8,32.0,16.2(21),67.0,7.0,24/10.3(23),148
2019-11-01,Alhama de Murcia,7.9,20.1,14.1,1.8,27.8,8.0,4.8(17),61.0,9.0,35/16.7(10),206
2019-12-01,Alhama de Murcia,7.2,17.8,12.5,2.5,23.5,53.0,38.6(02),74.0,7.0,17/18.3(20),180
2020-01-01,Alhama de Murcia,3.3,16.0,9.7,-1.4,21.2,88.8,43.4(20),78.0,6.0,36/14.7(20),143
2020-02-01,Alhama de Murcia,6.3,21.2,13.8,1.3,27.4,6.4,5.6(18),70.0,7.0,06/9.7(04),146
2020-03-01,Alhama de Murcia,8.4,20.1,14.2,3.5,30.5,139.6,53.2(24),67.0,9.0,24/20.3(02),206
2020-04-01,Alhama de Murcia,10.4,21.5,16.0,5.8,27.7,58.6,19.0(01),70.0,8.0,19/13.9(29),162
2020-05-01,Alhama de Murcia,13.8,28.5,21.2,9.0,34.8,15.8,11.0(13),52.0,10.0,05/14.7(28),203
2020-06-01,Alhama de Murcia,16.2,31.6,23.9,13.7,37.2,24.2,11.0(08),50.0,10.0,25/13.1(12),202
2020-07-01,Alhama de Murcia,19.5,35.3,27.4,16.8,40.8,4.4,2.2(14),52.0,10.0,31/13.6(12),187
2020-08-01,Alhama de Murcia,19.8,36.3,28.1,15.5,42.4,17.8,15.2(29),49.0,10.0,18/14.7(12),188
2020-09-01,Alhama de Murcia,16.4,30.8,23.6,11.2,34.3,13.2,6.0(07),59.0,8.0,02/12.8(05),170
2020-10-01,Alhama de Murcia,10.3,25.9,18.1,6.1,33.2,1.4,0.6(11),58.0,7.0,22/18.6(02),166
2020-11-01,Alhama de Murcia,9.7,21.6,15.6,3.2,28.8,29.2,11.4(27),77.0,7.0,10/16.1(27),144
2020-12-01,Alhama de Murcia,4.8,17.9,11.3,-3.1,24.8,0.4,0.4(08),63.0,9.0,19/18.6(28),179
2021-01-01,Alhama de Murcia,4.3,16.6,10.5,-2.8,27.7,41.4,15.8(08),63.0,8.0,24/21.9(22),190
2021-02-01,Alhama de Murcia,7.3,19.7,13.5,2.9,25.2,0.2,0.2(28),64.0,8.0,30/15.0(01),179
2021-03-01,Alhama de Murcia,7.1,19.5,13.4,1.6,25.7,45.2,20.8(06),67.0,9.0,02/12.5(20),198
2021-04-01,Alhama de Murcia,10.5,21.4,16.0,6.3,28.2,54.8,10.8(15),72.0,9.0,18/11.4(06),196
2021-05-01,Alhama de Murcia,13.0,27.2,20.1,9.0,35.0,59.6,54.4(23),54.0,10.0,16/17.2(09),202
2021-06-01,Alhama de Murcia,16.7,30.7,23.7,13.4,35.0,30.6,22.8(16),53.0,11.0,22/16.1(17),204
2021-07-01,Alhama de Murcia,19.1,35.8,27.5,16.8,42.6,7.0,7.0(26),51.0,10.0,20/15.0(12),194
2021-08-01,Alhama de Murcia,20.8,35.7,28.2,17.7,44.5,0.8,0.4(08),55.0,10.0,19/12.2(04),195
2021-09-01,Alhama de Murcia,18.4,31.7,25.1,12.9,36.4,45.2,41.2(20),62.0,9.0,16/13.6(15),157
2021-10-01,Alhama de Murcia,13.1,26.0,19.6,9.3,30.6,19.4,7.8(22),71.0,7.0,33/10.8(03),160
2021-11-01,Alhama de Murcia,7.9,18.8,13.4,2.9,26.5,31.8,23.6(20),63.0,8.0,32/14.4(27),177
2021-12-01,Alhama de Murcia,7.0,18.2,12.6,2.5,25.3,2.0,1.2(01),69.0,7.0,35/13.1(05),156
2022-01-01,Alhama de Murcia,2.5,15.8,9.2,-2.8,23.8,11.6,5.6(24),73.0,6.0,32/12.8(10),141
