fecha,nombre_estacion,tm_min,tm_max,tm_mes,ta_min,ta_max,p_mes,p_max,hr
2015-01-01,Abanilla,3.8,17.7,10.8,-1.2,23.5,17.6,13.8(18),58.0
2015-02-01,Abanilla,6.1,16.3,11.2,-0.8,23.3,9.0,3.6(12),55.0
2015-03-01,Abanilla,7.9,21.4,14.7,0.0,31.4,39.2,10.0(21),62.0
2015-04-01,Abanilla,9.8,22.8,16.3,6.7,28.1,8.6,7.0(26),60.0
2015-05-01,Abanilla,13.5,28.7,21.1,8.8,40.4,1.0,0.8(30),47.0
2015-06-01,Abanilla,15.7,31.6,23.6,12.5,39.9,16.4,9.8(11),45.0
2015-07-01,Abanilla,20.9,35.7,28.3,18.4,42.7,0.0,0.0(--),54.0
2015-08-01,Abanilla,21.7,33.8,27.8,17.9,39.0,8.0,4.0(16),60.0
2015-09-01,Abanilla,17.1,29.1,23.1,13.4,35.3,90.8,36.0(05),67.0
2015-10-01,Abanilla,14.2,25.7,20.0,9.4,31.3,8.4,3.8(13),69.0
2015-11-01,Abanilla,8.7,21.8,15.3,3.3,27.0,25.4,25.4(01),68.0
2015-12-01,Abanilla,6.4,19.3,12.9,2.7,23.7,1.2,0.8(10),74.0
2016-01-01,Abanilla,6.9,19.1,13.0,-0.7,24.2,0.2,0.2(15),63.0
2016-02-01,Abanilla,7.4,19.4,13.4,-0.8,25.9,2.6,1.0(06),54.0
2016-03-01,Abanilla,7.5,20.9,14.2,1.4,27.6,25.6,14.6(21),53.0
2016-04-01,Abanilla,9.9,23.6,16.8,4.0,28.1,20.2,15.6(04),58.0
2016-05-01,Abanilla,11.8,25.8,18.8,5.0,34.7,12.6,5.4(10),54.0
2016-06-01,Abanilla,16.1,31.0,23.6,12.6,41.5,0.0,0.0(--),49.0
2016-07-01,Abanilla,18.9,33.0,26.0,15.0,38.9,0.6,0.6(15),50.0
2016-08-01,Abanilla,18.9,32.2,25.6,14.9,38.4,7.0,3.8(16),60.0
2016-09-01,Abanilla,17.3,31.4,24.4,13.3,42.5,0.0,0.0(--),60.0
2016-10-01,Abanilla,14.5,26.5,20.5,9.2,31.9,24.8,8.8(12),74.0
2016-11-01,Abanilla,9.2,20.9,15.1,3.2,27.6,27.4,6.8(22),64.0
